BENCH: alexnet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00009482, 0.00000040, 18.85, 24.75, 11, 0.00009482, 0.00000040, 5.91,  1, 0.00004951, 0.00000012, 5670.90, 960, 1.00, 0.52, 0.24, 229.10, 0.00000001
1, 0.00015131, 0.00000040, 25.09, 31.00, 38, 0.00033720, 0.00000002, 5.91,  1, 0.00003503, 0.00000001, 3780.60, 640, 2.23, 0.23, 0.19, 121.97, 0.00000000
2, 0.00000220, 0.00000000, 9.55, 15.45, 11, 0.00000220, 0.00000000, 5.91,  1, 0.00000218, 0.00000000, 378.06, 64, 1.00, 0.99, 0.38, 24.46, 0.00000932
3, 0.00060453, 0.00000005, 18.51, 24.42, 11, 0.00060453, 0.00000005, 5.91,  1, 0.00004270, 0.00000011, 4914.78, 832, 1.00, 0.07, 0.24, 201.27, 0.00000000
4, 0.00026453, 0.00000000, 29.85, 35.76, 24, 0.00064084, 0.00000010, 5.91,  1, 0.00018592, 0.00000025, 20037.18, 3392, 2.42, 0.70, 0.17, 560.30, 0.00000000
5, 0.00001655, 0.00000000, 12.09, 18.00, 13, 0.00001655, 0.00000000, 5.91,  1, 0.00000302, 0.00000000, 378.06, 64, 1.00, 0.18, 0.33, 21.01, 0.00000000
6, 0.00064592, 0.00000016, 25.17, 31.08, 27, 0.00140876, 0.00000000, 5.91,  1, 0.00006005, 0.00000008, 6427.02, 1088, 2.18, 0.09, 0.19, 206.81, 0.00000000
7, 0.00000423, 0.00000002, 10.10, 16.01, 12, 0.00000423, 0.00000002, 5.91,  1, 0.00000415, 0.00000000, 756.12, 128, 1.00, 0.98, 0.37, 47.23, 0.00503617
8, 0.00011160, 0.00000020, 12.55, 18.46, 11, 0.00011160, 0.00000020, 5.91,  1, 0.00001875, 0.00000006, 2268.36, 384, 1.00, 0.17, 0.32, 122.89, 0.00000000
9, 0.00000225, 0.00000000, 9.28, 15.18, 11, 0.00000225, 0.00000000, 5.91,  1, 0.00000216, 0.00000000, 378.06, 64, 1.00, 0.96, 0.39, 24.90, 0.00000000
10, 0.00000240, 0.00000000, 8.95, 14.86, 11, 0.00000240, 0.00000000, 5.91,  1, 0.00000217, 0.00000000, 378.06, 64, 1.00, 0.90, 0.40, 25.44, 0.00000000
11, 0.00357795, 0.00000130, 23.80, 29.71, 21, 0.00485569, 0.00000032, 5.91,  1, 0.00003982, 0.00000012, 4536.72, 768, 1.36, 0.01, 0.20, 152.72, 0.00000000
12, 0.00554669, 0.00000027, 71.99, 77.90, 12, 0.00554669, 0.00000027, 5.91,  1, 0.00008797, 0.00000014, 9451.50, 1600, 1.00, 0.02, 0.08, 121.34, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), std Ansor-10, tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k, p-value
0, 0.00009482, 0.00000040, 18.92, 77.99, 11, 0.00009482, 0.00000040, 59.07, 10, 0.00004951, 0.00000012, 5670.90, 960, 1.00, 0.52, 0.76, 72.71, 0.00000001
