BENCH: densenet169
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00006504, 0.00000000, 11.93, 19.04, 11, 0.00006504, 0.00000000, 7.11,  1, 0.00001434, 0.00000000, 455.14, 64, 1.00, 0.22, 0.37, 23.90, 0.00000000
1, 0.00051197, 0.00000030, 16.33, 23.44, 21, 0.00092954, 0.00000007, 7.11,  1, 0.00002018, 0.00000001, 910.28, 128, 1.82, 0.04, 0.30, 38.83, 0.00000000
2, 0.00001679, 0.00000002, 12.21, 19.33, 11, 0.00001679, 0.00000002, 7.11,  1, 0.00001679, 0.00000002, 455.14, 64, 1.00, 1.00, 0.37, 23.55, 1.00000000
3, 0.00013870, 0.00000016, 29.20, 36.31, 40, 0.00016801, 0.00000036, 7.11,  1, 0.00001628, 0.00000000, 910.28, 128, 1.21, 0.12, 0.20, 25.07, 0.00000000
4, 0.00006633, 0.00000016, 20.09, 27.20, 22, 0.00006820, 0.00000000, 7.11,  1, 0.00002089, 0.00000000, 455.14, 64, 1.03, 0.31, 0.26, 16.73, 0.00000000
5, 0.00015983, 0.00000000, 17.85, 24.97, 11, 0.00015983, 0.00000000, 7.11,  1, 0.00002626, 0.00000008, 3185.98, 448, 1.00, 0.16, 0.28, 127.61, 0.00000000
6, 0.00028649, 0.00000016, 53.78, 60.89, 36, 0.00029709, 0.00000003, 7.11,  1, 0.00001104, 0.00000000, 455.14, 64, 1.04, 0.04, 0.12, 7.48, 0.00000000
7, 0.00012294, 0.00000028, 13.46, 20.57, 15, 0.00012294, 0.00000028, 7.11,  1, 0.00004926, 0.00000009, 910.28, 128, 1.00, 0.40, 0.35, 44.25, 0.00000000
8, 0.00004869, 0.00000017, 21.67, 28.78, 22, 0.00007583, 0.00000000, 7.11,  1, 0.00001788, 0.00000001, 455.14, 64, 1.56, 0.37, 0.25, 15.81, 0.00000000
9, 0.00000538, 0.00000002, 9.90, 17.01, 12, 0.00000538, 0.00000002, 7.11,  1, 0.00000416, 0.00000000, 455.14, 64, 1.00, 0.77, 0.42, 26.75, 0.00000011
10, 0.00003867, 0.00000017, 33.93, 41.04, 54, 0.00005987, 0.00000000, 7.11,  1, 0.00001906, 0.00000001, 455.14, 64, 1.55, 0.49, 0.17, 11.09, 0.00000001
11, 0.00005712, 0.00000016, 66.25, 73.36, 55, 0.00021536, 0.00000037, 7.11,  1, 0.00001952, 0.00000000, 455.14, 64, 3.77, 0.34, 0.10, 6.20, 0.00000000
12, 0.00004143, 0.00000042, 16.69, 23.81, 30, 0.00006201, 0.00000018, 7.11,  1, 0.00001669, 0.00000000, 910.28, 128, 1.50, 0.40, 0.30, 38.24, 0.00000013
13, 0.00080134, 0.00000016, 36.86, 43.97, 44, 0.00136985, 0.00000007, 7.11,  1, 0.00001854, 0.00000000, 455.14, 64, 1.71, 0.02, 0.16, 10.35, 0.00000000
