BENCH: densenet161
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials
0, 0.00001706, 66.27, 48
1, 0.00003252, 96.15, 64
2, 0.00002912, 113.49, 67
3, 0.00004058, 123.51, 72
4, 0.00003929, 80.26, 52
5, 0.00004260, 105.98, 62
6, 0.00004307, 45.51, 43
7, 0.00013634, 45.98, 53
8, 0.00003253, 97.16, 58
9, 0.00002735, 94.75, 62
10, 0.00003157, 62.14, 66
11, 0.00000455, 25.27, 20
12, 0.00005381, 99.91, 40
13, 0.00002769, 86.03, 62
14, 0.00003891, 51.54, 43
15, 0.00001918, 110.80, 66
16, 0.00001973, 124.40, 75
17, 0.00002954, 90.37, 55
18, 0.00003494, 2.00, 2
19, 0.00003281, 79.60, 72
20, 0.00006212, 96.67, 56
21, 0.00001533, 52.89, 35
22, 0.00000415, 17.37, 14
23, 0.00001912, 74.79, 74
24, 0.00003539, 69.44, 48
25, 0.00003747, 58.90, 43
26, 0.00002266, 53.11, 43
27, 0.00002738, 71.09, 47
28, 0.00003383, 48.92, 35
29, 0.00003786, 98.86, 62
30, 0.00003958, 104.97, 56
31, 0.00002273, 102.23, 66
32, 0.00002074, 60.81, 45
33, 0.00003529, 74.18, 55
34, 0.00005256, 134.04, 71
35, 0.00004011, 63.14, 45
36, 0.00003577, 109.25, 66
37, 0.00004226, 75.51, 43
38, 0.00002548, 65.47, 62
39, 0.00000444, 17.33, 14
40, 0.00003284, 81.75, 43
41, 0.00005443, 60.81, 71
42, 0.00003587, 88.38, 75
43, 0.00001266, 89.11, 62
44, 0.00000332, 39.01, 29
45, 0.00003937, 125.60, 51
46, 0.00003623, 55.33, 62
47, 0.00002649, 87.06, 58
48, 0.00001386, 99.52, 65
49, 0.00002924, 60.75, 55
50, 0.00003530, 102.28, 55
51, 0.00003549, 77.81, 59
52, 0.00000963, 74.54, 40
53, 0.00003590, 66.84, 48
54, 0.00001762, 95.90, 56
55, 0.00003689, 62.33, 51
56, 0.00002959, 78.47, 56
57, 0.00003360, 95.26, 68
58, 0.00001581, 56.69, 51
59, 0.00003411, 79.26, 43
60, 0.00003680, 68.48, 62
61, 0.00002257, 63.75, 45
62, 0.00001440, 108.72, 54
63, 0.00002820, 133.66, 76
64, 0.00003438, 105.49, 77
65, 0.00002850, 105.16, 62
66, 0.00001548, 93.82, 59
67, 0.00000581, 25.47, 20
68, 0.00003997, 68.84, 56
69, 0.00002143, 73.71, 59
70, 0.00002446, 195.47, 55
71, 0.00002429, 64.32, 45
72, 0.00006032, 59.45, 56
73, 0.00002516, 26.18, 35
74, 0.00002463, 63.20, 51
75, 0.00003738, 68.05, 48
76, 0.00002227, 92.63, 65
77, 0.00002968, 92.83, 62
78, 0.00002203, 26.69, 35
79, 0.00003450, 78.27, 57
80, 0.00004781, 110.75, 66
81, 0.00002878, 81.35, 62
82, 0.00002468, 70.93, 45
83, 0.00003793, 114.21, 71
84, 0.00002724, 82.53, 56
85, 0.00000489, 13.71, 11
86, 0.00003503, 88.06, 55
87, 0.00001985, 26.83, 35
88, 0.00003444, 70.69, 35
89, 0.00002835, 108.65, 75
90, 0.00002932, 109.57, 68
91, 0.00003816, 71.43, 37
92, 0.00003882, 91.48, 59
