BENCH: densenet169
layer, droplet-300 exec, droplet-300 std, droplet-300 tuning, droplet-300 trials
0, 0.00001434, 0.00000000, 90.29, 48
1, 0.00002018, 0.00000001, 117.04, 77
2, 0.00001679, 0.00000002, 29.55, 35
3, 0.00001628, 0.00000000, 90.29, 55
4, 0.00002089, 0.00000000, 67.60, 45
5, 0.00002633, 0.00000006, 135.14, 51
6, 0.00001104, 0.00000000, 69.13, 56
7, 0.00004926, 0.00000009, 69.30, 45
8, 0.00001788, 0.00000001, 65.09, 48
9, 0.00000416, 0.00000000, 17.21, 14
10, 0.00001906, 0.00000001, 59.29, 55
11, 0.00001952, 0.00000000, 131.56, 65
12, 0.00001669, 0.00000000, 69.01, 35
13, 0.00001854, 0.00000000, 35.99, 26
14, 0.00002197, 0.00000002, 55.18, 62
15, 0.00000935, 0.00000001, 76.85, 55
16, 0.00001203, 0.00000000, 115.22, 66
17, 0.00001501, 0.00000000, 89.80, 76
18, 0.00002219, 0.00000000, 14.00, 11
19, 0.00002029, 0.00000007, 71.31, 61
20, 0.00002703, 0.00000006, 74.79, 55
21, 0.00000754, 0.00000000, 101.57, 62
22, 0.00000414, 0.00000000, 25.29, 20
23, 0.00001398, 0.00000029, 151.65, 71
24, 0.00001167, 0.00000000, 64.67, 35
25, 0.00001888, 0.00000000, 136.67, 68
26, 0.00001605, 0.00000000, 81.07, 62
27, 0.00002418, 0.00000005, 93.47, 67
28, 0.00001313, 0.00000000, 66.13, 45
29, 0.00001800, 0.00000006, 46.79, 62
30, 0.00001951, 0.00000005, 108.70, 63
31, 0.00001560, 0.00000000, 91.46, 55
32, 0.00001984, 0.00000002, 77.17, 56
33, 0.00001227, 0.00000003, 56.01, 42
34, 0.00001262, 0.00000000, 83.37, 55
35, 0.00001698, 0.00000003, 70.55, 55
36, 0.00002309, 0.00000001, 44.59, 43
37, 0.00000417, 0.00000000, 17.37, 14
38, 0.00000992, 0.00000000, 108.20, 62
39, 0.00001832, 0.00000000, 95.53, 59
40, 0.00001944, 0.00000005, 85.26, 68
41, 0.00002585, 0.00000004, 57.23, 71
42, 0.00002079, 0.00000005, 96.11, 62
43, 0.00001168, 0.00000000, 111.08, 68
44, 0.00000304, 0.00000000, 38.70, 29
45, 0.00002688, 0.00000007, 109.86, 43
46, 0.00001434, 0.00000000, 88.55, 59
47, 0.00001513, 0.00000000, 94.91, 64
48, 0.00000961, 0.00000001, 87.88, 55
49, 0.00002039, 0.00000006, 61.35, 51
50, 0.00001958, 0.00000017, 132.29, 98
51, 0.00001935, 0.00000000, 64.96, 35
52, 0.00000965, 0.00000000, 78.16, 40
53, 0.00002246, 0.00000006, 95.19, 59
54, 0.00001670, 0.00000000, 128.49, 68
55, 0.00001838, 0.00000000, 116.42, 68
56, 0.00001099, 0.00000000, 72.31, 53
57, 0.00002290, 0.00000006, 78.50, 72
58, 0.00001946, 0.00000003, 61.17, 56
59, 0.00001132, 0.00000000, 45.82, 62
60, 0.00002500, 0.00000000, 33.54, 43
61, 0.00001763, 0.00000000, 94.44, 66
62, 0.00001060, 0.00000002, 120.74, 75
63, 0.00000967, 0.00000000, 135.83, 55
64, 0.00001471, 0.00000000, 60.56, 45
65, 0.00002152, 0.00000000, 91.04, 59
66, 0.00001783, 0.00000003, 67.31, 48
67, 0.00001137, 0.00000043, 150.79, 100
68, 0.00000495, 0.00000000, 25.21, 20
69, 0.00002362, 0.00000000, 76.88, 56
70, 0.00001395, 0.00000003, 70.61, 65
71, 0.00001415, 0.00000003, 125.09, 41
72, 0.00001978, 0.00000000, 55.38, 55
73, 0.00002328, 0.00000006, 86.00, 77
74, 0.00002231, 0.00000005, 105.18, 62
75, 0.00001298, 0.00000000, 93.80, 62
76, 0.00001455, 0.00000000, 91.54, 56
77, 0.00001947, 0.00000000, 70.96, 62
78, 0.00002301, 0.00000000, 118.95, 71
79, 0.00002330, 0.00000000, 71.50, 72
80, 0.00001755, 0.00000000, 65.64, 48
81, 0.00002161, 0.00000000, 74.12, 55
82, 0.00002147, 0.00000000, 76.18, 66
83, 0.00001298, 0.00000003, 67.17, 62
84, 0.00001568, 0.00000004, 69.43, 59
85, 0.00001346, 0.00000001, 70.79, 55
86, 0.00002342, 0.00000003, 105.74, 62
87, 0.00000368, 0.00000000, 14.88, 12
88, 0.00002264, 0.00000000, 110.02, 79
89, 0.00001046, 0.00000002, 64.67, 45
90, 0.00001559, 0.00000000, 65.12, 35
91, 0.00001294, 0.00000003, 77.78, 48
92, 0.00002068, 0.00000000, 68.30, 68
93, 0.00001604, 0.00000000, 49.57, 55
94, 0.00001789, 0.00000000, 100.01, 72
95, 0.00001590, 0.00000000, 112.20, 72
96, 0.00001526, 0.00000000, 91.01, 59
