BENCH: googlenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials
0, 0.00002212, 120.83, 36
1, 0.00001040, 104.52, 62
2, 0.00000256, 15.03, 12
3, 0.00002379, 146.51, 54
4, 0.00001043, 95.66, 68
5, 0.00000730, 88.70, 75
6, 0.00000483, 82.24, 41
7, 0.00000584, 72.26, 64
8, 0.00000529, 62.40, 62
9, 0.00000419, 89.71, 41
10, 0.00000298, 13.62, 11
11, 0.00000985, 15.20, 12
12, 0.00000523, 73.08, 40
13, 0.00000878, 119.54, 65
14, 0.00001038, 59.92, 56
15, 0.00000413, 20.14, 16
16, 0.00000570, 45.04, 62
17, 0.00000215, 14.97, 12
18, 0.00000778, 94.87, 64
19, 0.00000741, 66.00, 55
20, 0.00000249, 14.98, 12
21, 0.00000622, 129.86, 51
22, 0.00002635, 70.52, 48
23, 0.00000410, 97.42, 56
24, 0.00000893, 74.31, 54
25, 0.00000743, 70.16, 55
26, 0.00001199, 131.65, 66
27, 0.00001253, 114.84, 62
28, 0.00000313, 14.89, 12
29, 0.00000307, 41.80, 31
30, 0.00002328, 123.86, 51
31, 0.00003961, 80.65, 40
32, 0.00000993, 76.37, 56
33, 0.00000502, 116.12, 41
34, 0.00000215, 14.63, 12
35, 0.00000588, 97.03, 53
36, 0.00001421, 74.66, 59
37, 0.00001818, 100.26, 67
38, 0.00000734, 63.99, 43
39, 0.00000258, 13.54, 11
40, 0.00000899, 99.42, 47
41, 0.00000613, 61.49, 59
42, 0.00001220, 81.17, 52
43, 0.00001961, 81.26, 46
44, 0.00001127, 80.38, 55
45, 0.00001707, 108.29, 51
46, 0.00000602, 103.90, 68
47, 0.00000394, 57.42, 62
48, 0.00000256, 13.60, 11
49, 0.00001289, 92.46, 56
50, 0.00001252, 83.27, 56
51, 0.00002470, 54.90, 32
52, 0.00003523, 86.50, 48
53, 0.00006341, 162.69, 55
54, 0.00000707, 65.01, 45
55, 0.00000369, 13.64, 11
56, 0.00000354, 15.08, 12
57, 0.00000628, 106.52, 56
58, 0.00001527, 108.39, 51
59, 0.00000596, 82.83, 55
60, 0.00001035, 56.75, 59
61, 0.00000998, 93.11, 40
