BENCH: inception_v3
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials
0, 0.00000721, 72.99, 48
1, 0.00002380, 88.70, 51
2, 0.00001589, 146.84, 51
3, 0.00000754, 25.34, 20
4, 0.00002165, 72.81, 62
5, 0.00001475, 99.36, 59
6, 0.00003207, 89.41, 55
7, 0.00001241, 109.97, 40
8, 0.00000216, 13.25, 11
9, 0.00002848, 15.59, 12
10, 0.00001505, 89.95, 55
11, 0.00000854, 71.93, 72
12, 0.00001088, 28.08, 18
13, 0.00001748, 53.27, 28
14, 0.00000414, 17.34, 14
15, 0.00001710, 93.86, 40
16, 0.00000418, 25.27, 20
17, 0.00005905, 89.43, 43
18, 0.00001934, 79.90, 45
19, 0.00001665, 70.13, 42
20, 0.00001351, 53.27, 62
21, 0.00000605, 17.36, 14
22, 0.00001394, 121.63, 59
23, 0.00001977, 87.12, 62
24, 0.00000786, 48.53, 43
25, 0.00001210, 99.22, 51
26, 0.00000288, 2.00, 2
27, 0.00000590, 29.01, 21
28, 0.00000634, 54.75, 71
29, 0.00000305, 16.52, 13
30, 0.00002214, 123.56, 59
31, 0.00000415, 46.69, 36
32, 0.00003608, 161.91, 55
33, 0.00000858, 50.42, 44
34, 0.00001072, 108.32, 51
35, 0.00001289, 121.73, 59
36, 0.00001818, 91.77, 55
37, 0.00002789, 63.24, 62
38, 0.00005510, 66.22, 48
39, 0.00001635, 111.20, 53
40, 0.00000529, 26.69, 21
41, 0.00000771, 87.14, 75
42, 0.00000965, 137.96, 100
43, 0.00001356, 92.18, 62
44, 0.00000521, 26.75, 21
45, 0.00002042, 175.33, 55
46, 0.00001221, 117.88, 51
47, 0.00005959, 70.73, 32
48, 0.00002679, 56.49, 62
49, 0.00000359, 13.36, 11
50, 0.00001420, 67.49, 43
51, 0.00001231, 93.16, 59
52, 0.00000215, 2.00, 2
53, 0.00002193, 82.79, 51
54, 0.00002073, 127.17, 51
55, 0.00000738, 45.05, 62
