BENCH: mobilenet_v2
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials
0, 0.00000724, 70.32, 59
1, 0.00000415, 167.25, 72
2, 0.00000236, 30.95, 22
3, 0.00001126, 41.72, 55
4, 0.00000356, 113.77, 70
5, 0.00000256, 36.14, 23
6, 0.00000958, 15.28, 12
7, 0.00000427, 72.68, 57
8, 0.00000638, 90.57, 66
9, 0.00000411, 25.67, 20
10, 0.00000675, 91.01, 64
11, 0.00000499, 100.34, 63
12, 0.00001118, 90.43, 56
13, 0.00000295, 99.20, 56
14, 0.00001895, 89.36, 75
15, 0.00000499, 64.23, 33
16, 0.00000305, 38.98, 29
17, 0.00000396, 106.95, 56
18, 0.00000525, 65.79, 36
19, 0.00000323, 76.29, 36
20, 0.00000380, 60.93, 35
21, 0.00000647, 57.12, 51
22, 0.00001040, 95.83, 59
23, 0.00000725, 63.55, 49
24, 0.00000688, 36.63, 22
25, 0.00000648, 108.04, 68
26, 0.00000281, 59.22, 36
27, 0.00000506, 125.12, 68
28, 0.00000371, 61.44, 39
29, 0.00000368, 86.15, 54
30, 0.00000642, 68.83, 43
31, 0.00000795, 90.56, 71
32, 0.00000576, 59.07, 56
