BENCH: resnet50
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials
0, 0.00001544, 97.56, 57
1, 0.00003682, 97.07, 46
2, 0.00000579, 80.99, 59
3, 0.00002417, 39.95, 55
4, 0.00000412, 25.51, 20
5, 0.00002651, 67.61, 62
6, 0.00009555, 55.62, 48
7, 0.00002436, 98.23, 68
8, 0.00002380, 119.06, 75
9, 0.00010403, 65.82, 40
10, 0.00001321, 65.36, 68
11, 0.00003532, 60.34, 44
12, 0.00002717, 166.68, 59
13, 0.00003408, 105.44, 62
14, 0.00003129, 102.39, 48
15, 0.00000305, 39.26, 29
16, 0.00001605, 74.71, 56
17, 0.00001684, 86.82, 53
18, 0.00005735, 121.01, 55
19, 0.00003723, 138.18, 46
20, 0.00002894, 134.44, 71
21, 0.00001811, 69.93, 42
22, 0.00002277, 81.33, 59
23, 0.00001719, 59.79, 57
24, 0.00000366, 2.00, 2
25, 0.00002359, 123.71, 51
26, 0.00006052, 76.82, 40
27, 0.00003393, 110.75, 66
