BENCH: shufflenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials
0, 0.00000217, 16.76, 13
1, 0.00000588, 99.28, 59
2, 0.00000252, 64.66, 55
3, 0.00000865, 72.16, 51
4, 0.00000224, 26.90, 19
5, 0.00001414, 52.26, 43
6, 0.00000352, 107.26, 67
7, 0.00000216, 16.35, 12
8, 0.00000729, 121.64, 59
9, 0.00000305, 39.62, 29
10, 0.00000512, 99.31, 51
11, 0.00000216, 44.76, 31
12, 0.00000217, 19.46, 29
13, 0.00000346, 88.74, 54
14, 0.00000244, 56.08, 37
15, 0.00000476, 74.21, 31
16, 0.00000376, 90.55, 53
17, 0.00000244, 13.55, 11
18, 0.00000217, 16.13, 12
19, 0.00000217, 14.75, 12
