BENCH: squeezenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials
0, 0.00000378, 56.15, 54
1, 0.00003252, 40.19, 57
2, 0.00000215, 14.71, 12
3, 0.00000467, 26.90, 21
4, 0.00000567, 43.67, 62
5, 0.00000619, 93.17, 59
6, 0.00000497, 94.40, 65
7, 0.00000340, 87.22, 57
8, 0.00000390, 72.67, 48
9, 0.00000283, 93.49, 73
10, 0.00000929, 78.49, 51
11, 0.00000344, 39.14, 29
12, 0.00001070, 24.97, 15
13, 0.00000956, 122.38, 55
14, 0.00000257, 2.00, 2
15, 0.00000350, 76.55, 51
16, 0.00001259, 138.60, 55
17, 0.00000984, 142.95, 51
18, 0.00000363, 84.88, 66
19, 0.00000806, 64.67, 59
20, 0.00000363, 2.00, 2
21, 0.00000405, 75.52, 64
22, 0.00000544, 57.80, 59
