BENCH: vgg16
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials
0, 0.00029990, 126.84, 51
1, 0.00029092, 159.81, 51
2, 0.00004525, 78.11, 62
3, 0.00000347, 14.70, 12
4, 0.00010870, 174.78, 51
5, 0.00013785, 145.73, 43
6, 0.00008777, 53.20, 47
7, 0.00001117, 2.00, 2
8, 0.00002235, 134.70, 51
9, 0.00056467, 42.09, 42
10, 0.00000340, 15.11, 12
11, 0.00034960, 102.27, 40
12, 0.00024400, 117.52, 51
13, 0.00000217, 13.15, 11
14, 0.00000414, 17.23, 14
15, 0.00014325, 130.04, 55
16, 0.00014537, 138.84, 51
17, 0.00002104, 15.29, 12
18, 0.00000259, 14.62, 12
