BENCH: densenet161
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00020616, 140.82, 100
1, 0.00016509, 141.11, 100
2, 0.00071305, 142.02, 100
3, 0.00210670, 146.35, 100
4, 0.00026044, 142.06, 100
5, 0.00054272, 142.60, 100
6, 0.00101580, 143.39, 100
7, 0.00613467, 151.34, 100
8, 0.00023825, 141.29, 100
9, 0.00014334, 141.18, 100
10, 0.00057834, 142.06, 100
11, 0.00000592, 133.97, 100
12, 0.00403103, 148.28, 100
13, 0.00131686, 144.03, 100
14, 0.00047832, 142.12, 100
15, 0.00075047, 143.02, 100
16, 0.00020173, 140.79, 100
17, 0.00046489, 140.77, 100
18, 0.00003313, 50.24, 36
19, 0.00093762, 141.55, 100
20, 0.00310407, 145.16, 100
21, 0.00014097, 141.02, 100
22, 0.00000535, 135.07, 100
23, 0.00030798, 140.74, 100
24, 0.00024656, 142.03, 100
25, 0.00022220, 141.86, 100
26, 0.00013437, 141.12, 100
27, 0.00022584, 141.38, 100
28, 0.00023743, 141.40, 100
29, 0.00090419, 142.50, 100
30, 0.00111056, 145.03, 100
31, 0.00041027, 141.79, 100
32, 0.00023941, 141.23, 100
33, 0.00035303, 141.79, 100
34, 0.00058651, 142.92, 100
35, 0.00077403, 142.79, 100
36, 0.00087359, 143.75, 100
37, 0.00060085, 142.85, 100
38, 0.00034247, 141.86, 100
39, 0.00000639, 134.32, 100
40, 0.00032859, 141.67, 100
41, 0.00286901, 146.15, 100
42, 0.00060837, 142.81, 100
43, 0.00026374, 140.52, 100
44, 0.00000444, 149.77, 100
45, 0.00071316, 153.28, 100
46, 0.00030106, 142.18, 100
47, 0.00039333, 142.53, 100
48, 0.00037808, 141.27, 100
49, 0.00018022, 141.54, 100
50, 0.00017636, 141.71, 100
51, 0.00034315, 141.54, 100
52, 0.00037956, 142.37, 100
53, 0.00057515, 142.63, 100
54, 0.00022891, 140.76, 100
55, 0.00015428, 140.61, 100
56, 0.00066412, 142.03, 100
57, 0.00144476, 145.05, 100
58, 0.00019331, 139.79, 100
59, 0.00046500, 142.66, 100
60, 0.00103230, 143.12, 100
61, 0.00021595, 141.61, 100
62, 0.00045214, 143.48, 100
63, 0.00052975, 142.51, 100
64, 0.00040388, 142.74, 100
65, 0.00112663, 143.57, 100
66, 0.00015280, 141.40, 100
67, 0.00000831, 134.97, 100
68, 0.00023869, 142.10, 100
69, 0.00077071, 142.55, 100
70, 0.00106029, 144.92, 100
71, 0.00023700, 141.95, 100
72, 0.00150994, 146.90, 100
73, 0.00021707, 142.32, 100
74, 0.00012356, 140.52, 100
75, 0.00090554, 143.19, 100
76, 0.00031346, 141.00, 100
77, 0.00042189, 142.15, 100
78, 0.00019652, 142.08, 100
79, 0.00087324, 142.72, 100
80, 0.00062895, 142.71, 100
81, 0.00041620, 141.78, 100
82, 0.00063363, 144.54, 100
83, 0.00032004, 142.40, 100
84, 0.00071441, 143.11, 100
85, 0.00000635, 49.62, 36
86, 0.00072988, 143.47, 100
87, 0.00030984, 140.98, 100
88, 0.00027578, 141.91, 100
89, 0.00057150, 142.54, 100
90, 0.00051530, 142.47, 100
91, 0.00018624, 142.00, 100
92, 0.00029308, 142.68, 100
