BENCH: densenet201
layer, grid-300 exec, grid-300 std, grid-300 tuning, grid-300 trials
0, 0.00050984, 0.00000064, 142.94, 100
1, 0.00059073, 0.00000113, 143.15, 100
2, 0.00031164, 0.00000048, 142.34, 100
3, 0.00103024, 0.00000161, 144.31, 100
4, 0.00013380, 0.00000028, 141.70, 100
5, 0.00209010, 0.00000259, 143.93, 100
6, 0.00047218, 0.00000132, 142.69, 100
7, 0.00393669, 0.00000110, 148.95, 100
8, 0.00019443, 0.00000069, 142.07, 100
9, 0.00000569, 0.00000016, 134.09, 100
10, 0.00027136, 0.00000074, 142.21, 100
11, 0.00054145, 0.00000071, 143.41, 100
12, 0.00039571, 0.00000041, 142.81, 100
13, 0.00034473, 0.00000054, 142.86, 100
14, 0.00061508, 0.00000000, 142.99, 100
15, 0.00034167, 0.00000100, 143.31, 100
16, 0.00015565, 0.00000048, 140.22, 100
17, 0.00022926, 0.00000080, 141.93, 100
18, 0.00003017, 0.00000019, 59.78, 40
19, 0.00024472, 0.00000026, 142.28, 100
20, 0.00044578, 0.00000028, 142.62, 100
21, 0.00125201, 0.00000155, 142.73, 100
22, 0.00010340, 0.00000003, 141.81, 100
23, 0.00020378, 0.00000028, 142.59, 100
24, 0.00000535, 0.00000016, 134.68, 100
25, 0.00022503, 0.00000013, 142.21, 100
26, 0.00012914, 0.00000016, 142.04, 100
27, 0.00023174, 0.00000003, 142.23, 100
28, 0.00015484, 0.00000015, 141.89, 100
29, 0.00018250, 0.00000032, 142.13, 100
30, 0.00051667, 0.00000043, 142.69, 100
31, 0.00021506, 0.00000047, 142.06, 100
32, 0.00060221, 0.00000079, 143.25, 100
33, 0.00013846, 0.00000042, 141.86, 100
34, 0.00040322, 0.00000105, 142.58, 100
35, 0.00086630, 0.00000028, 144.17, 100
36, 0.00047910, 0.00000066, 143.11, 100
37, 0.00056297, 0.00000143, 143.37, 100
38, 0.00028388, 0.00000043, 142.18, 100
39, 0.00020332, 0.00000085, 141.90, 100
40, 0.00035203, 0.00000043, 142.27, 100
41, 0.00066628, 0.00000028, 141.70, 100
42, 0.00015756, 0.00000041, 141.59, 100
43, 0.00043736, 0.00000125, 142.67, 100
44, 0.00023780, 0.00000016, 142.13, 100
45, 0.00000592, 0.00000016, 133.97, 100
46, 0.00134372, 0.00000016, 143.77, 100
47, 0.00048467, 0.00000025, 142.83, 100
48, 0.00020378, 0.00000028, 142.40, 100
49, 0.00011708, 0.00000027, 141.82, 100
50, 0.00023154, 0.00000016, 141.19, 100
51, 0.00000532, 0.00000030, 138.97, 100
52, 0.00057708, 0.00000085, 147.58, 100
53, 0.00031004, 0.00000043, 141.95, 100
54, 0.00019092, 0.00000016, 141.67, 100
55, 0.00015861, 0.00000032, 141.81, 100
56, 0.00053894, 0.00000127, 143.16, 100
57, 0.00017795, 0.00000016, 141.97, 100
58, 0.00021677, 0.00000052, 142.45, 100
59, 0.00061224, 0.00000143, 143.54, 100
60, 0.00014336, 0.00000000, 141.09, 100
61, 0.00041165, 0.00000074, 142.80, 100
62, 0.00017146, 0.00000015, 141.12, 100
63, 0.00048719, 0.00000059, 143.11, 100
64, 0.00014541, 0.00000028, 141.72, 100
65, 0.00057399, 0.00000072, 143.12, 100
66, 0.00029103, 0.00000042, 141.99, 100
67, 0.00067891, 0.00000279, 143.36, 100
68, 0.00009078, 0.00000028, 141.72, 100
69, 0.00036840, 0.00000085, 142.68, 100
70, 0.00045692, 0.00000017, 143.09, 100
71, 0.00017293, 0.00000043, 141.90, 100
72, 0.00023575, 0.00000016, 141.20, 100
73, 0.00024529, 0.00000092, 142.10, 100
74, 0.00032337, 0.00000083, 142.26, 100
75, 0.00053031, 0.00000031, 142.62, 100
76, 0.00021151, 0.00000016, 142.18, 100
77, 0.00023836, 0.00000016, 142.42, 100
78, 0.00000694, 0.00000016, 134.51, 100
79, 0.00012434, 0.00000041, 141.88, 100
80, 0.00016418, 0.00000028, 140.78, 100
81, 0.00035169, 0.00000043, 142.74, 100
82, 0.00019126, 0.00000032, 142.64, 100
83, 0.00054591, 0.00000116, 141.82, 100
84, 0.00022098, 0.00000015, 142.44, 100
85, 0.00011742, 0.00000028, 142.03, 100
86, 0.00014848, 0.00000000, 142.03, 100
87, 0.00110558, 0.00000148, 143.59, 100
88, 0.00017781, 0.00000047, 142.09, 100
89, 0.00057889, 0.00000030, 143.25, 100
90, 0.00031277, 0.00000113, 141.02, 100
91, 0.00042277, 0.00000043, 143.00, 100
92, 0.00050822, 0.00000122, 143.36, 100
93, 0.00012981, 0.00000014, 142.26, 100
94, 0.00038559, 0.00000042, 142.89, 100
95, 0.00045693, 0.00000043, 143.21, 100
96, 0.00017772, 0.00000043, 142.20, 100
97, 0.00051622, 0.00000269, 144.03, 100
98, 0.00034179, 0.00000085, 142.47, 100
99, 0.00000501, 0.00000032, 49.16, 36
100, 0.00057309, 0.00000028, 142.77, 100
101, 0.00025668, 0.00000048, 142.24, 100
102, 0.00013778, 0.00000032, 141.74, 100
103, 0.00024129, 0.00000027, 142.45, 100
104, 0.00026715, 0.00000016, 142.37, 100
105, 0.00021265, 0.00000049, 142.03, 100
106, 0.00017238, 0.00000002, 142.34, 100
107, 0.00039855, 0.00000015, 142.68, 100
108, 0.00019568, 0.00000013, 142.62, 100
109, 0.00022541, 0.00000030, 142.52, 100
110, 0.00012242, 0.00000016, 142.01, 100
111, 0.00015077, 0.00000017, 141.95, 100
112, 0.00017954, 0.00000028, 141.03, 100
