BENCH: googlenet
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00120033, 149.42, 100
1, 0.00012275, 142.02, 100
2, 0.00000396, 49.58, 36
3, 0.00057378, 148.06, 100
4, 0.00020207, 143.19, 100
5, 0.00005165, 138.57, 100
6, 0.00005780, 147.71, 100
7, 0.00004312, 139.19, 100
8, 0.00018762, 141.36, 100
9, 0.00004528, 144.84, 100
10, 0.00000432, 49.46, 36
11, 0.00001445, 79.72, 40
12, 0.00007670, 144.53, 100
13, 0.00019409, 140.71, 100
14, 0.00022255, 143.00, 100
15, 0.00000525, 135.38, 100
16, 0.00009192, 138.31, 100
17, 0.00000341, 54.79, 40
18, 0.00008738, 140.46, 100
19, 0.00020753, 141.43, 100
20, 0.00000397, 49.43, 36
21, 0.00012002, 147.61, 100
22, 0.00069473, 148.75, 100
23, 0.00003243, 143.88, 100
24, 0.00010977, 142.51, 100
25, 0.00009921, 140.27, 100
26, 0.00021820, 142.42, 100
27, 0.00026363, 141.20, 100
28, 0.00000453, 49.15, 36
29, 0.00000454, 150.32, 100
30, 0.00057251, 151.37, 100
31, 0.00236588, 150.59, 100
32, 0.00016828, 142.10, 100
33, 0.00004518, 142.53, 100
34, 0.00000353, 53.59, 40
35, 0.00007747, 147.37, 100
36, 0.00011273, 142.46, 100
37, 0.00022514, 140.89, 100
38, 0.00009603, 140.39, 100
39, 0.00000388, 49.07, 36
40, 0.00017795, 142.30, 100
41, 0.00014985, 140.41, 100
42, 0.00013926, 142.54, 100
43, 0.00043016, 148.91, 100
44, 0.00013824, 141.32, 100
45, 0.00043010, 149.53, 100
46, 0.00011878, 138.68, 100
47, 0.00005815, 139.06, 100
48, 0.00000389, 49.47, 36
49, 0.00017615, 142.33, 100
50, 0.00012117, 141.64, 100
51, 0.00085311, 148.89, 100
52, 0.00131627, 148.88, 100
53, 0.00434518, 153.85, 100
54, 0.00006483, 138.10, 100
55, 0.00000510, 49.31, 36
56, 0.00000480, 49.69, 36
57, 0.00005369, 139.01, 100
58, 0.00051620, 149.86, 100
59, 0.00006110, 138.09, 100
60, 0.00035180, 142.81, 100
61, 0.00031664, 146.86, 100
