BENCH: mobilenet_v2
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00015940, 144.59, 100
1, 0.00013619, 140.05, 100
2, 0.00000978, 168.30, 100
3, 0.00016489, 143.10, 100
4, 0.00007020, 141.68, 100
5, 0.00000660, 170.00, 100
6, 0.00001636, 53.31, 36
7, 0.00004015, 140.34, 100
8, 0.00009193, 139.99, 100
9, 0.00000534, 135.38, 100
10, 0.00014039, 142.29, 100
11, 0.00005711, 144.26, 100
12, 0.00029662, 143.33, 100
13, 0.00000761, 157.85, 100
14, 0.00025077, 140.92, 100
15, 0.00006453, 145.25, 100
16, 0.00000444, 150.41, 100
17, 0.00004382, 138.82, 100
18, 0.00007202, 143.28, 100
19, 0.00001329, 168.11, 100
20, 0.00001854, 160.88, 100
21, 0.00013470, 141.67, 100
22, 0.00013378, 144.30, 100
23, 0.00008215, 142.52, 100
24, 0.00004469, 158.87, 100
25, 0.00007771, 141.28, 100
26, 0.00000546, 158.12, 100
27, 0.00013892, 139.97, 100
28, 0.00001990, 166.24, 100
29, 0.00006941, 141.91, 100
30, 0.00006394, 170.04, 100
31, 0.00011048, 140.92, 100
32, 0.00011923, 141.87, 100
