BENCH: resnet18
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.00009123, 143.03, 100
1, 0.00172352, 150.53, 100
2, 0.00170065, 147.14, 100
3, 0.00003971, 140.12, 100
4, 0.00000523, 134.86, 100
5, 0.00170291, 149.36, 100
6, 0.00199477, 156.26, 100
7, 0.00087448, 148.35, 100
8, 0.00161483, 152.07, 100
9, 0.00000443, 149.74, 100
10, 0.00199464, 154.21, 100
11, 0.00057287, 151.24, 100
12, 0.00009738, 142.12, 100
13, 0.00161393, 150.37, 100
14, 0.00008840, 141.94, 100
15, 0.00097178, 150.66, 100
16, 0.00172428, 152.82, 100
17, 0.00000510, 49.43, 36
18, 0.00081201, 148.17, 100
