BENCH: vgg13
layer, grid-300 exec, grid-300 tuning, grid-300 trials
0, 0.01964497, 179.51, 100
1, 0.02145497, 185.18, 100
2, 0.00005313, 67.83, 36
3, 0.00000501, 48.65, 36
4, 0.00564687, 160.84, 100
5, 0.00961809, 164.41, 100
6, 0.00049319, 171.86, 100
7, 0.00001217, 54.78, 40
8, 0.00038559, 151.38, 100
9, 0.00310384, 325.79, 100
10, 0.00000441, 150.12, 100
11, 0.02052880, 182.81, 100
12, 0.01947477, 182.08, 100
13, 0.00000319, 53.31, 40
14, 0.00000535, 133.33, 100
15, 0.01012837, 165.46, 100
16, 0.00945323, 165.64, 100
17, 0.00002185, 56.25, 40
18, 0.00000408, 48.28, 36
