BENCH: inception_v3
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00003696, 0.00000041, 47.38, 54.71, 49, 0.00005273, 0.00000000, 7.33,  1, 0.00000721, 0.00000000, 937.84, 128, 1.43, 0.20, 0.13, 17.14, 0.00000005
1, 0.00008258, 0.00000002, 17.71, 25.04, 26, 0.00013744, 0.00000000, 7.33,  1, 0.00002380, 0.00000000, 937.84, 128, 1.66, 0.29, 0.29, 37.46, 0.00000000
2, 0.00006662, 0.00000010, 17.24, 24.56, 11, 0.00006662, 0.00000010, 7.33,  1, 0.00001589, 0.00000001, 2344.61, 320, 1.00, 0.24, 0.30, 95.45, 0.00000000
3, 0.00001001, 0.00000016, 25.76, 33.08, 47, 0.00003169, 0.00000002, 7.33,  1, 0.00000754, 0.00000001, 468.92, 64, 3.17, 0.75, 0.22, 14.17, 0.00002365
4, 0.00019534, 0.00000018, 35.26, 42.59, 39, 0.00028889, 0.00000062, 7.33,  1, 0.00002165, 0.00000005, 937.84, 128, 1.48, 0.11, 0.17, 22.02, 0.00000000
5, 0.00008647, 0.00000008, 12.86, 20.19, 11, 0.00008647, 0.00000008, 7.33,  1, 0.00001404, 0.00000003, 5627.06, 768, 1.00, 0.16, 0.36, 278.77, 0.00000000
6, 0.00010745, 0.00000017, 15.25, 22.57, 13, 0.00010745, 0.00000017, 7.33,  1, 0.00003207, 0.00000018, 1406.76, 192, 1.00, 0.30, 0.32, 62.32, 0.00000000
7, 0.00019877, 0.00000016, 24.86, 32.19, 22, 0.00045235, 0.00000002, 7.33,  1, 0.00001241, 0.00000000, 2344.61, 320, 2.28, 0.06, 0.23, 72.84, 0.00000000
8, 0.00000218, 0.00000000, 9.43, 16.76, 11, 0.00000218, 0.00000000, 7.33,  1, 0.00000216, 0.00000000, 468.92, 64, 1.00, 0.99, 0.44, 27.98, 0.00143510
9, 0.00026034, 0.00000002, 17.60, 24.93, 12, 0.00026034, 0.00000002, 7.33,  1, 0.00002848, 0.00000000, 1406.76, 192, 1.00, 0.11, 0.29, 56.43, 0.00000000
10, 0.00005953, 0.00000000, 16.44, 23.76, 11, 0.00005953, 0.00000000, 7.33,  1, 0.00001505, 0.00000000, 937.84, 128, 1.00, 0.25, 0.31, 39.47, 0.00000000
11, 0.00012688, 0.00000059, 21.73, 29.06, 13, 0.00012688, 0.00000059, 7.33,  1, 0.00000854, 0.00000001, 1406.76, 192, 1.00, 0.07, 0.25, 48.42, 0.00000000
