BENCH: mnasnet1_0
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00001183, 0.00000000, 31.25, 38.38, 11, 0.00001183, 0.00000000, 7.13,  1, 0.00000439, 0.00000001, 1824.15, 256, 1.00, 0.37, 0.19, 47.53, 0.00000000
1, 0.00001104, 0.00000016, 25.94, 33.07, 22, 0.00001144, 0.00000000, 7.13,  1, 0.00000426, 0.00000001, 912.08, 128, 1.04, 0.39, 0.22, 27.58, 0.00000048
2, 0.00001884, 0.00000000, 10.39, 17.52, 11, 0.00001884, 0.00000000, 7.13,  1, 0.00000948, 0.00000000, 1824.15, 256, 1.00, 0.50, 0.41, 104.14, 0.00000000
3, 0.00002309, 0.00000016, 18.45, 25.57, 23, 0.00003206, 0.00000004, 7.13,  1, 0.00000759, 0.00000002, 5016.41, 704, 1.39, 0.33, 0.28, 196.16, 0.00000002
4, 0.00000695, 0.00000000, 19.00, 26.12, 11, 0.00000695, 0.00000000, 7.13,  1, 0.00000485, 0.00000001, 912.08, 128, 1.00, 0.70, 0.27, 34.91, 0.00000000
5, 0.00004517, 0.00000090, 24.53, 31.66, 47, 0.00007545, 0.00000004, 7.13,  1, 0.00001010, 0.00000000, 2280.19, 320, 1.67, 0.22, 0.23, 72.03, 0.00000064
6, 0.00000698, 0.00000000, 8.83, 15.95, 5, 0.00000698, 0.00000000, 7.13,  1, 0.00000229, 0.00000000, 912.08, 128, 1.00, 0.33, 0.45, 57.17, 0.00000000
7, 0.00000877, 0.00000000, 13.30, 20.43, 11, 0.00000877, 0.00000000, 7.13,  1, 0.00000552, 0.00000000, 912.08, 128, 1.00, 0.63, 0.35, 44.65, 0.00000000
8, 0.00003309, 0.00000026, 29.53, 36.66, 39, 0.00003784, 0.00000000, 7.13,  1, 0.00001114, 0.00000002, 2280.19, 320, 1.14, 0.34, 0.19, 62.20, 0.00000003
9, 0.00001124, 0.00000003, 21.68, 28.80, 26, 0.00002036, 0.00000000, 7.13,  1, 0.00000313, 0.00000000, 1368.11, 192, 1.81, 0.28, 0.25, 47.50, 0.00000000
10, 0.00003723, 0.00000000, 14.18, 21.31, 15, 0.00003723, 0.00000000, 7.13,  1, 0.00000375, 0.00000000, 1368.11, 192, 1.00, 0.10, 0.33, 64.21, 0.00000000
