BENCH: mobilenet_v2
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00000743, 0.00000003, 11.13, 18.18, 11, 0.00000743, 0.00000003, 7.05,  1, 0.00000724, 0.00000000, 1806.06, 256, 1.00, 0.97, 0.39, 99.34, 0.00055630
1, 0.00000865, 0.00000016, 31.52, 38.57, 40, 0.00000913, 0.00000001, 7.05,  1, 0.00000415, 0.00000000, 903.03, 128, 1.06, 0.48, 0.18, 23.41, 0.00000246
2, 0.00001001, 0.00000016, 53.87, 60.93, 21, 0.00002029, 0.00000002, 7.05,  1, 0.00000236, 0.00000000, 2257.57, 320, 2.03, 0.24, 0.12, 37.05, 0.00000029
3, 0.00001383, 0.00000005, 13.91, 20.96, 11, 0.00001383, 0.00000005, 7.05,  1, 0.00001023, 0.00000000, 4966.65, 704, 1.00, 0.74, 0.34, 236.96, 0.00000006
4, 0.00004093, 0.00000000, 25.29, 32.35, 16, 0.00004093, 0.00000000, 7.05,  1, 0.00000356, 0.00000000, 2257.57, 320, 1.00, 0.09, 0.22, 69.79, 0.00000000
5, 0.00000614, 0.00000001, 24.49, 31.54, 15, 0.00000897, 0.00000000, 7.05,  1, 0.00000256, 0.00000000, 2257.57, 320, 1.46, 0.42, 0.22, 71.57, 0.00000000
6, 0.00004780, 0.00000000, 13.46, 20.52, 15, 0.00004780, 0.00000000, 7.05,  1, 0.00000958, 0.00000000, 2257.57, 320, 1.00, 0.20, 0.34, 110.03, 0.00000000
7, 0.00001445, 0.00000016, 20.25, 27.31, 31, 0.00001525, 0.00000002, 7.05,  1, 0.00000427, 0.00000000, 903.03, 128, 1.06, 0.30, 0.26, 33.07, 0.00000009
8, 0.00000993, 0.00000000, 16.09, 23.14, 11, 0.00000993, 0.00000000, 7.05,  1, 0.00000538, 0.00000000, 2709.08, 384, 1.00, 0.54, 0.30, 117.06, 0.00000000
9, 0.00000419, 0.00000002, 10.10, 17.16, 12, 0.00000419, 0.00000002, 7.05,  1, 0.00000411, 0.00000000, 903.03, 128, 1.00, 0.98, 0.41, 52.64, 0.00601872
10, 0.00001462, 0.00000000, 13.53, 20.58, 15, 0.00001462, 0.00000000, 7.05,  1, 0.00000647, 0.00000001, 4515.14, 640, 1.00, 0.44, 0.34, 219.38, 0.00000000
11, 0.00000644, 0.00000000, 15.37, 22.43, 12, 0.00000644, 0.00000000, 7.05,  1, 0.00000499, 0.00000000, 2257.57, 320, 1.00, 0.77, 0.31, 100.65, 0.00000000
12, 0.00017054, 0.00000038, 12.94, 19.99, 13, 0.00017054, 0.00000038, 7.05,  1, 0.00001115, 0.00000000, 2709.08, 384, 1.00, 0.07, 0.35, 135.52, 0.00000000
13, 0.00000451, 0.00000000, 14.96, 22.01, 11, 0.00000451, 0.00000000, 7.05,  1, 0.00000295, 0.00000000, 903.03, 128, 1.00, 0.65, 0.32, 41.02, 0.00000000
14, 0.00002230, 0.00000000, 13.94, 20.99, 16, 0.00002230, 0.00000000, 7.05,  1, 0.00001884, 0.00000003, 4063.63, 576, 1.00, 0.84, 0.34, 193.58, 0.00000001
15, 0.00001112, 0.00000000, 16.64, 23.70, 13, 0.00001112, 0.00000000, 7.05,  1, 0.00000499, 0.00000000, 1354.54, 192, 1.00, 0.45, 0.30, 57.16, 0.00000000
16, 0.00001015, 0.00000001, 12.55, 19.60, 14, 0.00001015, 0.00000001, 7.05,  1, 0.00000305, 0.00000000, 903.03, 128, 1.00, 0.30, 0.36, 46.06, 0.00000000
17, 0.00000867, 0.00000000, 10.63, 17.69, 11, 0.00000867, 0.00000000, 7.05,  1, 0.00000396, 0.00000000, 903.03, 128, 1.00, 0.46, 0.40, 51.05, 0.00000000
18, 0.00003037, 0.00000056, 73.58, 80.63, 38, 0.00003546, 0.00000006, 7.05,  1, 0.00000525, 0.00000000, 1354.54, 192, 1.17, 0.17, 0.09, 16.80, 0.00000036
19, 0.00000829, 0.00000017, 15.52, 22.57, 18, 0.00001478, 0.00000004, 7.05,  1, 0.00000323, 0.00000000, 1354.54, 192, 1.78, 0.39, 0.31, 60.01, 0.00000212
20, 0.00000690, 0.00000002, 17.83, 24.89, 11, 0.00000690, 0.00000002, 7.05,  1, 0.00000380, 0.00000000, 903.03, 128, 1.00, 0.55, 0.28, 36.28, 0.00000001
