BENCH: alexnet
layer, random-300 exec, random-300 std, random-300 tuning, random-300 trials
0, 0.02735560, 0.00063027, 1396.15, 100
1, 0.00028157, 0.00000050, 157.62, 100
2, 0.00000318, 0.00000017, 52.88, 40
3, 0.01262287, 0.00000192, 621.10, 100
4, 0.00101342, 0.00000074, 133.54, 100
5, 0.00000430, 0.00000015, 143.54, 100
6, 0.01894117, 0.00000253, 624.78, 100
7, 0.00000512, 0.00000048, 132.13, 100
8, 0.00890584, 0.00000016, 1463.83, 100
9, 0.00000341, 0.00000028, 47.49, 36
10, 0.00000366, 0.00000040, 47.77, 36
11, 0.01363037, 0.00077808, 697.03, 100
12, 0.00219967, 0.00000043, 166.95, 100
