BENCH: resnet50
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00002060, 0.00000003, 19.78, 26.25, 13, 0.00002060, 0.00000003, 6.47,  1, 0.00001544, 0.00000001, 828.45, 128, 1.00, 0.75, 0.25, 31.56, 0.00000000
1, 0.00007723, 0.00000018, 102.28, 108.75, 52, 0.00013953, 0.00000001, 6.47,  1, 0.00003682, 0.00000007, 2071.13, 320, 1.81, 0.48, 0.06, 19.04, 0.00000000
2, 0.00001961, 0.00000000, 19.31, 25.78, 12, 0.00001961, 0.00000000, 6.47,  1, 0.00000579, 0.00000000, 414.23, 64, 1.00, 0.30, 0.25, 16.07, 0.00000000
3, 0.00007675, 0.00000001, 13.84, 20.31, 14, 0.00007675, 0.00000001, 6.47,  1, 0.00002417, 0.00000000, 1242.68, 192, 1.00, 0.31, 0.32, 61.18, 0.00000000
4, 0.00000418, 0.00000000, 10.72, 17.19, 12, 0.00000418, 0.00000000, 6.47,  1, 0.00000412, 0.00000000, 414.23, 64, 1.00, 0.98, 0.38, 24.10, 0.00004595
5, 0.00006260, 0.00000001, 15.74, 22.21, 14, 0.00006260, 0.00000001, 6.47,  1, 0.00002651, 0.00000007, 1242.68, 192, 1.00, 0.42, 0.29, 55.94, 0.00000000
6, 0.00029528, 0.00000025, 18.26, 24.73, 21, 0.00036928, 0.00000002, 6.47,  1, 0.00009555, 0.00000000, 3728.03, 576, 1.25, 0.32, 0.26, 150.74, 0.00000000
7, 0.00004943, 0.00000002, 19.90, 26.38, 15, 0.00004943, 0.00000002, 6.47,  1, 0.00002060, 0.00000003, 2899.58, 448, 1.00, 0.42, 0.25, 109.93, 0.00000000
8, 0.00013641, 0.00000012, 26.39, 32.86, 15, 0.00013641, 0.00000012, 6.47,  1, 0.00002380, 0.00000004, 1242.68, 192, 1.00, 0.17, 0.20, 37.82, 0.00000000
9, 0.00264812, 0.00000021, 10.87, 17.34, 11, 0.00264812, 0.00000021, 6.47,  1, 0.00010115, 0.00000011, 4142.25, 640, 1.00, 0.04, 0.37, 238.83, 0.00000000
10, 0.00061353, 0.00000059, 33.76, 40.23, 17, 0.00061353, 0.00000059, 6.47,  1, 0.00001311, 0.00000004, 2485.35, 384, 1.00, 0.02, 0.16, 61.77, 0.00000000
11, 0.00008932, 0.00000080, 24.35, 30.82, 38, 0.00011587, 0.00000000, 6.47,  1, 0.00003532, 0.00000009, 2899.58, 448, 1.30, 0.40, 0.21, 94.07, 0.00000008
12, 0.00034476, 0.00000004, 40.16, 46.63, 11, 0.00034476, 0.00000004, 6.47,  1, 0.00002717, 0.00000007, 1242.68, 192, 1.00, 0.08, 0.14, 26.65, 0.00000000
13, 0.00011667, 0.00000000, 14.35, 20.83, 15, 0.00011667, 0.00000000, 6.47,  1, 0.00003408, 0.00000006, 1656.90, 256, 1.00, 0.29, 0.31, 79.56, 0.00000000
14, 0.00024504, 0.00000027, 18.90, 25.38, 22, 0.00026464, 0.00000001, 6.47,  1, 0.00002957, 0.00000004, 3728.03, 576, 1.08, 0.12, 0.26, 146.91, 0.00000000
15, 0.00003287, 0.00000000, 10.96, 17.43, 13, 0.00003287, 0.00000000, 6.47,  1, 0.00000305, 0.00000000, 414.23, 64, 1.00, 0.09, 0.37, 23.76, 0.00000000
16, 0.00045160, 0.00000003, 20.88, 27.35, 13, 0.00045160, 0.00000003, 6.47,  1, 0.00001605, 0.00000002, 1242.68, 192, 1.00, 0.04, 0.24, 45.43, 0.00000000
17, 0.00002276, 0.00000032, 27.77, 34.25, 41, 0.00003700, 0.00000001, 6.47,  1, 0.00001684, 0.00000001, 2071.13, 320, 1.63, 0.74, 0.19, 60.48, 0.00001308
18, 0.00021083, 0.00000016, 34.33, 40.81, 37, 0.00027269, 0.00000014, 6.47,  1, 0.00005689, 0.00000000, 4556.48, 704, 1.29, 0.27, 0.16, 111.66, 0.00000000
19, 0.00030174, 0.00000028, 19.80, 26.27, 22, 0.00032986, 0.00000000, 6.47,  1, 0.00003381, 0.00000006, 6627.60, 1024, 1.09, 0.11, 0.25, 252.31, 0.00000000
20, 0.00005653, 0.00000003, 15.06, 21.53, 11, 0.00005653, 0.00000003, 6.47,  1, 0.00002894, 0.00000004, 1242.68, 192, 1.00, 0.51, 0.30, 57.72, 0.00000000
21, 0.00014247, 0.00000040, 43.10, 49.57, 43, 0.00036687, 0.00000020, 6.47,  1, 0.00001793, 0.00000001, 2485.35, 384, 2.57, 0.13, 0.13, 50.13, 0.00000000
22, 0.00006470, 0.00000002, 11.16, 17.64, 11, 0.00006470, 0.00000002, 6.47,  1, 0.00002145, 0.00000003, 4142.25, 640, 1.00, 0.33, 0.37, 234.88, 0.00000000
23, 0.00006610, 0.00000016, 28.62, 35.09, 39, 0.00007636, 0.00000000, 6.47,  1, 0.00001717, 0.00000003, 4142.25, 640, 1.16, 0.26, 0.18, 118.05, 0.00000000
24, 0.00000632, 0.00000001, 10.13, 16.61, 11, 0.00000632, 0.00000001, 6.47,  1, 0.00000366, 0.00000001, 388.34, 60, 1.00, 0.58, 0.39, 23.39, 0.00000000
25, 0.00203014, 0.00000126, 76.86, 83.33, 33, 0.00228129, 0.00000189, 6.47,  1, 0.00002301, 0.00000005, 2899.58, 448, 1.12, 0.01, 0.08, 34.80, 0.00000000
26, 0.00014370, 0.00000001, 14.39, 20.87, 14, 0.00014370, 0.00000001, 6.47,  1, 0.00006052, 0.00000000, 2485.35, 384, 1.00, 0.42, 0.31, 119.11, 0.00000000
27, 0.00011261, 0.00000028, 26.89, 33.36, 36, 0.00020633, 0.00000010, 6.47,  1, 0.00003393, 0.00000007, 2071.13, 320, 1.83, 0.30, 0.19, 62.09, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), std Ansor-10, tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k, p-value
0, 0.00001930, 0.00000005, 9.10, 73.83, 11, 0.00001930, 0.00000005, 64.72, 10, 0.00001544, 0.00000001, 828.45, 128, 1.00, 0.80, 0.88, 11.22, 0.00000005
1, 0.00007746, 0.00000030, 63.08, 127.81, 33, 0.00013953, 0.00000001, 64.72, 10, 0.00003682, 0.00000007, 2071.13, 320, 1.80, 0.48, 0.51, 16.21, 0.00000000
2, 0.00001492, 0.00000000, 14.06, 78.78, 17, 0.00001492, 0.00000000, 64.72, 10, 0.00000579, 0.00000000, 414.23, 64, 1.00, 0.39, 0.82, 5.26, 0.00000000
3, 0.00007675, 0.00000001, 13.81, 78.54, 14, 0.00007675, 0.00000001, 64.72, 10, 0.00002417, 0.00000000, 1242.68, 192, 1.00, 0.31, 0.82, 15.82, 0.00000000
4, 0.00000414, 0.00000000, 11.01, 75.73, 13, 0.00000414, 0.00000000, 64.72, 10, 0.00000412, 0.00000000, 414.23, 64, 1.00, 1.00, 0.85, 5.47, 0.00021051
5, 0.00006260, 0.00000001, 15.71, 80.43, 14, 0.00006260, 0.00000001, 64.72, 10, 0.00002651, 0.00000007, 1242.68, 192, 1.00, 0.42, 0.80, 15.45, 0.00000000
6, 0.00013289, 0.00000016, 19.56, 84.28, 25, 0.00014844, 0.00000001, 64.72, 10, 0.00009555, 0.00000000, 3728.03, 576, 1.12, 0.72, 0.77, 44.23, 0.00000000
7, 0.00003799, 0.00000002, 15.09, 79.81, 11, 0.00003799, 0.00000002, 64.72, 10, 0.00002060, 0.00000003, 2899.58, 448, 1.00, 0.54, 0.81, 36.33, 0.00000000
8, 0.00002776, 0.00000043, 56.64, 121.36, 62, 0.00004113, 0.00000002, 64.72, 10, 0.00002380, 0.00000004, 1242.68, 192, 1.48, 0.86, 0.53, 10.24, 0.00019527
9, 0.00061683, 0.00000003, 15.67, 80.39, 13, 0.00061683, 0.00000003, 64.72, 10, 0.00010115, 0.00000011, 4142.25, 640, 1.00, 0.16, 0.81, 51.53, 0.00000000
10, 0.00002286, 0.00000001, 19.13, 83.86, 15, 0.00002286, 0.00000001, 64.72, 10, 0.00001311, 0.00000004, 2485.35, 384, 1.00, 0.57, 0.77, 29.64, 0.00000000
11, 0.00009013, 0.00000026, 22.49, 87.22, 37, 0.00011587, 0.00000000, 64.72, 10, 0.00003532, 0.00000009, 2899.58, 448, 1.29, 0.39, 0.74, 33.25, 0.00000000
12, 0.00004477, 0.00000000, 12.33, 77.06, 11, 0.00004477, 0.00000000, 64.72, 10, 0.00002717, 0.00000007, 1242.68, 192, 1.00, 0.61, 0.84, 16.13, 0.00000000
13, 0.00005356, 0.00000005, 23.45, 88.18, 15, 0.00005356, 0.00000005, 64.72, 10, 0.00003408, 0.00000006, 1656.90, 256, 1.00, 0.64, 0.73, 18.79, 0.00000000
14, 0.00004972, 0.00000000, 21.21, 85.94, 15, 0.00004972, 0.00000000, 64.72, 10, 0.00002957, 0.00000004, 3728.03, 576, 1.00, 0.59, 0.75, 43.38, 0.00000000
15, 0.00001003, 0.00000000, 12.01, 76.74, 13, 0.00001003, 0.00000000, 64.72, 10, 0.00000305, 0.00000000, 414.23, 64, 1.00, 0.30, 0.84, 5.40, 0.00000000
16, 0.00002514, 0.00000002, 12.56, 77.28, 11, 0.00002514, 0.00000002, 64.72, 10, 0.00001605, 0.00000002, 1242.68, 192, 1.00, 0.64, 0.84, 16.08, 0.00000000
17, 0.00001786, 0.00000016, 17.25, 81.98, 25, 0.00002025, 0.00000003, 64.72, 10, 0.00001684, 0.00000001, 2071.13, 320, 1.13, 0.94, 0.79, 25.27, 0.00086565
18, 0.00021747, 0.00000000, 28.86, 93.59, 13, 0.00021747, 0.00000000, 64.72, 10, 0.00005689, 0.00000000, 4556.48, 704, 1.00, 0.26, 0.69, 48.69, 0.00000000
19, 0.00005336, 0.00000032, 74.35, 139.07, 42, 0.00010781, 0.00000001, 64.72, 10, 0.00003381, 0.00000006, 6627.60, 1024, 2.02, 0.63, 0.47, 47.65, 0.00000012
20, 0.00005013, 0.00000000, 16.07, 80.79, 11, 0.00005013, 0.00000000, 64.72, 10, 0.00002894, 0.00000004, 1242.68, 192, 1.00, 0.58, 0.80, 15.38, 0.00000000
21, 0.00002690, 0.00000000, 12.75, 77.47, 15, 0.00002690, 0.00000000, 64.72, 10, 0.00001793, 0.00000001, 2485.35, 384, 1.00, 0.67, 0.84, 32.08, 0.00000000
22, 0.00006470, 0.00000002, 11.12, 75.85, 11, 0.00006470, 0.00000002, 64.72, 10, 0.00002145, 0.00000003, 4142.25, 640, 1.00, 0.33, 0.85, 54.61, 0.00000000
23, 0.00002597, 0.00000001, 14.48, 79.21, 15, 0.00002597, 0.00000001, 64.72, 10, 0.00001717, 0.00000003, 4142.25, 640, 1.00, 0.66, 0.82, 52.30, 0.00000000
24, 0.00000366, 0.00000001, 6.93, 71.65, 2, 0.00000366, 0.00000001, 64.72, 10, 0.00000366, 0.00000001, 388.34, 60, 1.00, 1.00, 0.90, 5.42, 1.00000000
25, 0.00005548, 0.00000000, 25.20, 89.92, 11, 0.00005548, 0.00000000, 64.72, 10, 0.00002301, 0.00000005, 2899.58, 448, 1.00, 0.41, 0.72, 32.25, 0.00000000
26, 0.00011651, 0.00000016, 23.97, 88.69, 22, 0.00013897, 0.00000001, 64.72, 10, 0.00006052, 0.00000000, 2485.35, 384, 1.19, 0.52, 0.73, 28.02, 0.00000000
27, 0.00006550, 0.00000015, 12.37, 77.09, 11, 0.00006550, 0.00000015, 64.72, 10, 0.00003393, 0.00000007, 2071.13, 320, 1.00, 0.52, 0.84, 26.87, 0.00000000
