BENCH: squeezenet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00001252, 0.00000016, 23.34, 30.77, 34, 0.00001454, 0.00000000, 7.43,  1, 0.00000378, 0.00000000, 1427.26, 192, 1.16, 0.30, 0.24, 46.38, 0.00000017
1, 0.00022653, 0.00000016, 49.39, 56.82, 52, 0.00028354, 0.00000005, 7.43,  1, 0.00003240, 0.00000001, 10942.30, 1472, 1.25, 0.14, 0.13, 192.57, 0.00000000
2, 0.00000215, 0.00000001, 9.28, 16.72, 11, 0.00000215, 0.00000001, 7.43,  1, 0.00000215, 0.00000001, 371.68, 50, 1.00, 1.00, 0.44, 22.23, 1.00000000
3, 0.00000493, 0.00000000, 10.23, 17.67, 12, 0.00000493, 0.00000000, 7.43,  1, 0.00000467, 0.00000000, 1903.01, 256, 1.00, 0.95, 0.42, 107.72, 0.00000000
4, 0.00005914, 0.00000000, 10.58, 18.01, 11, 0.00005914, 0.00000000, 7.43,  1, 0.00000567, 0.00000000, 2378.76, 320, 1.00, 0.10, 0.41, 132.07, 0.00000000
5, 0.00000731, 0.00000000, 20.91, 28.34, 15, 0.00000731, 0.00000000, 7.43,  1, 0.00000619, 0.00000000, 2378.76, 320, 1.00, 0.85, 0.26, 83.93, 0.00000000
6, 0.00001344, 0.00000000, 12.01, 19.44, 12, 0.00001344, 0.00000000, 7.43,  1, 0.00000497, 0.00000001, 2378.76, 320, 1.00, 0.37, 0.38, 122.35, 0.00000000
7, 0.00000648, 0.00000000, 10.63, 18.07, 11, 0.00000648, 0.00000000, 7.43,  1, 0.00000340, 0.00000000, 1427.26, 192, 1.00, 0.52, 0.41, 79.00, 0.00000000
8, 0.00011844, 0.00000579, 36.73, 44.16, 33, 0.00041810, 0.00000000, 7.43,  1, 0.00000390, 0.00000000, 2854.51, 384, 3.53, 0.03, 0.17, 64.64, 0.00000973
9, 0.00000365, 0.00000000, 11.17, 18.61, 11, 0.00000365, 0.00000000, 7.43,  1, 0.00000283, 0.00000000, 2378.76, 320, 1.00, 0.77, 0.40, 127.86, 0.00000000
10, 0.00003087, 0.00000002, 13.87, 21.30, 15, 0.00003087, 0.00000002, 7.43,  1, 0.00000916, 0.00000000, 3330.27, 448, 1.00, 0.30, 0.35, 156.35, 0.00000000
11, 0.00003351, 0.00000000, 10.04, 17.48, 11, 0.00003351, 0.00000000, 7.43,  1, 0.00000344, 0.00000000, 1427.26, 192, 1.00, 0.10, 0.43, 81.66, 0.00000000
12, 0.00002227, 0.00000002, 15.68, 23.12, 11, 0.00002227, 0.00000002, 7.43,  1, 0.00001039, 0.00000002, 7136.28, 960, 1.00, 0.47, 0.32, 308.69, 0.00000000
13, 0.00001706, 0.00000000, 12.07, 19.50, 11, 0.00001706, 0.00000000, 7.43,  1, 0.00000884, 0.00000000, 6184.78, 832, 1.00, 0.52, 0.38, 317.10, 0.00000000
14, 0.00000257, 0.00000000, 5.78, 13.22, 2, 0.00000257, 0.00000000, 7.43,  1, 0.00000257, 0.00000000, 631.86, 85, 1.00, 1.00, 0.56, 47.80, 1.00000000
15, 0.00001283, 0.00000000, 14.83, 22.26, 11, 0.00001283, 0.00000000, 7.43,  1, 0.00000350, 0.00000001, 2378.76, 320, 1.00, 0.27, 0.33, 106.87, 0.00000000
16, 0.00014086, 0.00000012, 14.70, 22.13, 13, 0.00014086, 0.00000012, 7.43,  1, 0.00001204, 0.00000002, 8087.79, 1088, 1.00, 0.09, 0.34, 365.44, 0.00000000
17, 0.00006975, 0.00000016, 26.04, 33.47, 20, 0.00009024, 0.00000001, 7.43,  1, 0.00000977, 0.00000000, 6660.53, 896, 1.29, 0.14, 0.22, 198.99, 0.00000000
18, 0.00001716, 0.00000004, 12.87, 20.31, 11, 0.00001716, 0.00000004, 7.43,  1, 0.00000363, 0.00000000, 2854.51, 384, 1.00, 0.21, 0.37, 140.56, 0.00000000
19, 0.00009613, 0.00000015, 33.31, 40.74, 45, 0.00011965, 0.00000001, 7.43,  1, 0.00000806, 0.00000000, 2854.51, 384, 1.24, 0.08, 0.18, 70.07, 0.00000000
20, 0.00000612, 0.00000000, 10.07, 17.50, 11, 0.00000612, 0.00000000, 7.43,  1, 0.00000363, 0.00000000, 631.86, 85, 1.00, 0.59, 0.42, 36.10, 0.00000000
