BENCH: vgg19
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
0, 0.00050391, 0.00000005, 34.71, 41.07, 11, 0.00050391, 0.00000005, 6.35,  1, 0.00024521, 0.00000055, 12598.98, 1984, 1.00, 0.49, 0.15, 306.80, 0.00000000
1, 0.00690483, 0.00000534, 34.52, 40.87, 11, 0.00690483, 0.00000534, 6.35,  1, 0.00023286, 0.00000074, 4064.19, 640, 1.00, 0.03, 0.16, 99.44, 0.00000000
2, 0.00007826, 0.00000017, 31.11, 37.46, 41, 0.00009987, 0.00000000, 6.35,  1, 0.00006176, 0.00000003, 1219.26, 192, 1.28, 0.79, 0.17, 32.55, 0.00000002
3, 0.00000489, 0.00000016, 16.29, 22.64, 26, 0.00000987, 0.00000000, 6.35,  1, 0.00000349, 0.00000000, 381.02, 60, 2.02, 0.71, 0.28, 16.83, 0.00024673
4, 0.00398573, 0.00000029, 19.06, 25.41, 15, 0.00398573, 0.00000029, 6.35,  1, 0.00008829, 0.00000023, 6096.28, 960, 1.00, 0.02, 0.25, 239.91, 0.00000000
5, 0.00036945, 0.00000028, 21.82, 28.17, 13, 0.00036945, 0.00000028, 6.35,  1, 0.00014215, 0.00000033, 2844.93, 448, 1.00, 0.38, 0.23, 100.99, 0.00000000
6, 0.00119410, 0.00000137, 103.10, 109.45, 21, 10000000000.00000000, 0.00000000, 6.35,  1, 0.00008755, 0.00000016, 1625.67, 256, 8374531375181.80, 0.07, 0.06, 14.85, 0.00000000
7, 0.00001206, 0.00000016, 15.54, 21.89, 23, 0.00001902, 0.00000001, 6.35,  1, 0.00001117, 0.00000000, 381.02, 60, 1.58, 0.93, 0.29, 17.40, 0.00145664
8, 0.00011171, 0.00000031, 32.73, 39.08, 27, 0.00012846, 0.00000024, 6.35,  1, 0.00002664, 0.00000006, 812.84, 128, 1.15, 0.24, 0.16, 20.80, 0.00000000
9, 0.08119867, 0.00051777, 138.44, 144.79, 30, 0.11376900, 0.00000408, 6.35,  1, 0.00048464, 0.00000154, 8534.79, 1344, 1.40, 0.01, 0.04, 58.95, 0.00000000
10, 0.00002687, 0.00000000, 11.09, 17.44, 13, 0.00002687, 0.00000000, 6.35,  1, 0.00000336, 0.00000000, 406.42, 64, 1.00, 0.13, 0.36, 23.31, 0.00000000
11, 0.00067389, 0.00000268, 42.02, 48.37, 40, 0.00308606, 0.00000143, 6.35,  1, 0.00026356, 0.00000073, 13818.23, 2176, 4.58, 0.39, 0.13, 285.68, 0.00000000
12, 0.00043235, 0.00000065, 23.29, 29.64, 11, 0.00043235, 0.00000065, 6.35,  1, 0.00023492, 0.00000029, 4064.19, 640, 1.00, 0.54, 0.21, 137.10, 0.00000000
13, 0.00000330, 0.00000032, 10.32, 16.67, 14, 0.00000336, 0.00000000, 6.35,  1, 0.00000216, 0.00000000, 381.02, 60, 1.02, 0.66, 0.38, 22.85, 0.00783211
14, 0.00000516, 0.00000002, 9.55, 15.90, 12, 0.00000516, 0.00000002, 6.35,  1, 0.00000413, 0.00000000, 406.42, 64, 1.00, 0.80, 0.40, 25.56, 0.00000020
15, 0.00019477, 0.00000068, 35.92, 42.27, 27, 0.00024705, 0.00000019, 6.35,  1, 0.00016402, 0.00000043, 2844.93, 448, 1.27, 0.84, 0.15, 67.30, 0.00000070
16, 0.00021830, 0.00000082, 20.64, 26.99, 13, 0.00021830, 0.00000082, 6.35,  1, 0.00013458, 0.00000029, 2438.51, 384, 1.00, 0.62, 0.24, 90.33, 0.00000002
17, 0.00006130, 0.00000000, 7.23, 13.58, 2, 0.00006130, 0.00000000, 6.35,  1, 0.00002106, 0.00000000, 381.02, 60, 1.00, 0.34, 0.47, 28.05, 0.00000000
18, 0.00000398, 0.00000032, 15.10, 21.45, 24, 0.00000516, 0.00000000, 6.35,  1, 0.00000259, 0.00000000, 381.02, 60, 1.30, 0.65, 0.30, 17.76, 0.00362793
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), std Ansor-10, tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k, p-value
0, 0.00034402, 0.00000142, 16.75, 80.25, 11, 0.00034402, 0.00000142, 63.50, 10, 0.00024521, 0.00000055, 12598.98, 1984, 1.00, 0.71, 0.79, 157.00, 0.00000009
1, 0.00051371, 0.00000460, 56.80, 120.31, 21, 0.00052431, 0.00000069, 63.50, 10, 0.00023286, 0.00000074, 4064.19, 640, 1.02, 0.45, 0.53, 33.78, 0.00000011
2, 0.00007816, 0.00000000, 38.74, 102.25, 53, 0.00009987, 0.00000000, 63.50, 10, 0.00006176, 0.00000003, 1219.26, 192, 1.28, 0.79, 0.62, 11.92, 0.00000000
3, 0.00000374, 0.00000000, 10.22, 73.73, 11, 0.00000374, 0.00000000, 63.50, 10, 0.00000349, 0.00000000, 381.02, 60, 1.00, 0.93, 0.86, 5.17, 0.00000012
4, 0.00029103, 0.00000002, 19.21, 82.72, 15, 0.00029103, 0.00000002, 63.50, 10, 0.00008829, 0.00000023, 6096.28, 960, 1.00, 0.30, 0.77, 73.70, 0.00000000
