BENCH: alexnet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00066052, 50.24, 23, 0.00678792, 172.58, 100, 0.10, 0.29
1, 0.00000335, 5.72, 7, 0.00000440, 19.16, 20, 0.76, 0.30
2, 0.00184977, 56.86, 38, 0.00568044, 316.37, 100, 0.33, 0.18
3, 0.00007437, 81.05, 37, 0.00035530, 193.77, 100, 0.21, 0.42
4, 0.00001100, 26.14, 28, 0.00001400, 95.90, 100, 0.79, 0.27
5, 0.00089695, 49.07, 44, 0.00141445, 231.83, 100, 0.63, 0.21
6, 0.00000594, 5.66, 7, 0.00000557, 18.77, 20, 1.07, 0.30
7, 0.00420463, 86.42, 45, 0.02397793, 269.63, 100, 0.18, 0.32
8, 0.00133542, 52.49, 44, 0.00416207, 232.76, 100, 0.32, 0.23
9, 0.00000090, 0.94, 2, 0.00000098, 2.00, 2, 0.92, 0.47
10, 0.00000994, 9.61, 10, 0.00003269, 68.84, 64, 0.30, 0.14
11, 0.00092813, 47.44, 44, 0.00515793, 201.26, 100, 0.18, 0.24
12, 0.00164917, 79.23, 34, 0.01022247, 217.93, 100, 0.16, 0.36
