BENCH: densenet169
layer, ga-300 exec, ga-300 tuning, ga-300 trials
0, 0.00082330, 162.25, 100
1, 0.00044258, 156.52, 100
2, 0.00100085, 179.09, 100
3, 0.00056573, 208.03, 100
4, 0.00087597, 159.97, 100
5, 0.00160054, 181.35, 100
6, 0.01258410, 308.75, 100
7, 0.00018397, 116.41, 100
8, 0.00000514, 4.07, 4
9, 0.00038445, 252.74, 100
10, 0.00008540, 151.34, 100
11, 0.00234931, 244.61, 100
12, 0.00040583, 275.29, 100
13, 0.00107808, 159.64, 100
14, 0.00215817, 158.88, 100
15, 0.00013324, 222.78, 100
16, 0.00009266, 145.97, 100
17, 0.00204954, 279.26, 100
18, 0.00025804, 125.41, 100
19, 0.00081167, 173.15, 100
20, 0.00206477, 209.81, 100
21, 0.00000452, 3.89, 4
22, 0.00017030, 135.98, 100
23, 0.00024524, 151.09, 100
24, 0.00051903, 124.28, 100
25, 0.00032869, 121.55, 100
26, 0.00025489, 279.62, 100
27, 0.00010715, 159.93, 100
28, 0.00093478, 219.68, 100
29, 0.00011377, 132.80, 100
30, 0.00030530, 160.78, 100
31, 0.00014792, 165.40, 100
32, 0.00046470, 109.20, 100
33, 0.00896140, 157.34, 100
34, 0.00040433, 170.17, 100
35, 0.00042693, 162.95, 100
36, 0.00000539, 4.85, 5
37, 0.00042055, 153.01, 100
38, 0.00012652, 169.20, 100
39, 0.00100964, 130.47, 100
40, 0.00025274, 183.01, 100
41, 0.00033030, 169.72, 100
42, 0.00059112, 161.88, 100
43, 0.00000978, 98.04, 100
44, 0.00071958, 295.28, 100
45, 0.00049217, 147.96, 100
46, 0.00127432, 156.25, 100
47, 0.00012046, 157.21, 100
48, 0.00039241, 137.13, 100
49, 0.00021708, 110.15, 100
50, 0.00147901, 136.81, 100
51, 0.00017710, 152.88, 100
52, 0.00014293, 144.05, 100
53, 0.00055557, 176.51, 100
54, 0.00171171, 395.39, 100
55, 0.00018072, 163.54, 100
56, 0.00042351, 150.49, 100
57, 0.00010345, 133.29, 100
58, 0.00019968, 355.55, 100
59, 0.00614462, 219.48, 100
60, 0.00029119, 132.76, 100
61, 0.00042718, 124.17, 100
62, 0.00018324, 128.44, 100
63, 0.00033624, 123.75, 100
64, 0.00098080, 135.85, 100
65, 0.00087881, 303.34, 100
66, 0.00000799, 3.81, 4
67, 0.00045414, 153.24, 100
68, 0.00103632, 214.18, 100
69, 0.00311352, 197.04, 100
70, 0.00015957, 112.02, 100
71, 0.00026102, 133.55, 100
72, 0.00019398, 172.41, 100
73, 0.00028321, 129.04, 100
74, 0.00011330, 113.00, 100
75, 0.00053129, 122.86, 100
76, 0.00006444, 176.83, 100
77, 0.00015732, 105.61, 100
78, 0.00135879, 165.51, 100
79, 0.00027770, 155.15, 100
80, 0.00265141, 125.73, 100
81, 0.00034119, 131.56, 100
82, 0.00033551, 118.01, 100
83, 0.00074472, 147.05, 100
84, 0.00002357, 100.61, 100
85, 0.00019288, 143.95, 100
86, 0.00005372, 142.54, 100
87, 0.00129336, 131.48, 100
88, 0.00252813, 184.85, 100
89, 0.00185177, 230.25, 100
90, 0.00034804, 176.20, 100
91, 0.00070640, 187.22, 100
92, 0.00193752, 154.54, 100
93, 0.00247209, 115.98, 100
94, 0.00025356, 242.32, 100
95, 0.00002577, 188.69, 100
96, 0.00104557, 171.43, 100
