BENCH: mnasnet1_0
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00003733, 56.15, 41, 0.00015396, 168.37, 100, 0.24, 0.33
1, 0.00016486, 21.40, 12, 0.00080009, 289.17, 100, 0.21, 0.07
2, 0.00003579, 70.98, 62, 0.00021075, 204.81, 100, 0.17, 0.35
3, 0.00009823, 50.53, 45, 0.00015389, 151.41, 100, 0.64, 0.33
4, 0.00022509, 44.70, 45, 0.00057298, 245.02, 100, 0.39, 0.18
5, 0.00002766, 65.38, 48, 0.00010491, 189.10, 100, 0.26, 0.35
6, 0.00002118, 26.97, 23, 0.00016593, 140.57, 100, 0.13, 0.19
7, 0.00003947, 11.48, 11, 0.00007904, 179.39, 100, 0.50, 0.06
8, 0.00003701, 44.06, 43, 0.00006049, 211.65, 100, 0.61, 0.21
9, 0.00014699, 20.05, 21, 0.00025326, 276.19, 100, 0.58, 0.07
10, 0.00001582, 13.73, 13, 0.00010435, 280.85, 100, 0.15, 0.05
11, 0.00013692, 47.08, 45, 0.00083298, 157.19, 100, 0.16, 0.30
12, 0.00006384, 57.18, 47, 0.00058769, 242.56, 100, 0.11, 0.24
13, 0.00014765, 44.13, 43, 0.00096253, 189.55, 100, 0.15, 0.23
14, 0.00003998, 15.61, 14, 0.00012883, 228.69, 100, 0.31, 0.07
15, 0.00005762, 69.28, 57, 0.00016082, 167.02, 100, 0.36, 0.41
16, 0.00000825, 68.82, 71, 0.00000850, 99.08, 100, 0.97, 0.69
17, 0.00008393, 35.01, 35, 0.00053793, 153.06, 100, 0.16, 0.23
18, 0.00005784, 41.65, 43, 0.00003626, 156.34, 100, 1.60, 0.27
19, 0.00007746, 12.85, 13, 0.00083414, 230.30, 100, 0.09, 0.06
20, 0.00002381, 17.35, 15, 0.00019078, 125.98, 100, 0.12, 0.14
21, 0.00002238, 14.18, 13, 0.00017059, 213.98, 100, 0.13, 0.07
22, 0.00013571, 43.92, 45, 0.00024066, 187.26, 100, 0.56, 0.23
23, 0.00009945, 42.80, 43, 0.00017892, 139.59, 100, 0.56, 0.31
24, 0.00003903, 16.29, 14, 0.00016972, 410.98, 100, 0.23, 0.04
25, 0.00012108, 42.95, 43, 0.00023803, 179.86, 100, 0.51, 0.24
26, 0.00005857, 37.20, 34, 0.00009526, 143.18, 100, 0.61, 0.26
27, 0.00025913, 44.07, 45, 0.00071047, 226.31, 100, 0.36, 0.19
28, 0.00000991, 10.80, 11, 0.00005726, 127.63, 100, 0.17, 0.08
29, 0.00002769, 21.51, 18, 0.00024295, 185.50, 100, 0.11, 0.12
30, 0.00006102, 68.79, 48, 0.00021983, 130.81, 100, 0.28, 0.53
31, 0.00006958, 73.53, 43, 0.00025366, 178.94, 100, 0.27, 0.41
32, 0.00002589, 14.79, 15, 0.00005894, 316.26, 100, 0.44, 0.05
33, 0.00014094, 55.45, 43, 0.00017119, 186.05, 100, 0.82, 0.30
34, 0.00000351, 23.61, 25, 0.00000385, 97.16, 100, 0.91, 0.24
35, 0.00002802, 18.25, 15, 0.00008137, 123.87, 100, 0.34, 0.15
