BENCH: resnet152
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00068033, 53.46, 45, 0.00111946, 218.92, 100, 0.61, 0.24
1, 0.00100498, 40.53, 39, 0.00716334, 162.86, 100, 0.14, 0.25
2, 0.00046894, 44.44, 45, 0.00081564, 146.99, 100, 0.57, 0.30
3, 0.00112458, 25.31, 22, 0.00551222, 228.49, 100, 0.20, 0.11
4, 0.00046776, 56.77, 56, 0.00089802, 250.15, 100, 0.52, 0.23
5, 0.00117066, 40.98, 36, 0.00116875, 245.80, 100, 1.00, 0.17
6, 0.00044294, 62.74, 56, 0.00089003, 141.65, 100, 0.50, 0.44
7, 0.00004695, 109.94, 59, 9999.00000000, 226.25, 100, 0.00, 0.49
8, 0.00111871, 50.57, 36, 0.00503858, 317.03, 100, 0.22, 0.16
9, 0.00000463, 0.96, 2, 0.00000448, 3.84, 4, 1.03, 0.25
10, 0.00012979, 77.27, 71, 0.00019417, 166.48, 100, 0.67, 0.46
11, 0.00091926, 57.93, 45, 0.00392329, 183.66, 100, 0.23, 0.32
12, 0.00042272, 67.96, 59, 0.00268845, 167.86, 100, 0.16, 0.40
13, 0.00049055, 79.25, 55, 0.00082210, 136.25, 100, 0.60, 0.58
14, 0.00000928, 44.35, 46, 0.00001151, 100.60, 100, 0.81, 0.44
15, 0.00103558, 88.11, 51, 0.00458213, 171.85, 100, 0.23, 0.51
16, 0.00083376, 50.08, 47, 0.00228969, 178.93, 100, 0.36, 0.28
17, 0.00040877, 69.19, 47, 0.00146807, 155.95, 100, 0.28, 0.44
18, 0.00112924, 50.86, 44, 0.00679112, 226.06, 100, 0.17, 0.22
19, 0.00103462, 224.45, 39, 0.00213223, 233.10, 100, 0.49, 0.96
20, 0.00115024, 46.13, 36, 0.00140998, 196.80, 100, 0.82, 0.23
21, 0.00058781, 48.53, 38, 0.00376019, 259.75, 100, 0.16, 0.19
22, 0.00102745, 48.10, 34, 0.00140066, 152.04, 100, 0.73, 0.32
23, 0.00057856, 40.84, 40, 0.00459608, 125.16, 100, 0.13, 0.33
24, 0.00114147, 123.58, 43, 0.00190836, 172.86, 100, 0.60, 0.71
25, 0.00001770, 6.83, 8, 0.00003195, 19.84, 20, 0.55, 0.34
26, 0.00105788, 47.85, 43, 0.00265535, 198.72, 100, 0.40, 0.24
27, 0.00047402, 63.44, 52, 0.00298401, 127.85, 100, 0.16, 0.50
