BENCH: shufflenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, ga-300 exec, ga-300 tuning, ga-300 trials, exec speedup, tuning speedup
0, 0.00000627, 15.56, 16, 0.00002968, 187.96, 100, 0.21, 0.08
1, 0.00008617, 16.03, 12, 0.00117859, 131.13, 100, 0.07, 0.12
2, 0.00011748, 70.48, 57, 0.00023206, 256.65, 100, 0.51, 0.27
3, 0.00001833, 125.69, 56, 0.00047570, 225.43, 100, 0.04, 0.56
4, 0.00000503, 10.65, 11, 0.00000937, 159.41, 100, 0.54, 0.07
5, 0.00002946, 16.81, 17, 0.00009354, 205.83, 100, 0.31, 0.08
6, 0.00001148, 8.36, 9, 0.00004242, 238.91, 100, 0.27, 0.03
7, 0.00004151, 42.85, 43, 0.00005030, 199.50, 100, 0.83, 0.21
8, 0.00001075, 45.04, 46, 0.00001525, 99.92, 100, 0.71, 0.45
9, 0.00009491, 35.46, 28, 0.00076430, 139.03, 100, 0.12, 0.26
10, 0.00000558, 12.47, 11, 0.00001681, 169.85, 100, 0.33, 0.07
11, 0.00013611, 43.94, 43, 0.00031767, 230.90, 100, 0.43, 0.19
12, 0.00001100, 9.14, 10, 0.00002840, 170.84, 100, 0.39, 0.05
13, 0.00006090, 26.04, 19, 0.00044022, 137.84, 100, 0.14, 0.19
14, 0.00000538, 10.38, 11, 0.00002216, 218.37, 100, 0.24, 0.05
15, 0.00030513, 45.67, 45, 0.00066676, 111.06, 100, 0.46, 0.41
16, 0.00004408, 42.64, 43, 0.00041168, 169.19, 100, 0.11, 0.25
17, 0.00000952, 13.73, 11, 0.00001940, 172.01, 100, 0.49, 0.08
18, 0.00001138, 5.10, 6, 0.00003436, 17.23, 16, 0.33, 0.30
19, 0.00000339, 25.52, 27, 0.00000358, 97.83, 100, 0.95, 0.26
