BENCH: densenet169
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00041269, 67.56, 43, 0.00088672, 100.92, 100, 0.47, 0.67
1, 0.00027822, 45.04, 38, 0.00103319, 101.54, 100, 0.27, 0.44
2, 0.00038852, 45.88, 43, 0.00104673, 102.42, 100, 0.37, 0.45
3, 0.00014826, 48.38, 43, 0.00022007, 99.90, 100, 0.67, 0.48
4, 0.00017694, 49.02, 38, 0.00035820, 100.41, 100, 0.49, 0.49
5, 0.00035241, 58.91, 42, 0.00069524, 100.75, 100, 0.51, 0.58
6, 0.00123251, 25.02, 22, 0.00379561, 114.36, 100, 0.32, 0.22
7, 0.00028050, 17.69, 18, 0.00041228, 99.07, 100, 0.68, 0.18
8, 0.00000400, 0.97, 2, 0.00000504, 4.10, 4, 0.79, 0.24
9, 0.00029096, 62.85, 58, 0.00094222, 101.31, 100, 0.31, 0.62
10, 0.00006434, 59.88, 52, 0.00020358, 99.89, 100, 0.32, 0.60
11, 0.00085300, 45.50, 43, 0.00263725, 104.79, 100, 0.32, 0.43
12, 0.00007052, 76.99, 54, 0.00023246, 103.58, 100, 0.30, 0.74
13, 0.00013325, 92.93, 60, 0.00036410, 100.22, 100, 0.37, 0.93
14, 0.00042632, 55.98, 43, 0.00147271, 104.91, 100, 0.29, 0.53
15, 0.00004166, 121.90, 56, 0.00011393, 203.70, 100, 0.37, 0.60
16, 0.00007635, 48.33, 43, 0.00018609, 99.81, 100, 0.41, 0.48
17, 0.00109699, 39.65, 36, 0.00384712, 107.87, 100, 0.29, 0.37
18, 0.00010171, 45.93, 45, 0.00029335, 102.57, 100, 0.35, 0.45
19, 0.00011230, 77.13, 62, 0.00030355, 100.04, 100, 0.37, 0.77
20, 0.00023323, 57.47, 48, 0.00083148, 101.66, 100, 0.28, 0.57
21, 0.00000402, 0.97, 2, 0.00000462, 3.89, 4, 0.87, 0.25
22, 0.00008348, 75.40, 57, 0.00020696, 100.27, 100, 0.40, 0.75
23, 0.00008730, 67.61, 57, 0.00030480, 100.26, 100, 0.29, 0.67
24, 0.00008874, 117.74, 62, 0.00026701, 100.02, 100, 0.33, 1.18
25, 0.00033805, 43.19, 43, 0.00080195, 101.31, 100, 0.42, 0.43
26, 0.00007296, 45.39, 45, 0.00016701, 102.12, 100, 0.44, 0.44
27, 0.00014371, 42.88, 43, 0.00028950, 100.14, 100, 0.50, 0.43
28, 0.00024676, 81.73, 31, 0.00095627, 106.75, 100, 0.26, 0.77
29, 0.00007788, 63.89, 53, 0.00022206, 99.82, 100, 0.35, 0.64
30, 0.00019399, 62.08, 57, 0.00069937, 100.83, 100, 0.28, 0.62
31, 0.00004648, 59.33, 57, 0.00026070, 100.61, 100, 0.18, 0.59
32, 0.00022224, 17.39, 18, 0.00027612, 99.01, 100, 0.80, 0.18
