BENCH: inception_v3
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00009932, 75.52, 68, 0.00031899, 99.52, 100, 0.31, 0.76
1, 0.00009158, 44.34, 43, 0.00012302, 96.99, 100, 0.74, 0.46
2, 0.00010730, 10.72, 11, 0.00024558, 101.57, 100, 0.44, 0.11
3, 0.00002090, 18.05, 20, 0.00002193, 61.14, 64, 0.95, 0.30
4, 0.00043593, 47.12, 43, 0.00133169, 103.41, 100, 0.33, 0.46
5, 0.00010647, 52.57, 43, 0.00025213, 97.53, 100, 0.42, 0.54
6, 0.00024998, 66.55, 38, 0.00078812, 103.53, 100, 0.32, 0.64
7, 0.00000722, 9.55, 11, 0.00000645, 60.96, 64, 1.12, 0.16
8, 0.00004224, 128.00, 56, 0.00019757, 203.12, 100, 0.21, 0.63
9, 0.00032854, 54.55, 43, 0.00077460, 103.66, 100, 0.42, 0.53
10, 0.00022637, 54.82, 51, 0.00156655, 138.36, 100, 0.14, 0.40
11, 0.00000337, 0.98, 2, 0.00000405, 3.93, 4, 0.83, 0.25
12, 0.00031563, 50.79, 43, 0.00093465, 103.20, 100, 0.34, 0.49
13, 0.00083264, 35.39, 35, 0.00314808, 106.96, 100, 0.26, 0.33
14, 0.00000806, 9.66, 10, 0.00001241, 73.78, 64, 0.65, 0.13
15, 0.00039558, 66.94, 43, 0.00091771, 105.52, 100, 0.43, 0.63
16, 0.00011682, 53.00, 43, 0.00028980, 101.73, 100, 0.40, 0.52
17, 0.00005985, 74.23, 57, 0.00017388, 97.69, 100, 0.34, 0.76
18, 0.00024322, 44.82, 43, 0.00052160, 102.96, 100, 0.47, 0.44
19, 0.00015164, 59.76, 49, 0.00096118, 103.20, 100, 0.16, 0.58
20, 0.00006061, 4.94, 6, 0.00003234, 63.23, 64, 1.87, 0.08
21, 0.00029644, 44.33, 43, 0.00097964, 101.85, 100, 0.30, 0.44
22, 0.00016098, 40.24, 38, 0.00034826, 103.36, 100, 0.46, 0.39
23, 0.00002914, 12.45, 14, 0.00003712, 62.48, 64, 0.78, 0.20
24, 0.00000750, 27.31, 29, 0.00000956, 95.37, 100, 0.78, 0.29
25, 0.00009520, 71.90, 60, 0.00043221, 101.61, 100, 0.22, 0.71
26, 0.00135942, 39.94, 36, 0.00502417, 114.41, 100, 0.27, 0.35
27, 0.00174871, 37.89, 35, 0.00700220, 120.50, 100, 0.25, 0.31
28, 0.00016546, 41.95, 43, 0.00035673, 98.91, 100, 0.46, 0.42
29, 0.00015781, 79.04, 58, 0.00050970, 125.92, 100, 0.31, 0.63
30, 0.00000564, 9.71, 11, 0.00000585, 62.25, 64, 0.96, 0.16
31, 0.00043164, 61.95, 29, 0.00206895, 112.84, 100, 0.21, 0.55
32, 0.00009261, 54.53, 47, 0.00057916, 98.50, 100, 0.16, 0.55
33, 0.00044831, 47.43, 43, 0.00134821, 103.73, 100, 0.33, 0.46
34, 0.00039589, 56.11, 43, 0.00108268, 103.25, 100, 0.37, 0.54
35, 0.00010251, 64.00, 53, 0.00047566, 106.46, 100, 0.22, 0.60
36, 0.00027114, 42.80, 43, 0.00038436, 101.03, 100, 0.71, 0.42
37, 0.00001201, 18.25, 20, 0.00001233, 61.74, 64, 0.97, 0.30
38, 0.00041310, 71.85, 43, 0.00110737, 102.92, 100, 0.37, 0.70
39, 0.00018774, 87.02, 59, 0.00082062, 126.64, 100, 0.23, 0.69
40, 0.00026692, 42.68, 43, 0.00100349, 102.27, 100, 0.27, 0.42
41, 0.00013328, 69.47, 43, 0.00053978, 102.91, 100, 0.25, 0.68
42, 0.00026364, 44.51, 45, 0.00073606, 120.27, 100, 0.36, 0.37
43, 0.00044445, 51.14, 36, 0.00120376, 106.43, 100, 0.37, 0.48
44, 0.00001061, 17.55, 19, 0.00001407, 62.51, 64, 0.75, 0.28
45, 0.00032752, 47.58, 32, 0.00142181, 112.64, 100, 0.23, 0.42
46, 0.00000443, 8.95, 10, 0.00000994, 63.42, 64, 0.45, 0.14
47, 0.00013055, 72.20, 49, 0.00039135, 104.93, 100, 0.33, 0.69
48, 0.00002843, 9.59, 10, 0.00004547, 68.20, 64, 0.63, 0.14
49, 0.00288536, 39.86, 36, 0.01230110, 121.31, 100, 0.23, 0.33
50, 0.00024591, 43.86, 43, 0.00080163, 101.73, 100, 0.31, 0.43
51, 0.00017570, 48.83, 46, 0.00044326, 101.55, 100, 0.40, 0.48
52, 0.00018726, 48.48, 45, 0.00052731, 102.72, 100, 0.36, 0.47
53, 0.00018965, 101.78, 65, 0.00026777, 98.76, 100, 0.71, 1.03
54, 0.00014352, 48.51, 33, 0.00029007, 103.36, 100, 0.49, 0.47
55, 0.00052819, 39.34, 36, 0.00190274, 108.83, 100, 0.28, 0.36
