BENCH: mobilenet_v2
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00009408, 50.58, 43, 0.00024753, 98.72, 100, 0.38, 0.51
1, 0.00001355, 16.78, 16, 0.00011155, 123.01, 100, 0.12, 0.14
2, 0.00018233, 47.00, 45, 0.00047366, 102.32, 100, 0.38, 0.46
3, 0.00006788, 55.48, 43, 0.00014317, 99.44, 100, 0.47, 0.56
4, 0.00002508, 76.36, 39, 0.00010151, 198.85, 100, 0.25, 0.38
5, 0.00000371, 0.97, 2, 0.00000412, 3.88, 4, 0.90, 0.25
6, 0.00025531, 70.27, 45, 0.00065715, 105.61, 100, 0.39, 0.67
7, 0.00006965, 12.33, 12, 0.00034858, 119.48, 100, 0.20, 0.10
8, 0.00005793, 41.86, 43, 0.00010459, 97.80, 100, 0.55, 0.43
9, 0.00009659, 54.27, 45, 0.00025033, 103.75, 100, 0.39, 0.52
10, 0.00002038, 15.21, 14, 0.00015177, 114.73, 100, 0.13, 0.13
11, 0.00008393, 52.12, 45, 0.00036731, 102.70, 100, 0.23, 0.51
12, 0.00001046, 10.31, 11, 0.00007170, 115.29, 100, 0.15, 0.09
13, 0.00006375, 44.03, 45, 0.00017372, 101.02, 100, 0.37, 0.44
14, 0.00003748, 16.31, 15, 0.00029739, 110.44, 100, 0.13, 0.15
15, 0.00006197, 43.52, 36, 0.00025990, 101.79, 100, 0.24, 0.43
16, 0.00009804, 67.72, 43, 0.00024443, 101.83, 100, 0.40, 0.67
17, 0.00007363, 35.00, 35, 0.00014910, 101.38, 100, 0.49, 0.35
18, 0.00015932, 30.30, 30, 0.00036449, 100.58, 100, 0.44, 0.30
19, 0.00001667, 12.52, 13, 0.00006150, 104.50, 100, 0.27, 0.12
20, 0.00002420, 56.72, 53, 0.00007946, 98.03, 100, 0.30, 0.58
21, 0.00001145, 52.26, 54, 0.00001162, 99.21, 100, 0.98, 0.53
22, 0.00009688, 31.11, 30, 0.00035072, 101.33, 100, 0.28, 0.31
23, 0.00031411, 21.51, 21, 0.00049905, 104.05, 100, 0.63, 0.21
24, 0.00006411, 42.38, 43, 0.00016514, 100.38, 100, 0.39, 0.42
25, 0.00002138, 11.23, 11, 0.00010061, 112.99, 100, 0.21, 0.10
26, 0.00009663, 60.22, 43, 0.00030957, 100.23, 100, 0.31, 0.60
27, 0.00001255, 14.85, 15, 0.00005754, 119.97, 100, 0.22, 0.12
28, 0.00009863, 10.93, 11, 0.00028045, 104.20, 100, 0.35, 0.10
29, 0.00001464, 11.02, 11, 0.00003931, 110.66, 100, 0.37, 0.10
30, 0.00006336, 42.38, 43, 0.00019052, 101.15, 100, 0.33, 0.42
31, 0.00008130, 52.76, 43, 0.00042050, 101.12, 100, 0.19, 0.52
32, 0.00004635, 10.76, 11, 0.00040348, 130.35, 100, 0.11, 0.08
