BENCH: resnet18
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00005893, 37.87, 39, 0.00042818, 97.65, 100, 0.14, 0.39
1, 0.00102064, 28.75, 21, 0.00384807, 121.46, 100, 0.27, 0.24
2, 0.00091932, 45.16, 46, 0.01983393, 137.96, 100, 0.05, 0.33
3, 0.00001248, 113.93, 55, 0.00003364, 197.68, 100, 0.37, 0.58
4, 0.00000214, 0.95, 2, 0.00000215, 3.80, 4, 1.00, 0.25
5, 0.00101817, 47.92, 34, 0.00766072, 122.72, 100, 0.13, 0.39
6, 0.00096477, 260.80, 39, 0.01701627, 142.36, 100, 0.06, 1.83
7, 0.00060674, 60.53, 41, 0.00780542, 122.13, 100, 0.08, 0.50
8, 0.00006374, 68.10, 64, 0.00046312, 98.54, 100, 0.14, 0.69
9, 0.00008214, 88.28, 73, 0.00025327, 97.50, 100, 0.32, 0.91
10, 0.00000658, 39.60, 42, 0.00000941, 95.31, 100, 0.70, 0.42
11, 0.00051051, 86.58, 32, 0.00324092, 156.55, 100, 0.16, 0.55
12, 0.00095695, 220.49, 39, 0.00887292, 228.05, 100, 0.11, 0.97
13, 0.00094592, 50.74, 34, 0.09197237, 369.17, 100, 0.01, 0.14
14, 0.00089840, 67.05, 35, 0.01969050, 146.51, 100, 0.05, 0.46
15, 0.00091542, 56.95, 51, 0.01760010, 141.41, 100, 0.05, 0.40
16, 0.00001830, 24.73, 26, 0.00002351, 63.75, 64, 0.78, 0.39
17, 0.00060644, 55.48, 53, 0.00833857, 114.53, 100, 0.07, 0.48
18, 0.00095644, 51.27, 34, 0.07137493, 369.01, 100, 0.01, 0.14
