BENCH: vgg11
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, grid-300 exec, grid-300 tuning, grid-300 trials, exec speedup, tuning speedup
0, 0.00000754, 0.98, 2, 0.00000725, 4.22, 4, 1.04, 0.23
1, 0.00086586, 36.28, 32, 0.00272556, 114.86, 100, 0.32, 0.32
2, 0.01484917, 455.89, 36, 9999.00000000, 2108.22, 100, 0.00, 0.22
3, 0.00009767, 82.78, 37, 0.00158842, 203.48, 100, 0.06, 0.41
4, 0.00001346, 0.98, 2, 0.00003284, 4.70, 4, 0.41, 0.21
5, 0.00635086, 125.02, 47, 0.08183643, 255.73, 100, 0.08, 0.49
6, 0.00345552, 46.18, 35, 1.22949000, 2026.38, 100, 0.00, 0.02
7, 0.00163855, 126.28, 59, 0.00984292, 199.67, 100, 0.17, 0.63
8, 0.00000976, 39.40, 41, 0.00000967, 99.83, 100, 1.01, 0.39
9, 0.00714733, 111.47, 34, 0.27027533, 558.87, 100, 0.03, 0.20
10, 0.01149207, 209.71, 59, 0.06341020, 360.45, 100, 0.18, 0.58
11, 0.00002674, 0.98, 2, 0.00009966, 6.42, 4, 0.27, 0.15
12, 0.00000472, 1.04, 2, 0.00000438, 4.15, 4, 1.08, 0.25
13, 0.01430810, 65.45, 34, 1.09898000, 2088.04, 100, 0.01, 0.03
14, 0.00000178, 0.97, 2, 0.00000176, 3.87, 4, 1.01, 0.25
15, 0.00746909, 146.23, 39, 0.53143033, 1733.57, 100, 0.01, 0.08
16, 0.00005877, 1.20, 2, 0.00014128, 4.78, 4, 0.42, 0.25
