BENCH: alexnet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00066861, 50.74, 23, 0.00532415, 408.52, 100, 0.13, 0.12
1, 0.00000335, 5.87, 7, 0.00000423, 62.77, 64, 0.79, 0.09
2, 0.00184977, 57.34, 38, 0.01055950, 195.29, 100, 0.18, 0.29
3, 0.00007437, 78.55, 37, 0.00080236, 211.23, 100, 0.09, 0.37
4, 0.00001100, 26.71, 28, 0.00001264, 98.63, 100, 0.87, 0.27
5, 0.00089695, 49.45, 44, 0.00331509, 224.39, 100, 0.27, 0.22
6, 0.00000594, 5.78, 7, 0.00000579, 77.14, 80, 1.03, 0.07
7, 0.00420463, 87.16, 45, 0.02237967, 282.02, 100, 0.19, 0.31
8, 0.00133542, 52.90, 44, 0.00261485, 215.31, 100, 0.51, 0.25
9, 0.00000089, 0.96, 2, 0.00000090, 3.83, 4, 1.00, 0.25
10, 0.00000994, 9.82, 10, 0.00000740, 82.70, 64, 1.34, 0.12
11, 0.00092813, 47.99, 44, 0.00154179, 416.27, 100, 0.60, 0.12
12, 0.00164917, 79.49, 34, 0.00972341, 166.23, 100, 0.17, 0.48
