BENCH: densenet121
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00036640, 44.09, 43, 0.00078584, 148.17, 100, 0.47, 0.30
1, 0.00007464, 70.86, 61, 0.00014826, 131.10, 100, 0.50, 0.54
2, 0.00021584, 68.00, 52, 0.00053285, 142.48, 100, 0.41, 0.48
3, 0.00112244, 26.06, 22, 0.00248953, 236.24, 100, 0.45, 0.11
4, 0.00013537, 106.19, 60, 0.00018829, 130.31, 100, 0.72, 0.81
5, 0.00000377, 0.97, 2, 0.00000478, 3.87, 4, 0.79, 0.25
6, 0.00007273, 42.52, 43, 0.00066951, 237.36, 100, 0.11, 0.18
7, 0.00082146, 30.47, 30, 0.00212936, 136.33, 100, 0.39, 0.22
8, 0.00007421, 62.99, 48, 0.00007731, 197.77, 100, 0.96, 0.32
9, 0.00023705, 55.56, 43, 0.00037073, 131.69, 100, 0.64, 0.42
10, 0.00007196, 16.80, 18, 0.00007496, 107.06, 100, 0.96, 0.16
11, 0.00002313, 118.79, 55, 0.00039522, 221.08, 100, 0.06, 0.54
12, 0.00104987, 47.14, 36, 0.01234587, 221.97, 100, 0.09, 0.21
13, 0.00011016, 50.29, 51, 0.00014206, 181.59, 100, 0.78, 0.28
14, 0.00019924, 92.29, 57, 0.00032185, 171.25, 100, 0.62, 0.54
15, 0.00000313, 0.97, 2, 0.00000409, 3.91, 4, 0.76, 0.25
16, 0.00017694, 62.42, 36, 0.00052421, 178.03, 100, 0.34, 0.35
17, 0.00038635, 44.14, 43, 0.00080129, 165.81, 100, 0.48, 0.27
18, 0.00007725, 60.98, 53, 0.00012060, 158.75, 100, 0.64, 0.38
19, 0.00032144, 49.49, 44, 0.00027963, 150.39, 100, 1.15, 0.33
20, 0.00009590, 58.16, 55, 0.00015036, 161.17, 100, 0.64, 0.36
21, 0.00033759, 51.95, 43, 0.00027161, 116.36, 100, 1.24, 0.45
22, 0.00005992, 77.09, 74, 0.00036071, 173.45, 100, 0.17, 0.44
23, 0.00097549, 45.12, 43, 0.00251577, 141.95, 100, 0.39, 0.32
24, 0.00015028, 58.86, 43, 0.00008103, 177.30, 100, 1.85, 0.33
25, 0.00028043, 56.17, 43, 0.00021737, 152.39, 100, 1.29, 0.37
26, 0.00000493, 1.09, 2, 0.00000527, 4.33, 4, 0.94, 0.25
27, 0.00010028, 17.53, 18, 0.00023941, 113.64, 100, 0.42, 0.15
28, 0.00058769, 57.51, 43, 0.00088635, 162.09, 100, 0.66, 0.35
29, 0.00029005, 60.41, 43, 0.00051903, 128.44, 100, 0.56, 0.47
30, 0.00006740, 90.50, 78, 0.00006591, 155.54, 100, 1.02, 0.58
31, 0.00001265, 63.06, 64, 0.00001127, 100.76, 100, 1.12, 0.63
32, 0.00037044, 64.44, 45, 0.00050940, 169.16, 100, 0.73, 0.38
33, 0.00013466, 69.18, 57, 0.00024233, 144.15, 100, 0.56, 0.48
34, 0.00051045, 43.75, 43, 0.00045043, 158.30, 100, 1.13, 0.28
35, 0.00043365, 43.43, 43, 0.00048129, 209.60, 100, 0.90, 0.21
36, 0.00028186, 55.64, 43, 0.00041906, 258.58, 100, 0.67, 0.22
37, 0.00004566, 53.03, 45, 0.00017671, 213.71, 100, 0.26, 0.25
38, 0.00018740, 73.28, 47, 0.00017071, 152.28, 100, 1.10, 0.48
39, 0.00043677, 28.00, 28, 0.00045527, 118.36, 100, 0.96, 0.24
40, 0.00014109, 134.26, 77, 0.00043284, 178.13, 100, 0.33, 0.75
41, 0.00004388, 61.37, 47, 0.00035961, 159.98, 100, 0.12, 0.38
42, 0.00113182, 67.61, 43, 0.00437569, 264.00, 100, 0.26, 0.26
43, 0.00031087, 17.52, 18, 0.00037647, 110.68, 100, 0.83, 0.16
44, 0.00006414, 50.29, 43, 0.00008727, 139.14, 100, 0.73, 0.36
45, 0.00014298, 27.67, 27, 0.00015712, 110.54, 100, 0.91, 0.25
46, 0.00034747, 50.97, 43, 0.00052806, 167.96, 100, 0.66, 0.30
47, 0.00053120, 44.60, 43, 0.00132700, 192.75, 100, 0.40, 0.23
48, 0.00000723, 0.97, 2, 0.00000725, 3.85, 4, 1.00, 0.25
49, 0.00106408, 57.40, 39, 0.00351891, 162.04, 100, 0.30, 0.35
50, 0.00008895, 73.72, 65, 0.00018424, 132.56, 100, 0.48, 0.56
51, 0.00030316, 43.75, 43, 0.00029058, 119.71, 100, 1.04, 0.37
52, 0.00012743, 48.27, 43, 0.00007847, 166.20, 100, 1.62, 0.29
53, 0.00009924, 24.55, 24, 0.00020616, 114.22, 100, 0.48, 0.21
54, 0.00014958, 62.64, 57, 0.00071717, 213.03, 100, 0.21, 0.29
55, 0.00013541, 53.36, 43, 0.00019260, 134.23, 100, 0.70, 0.40
56, 0.00026726, 17.13, 18, 0.00046865, 115.18, 100, 0.57, 0.15
57, 0.00101945, 58.98, 43, 0.00281166, 156.02, 100, 0.36, 0.38
58, 0.00032425, 70.37, 43, 0.00085210, 215.97, 100, 0.38, 0.33
59, 0.00010846, 64.66, 60, 0.00014074, 169.22, 100, 0.77, 0.38
60, 0.00053799, 43.83, 43, 0.00083598, 138.66, 100, 0.64, 0.32
61, 0.00002539, 6.98, 8, 0.00001893, 80.03, 80, 1.34, 0.09
62, 0.00029789, 106.68, 43, 0.00069018, 187.38, 100, 0.43, 0.57
63, 0.00008038, 43.42, 43, 0.00005114, 129.85, 100, 1.57, 0.33
64, 0.00049627, 45.02, 38, 0.00459510, 180.65, 100, 0.11, 0.25
65, 0.00042588, 66.99, 42, 0.00117811, 144.57, 100, 0.36, 0.46
66, 0.00024324, 64.37, 43, 0.00281413, 142.47, 100, 0.09, 0.45
67, 0.00011788, 17.65, 18, 0.00038657, 107.24, 100, 0.30, 0.16
68, 0.00045880, 43.86, 43, 0.00041053, 185.95, 100, 1.12, 0.24
69, 0.00030104, 43.89, 43, 0.00032642, 136.46, 100, 0.92, 0.32
70, 0.00016668, 65.46, 57, 0.00035621, 196.90, 100, 0.47, 0.33
71, 0.00002204, 90.40, 75, 0.00007038, 216.67, 100, 0.31, 0.42
72, 0.00007441, 71.24, 53, 0.00041265, 166.66, 100, 0.18, 0.43
