BENCH: googlenet
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00032883, 34.77, 28, 0.00058186, 293.33, 100, 0.57, 0.12
1, 0.00002537, 68.43, 49, 0.00003714, 127.09, 100, 0.68, 0.54
2, 0.00001887, 10.19, 10, 0.00001498, 85.10, 80, 1.26, 0.12
3, 0.00113643, 24.40, 21, 0.00845449, 268.40, 100, 0.13, 0.09
4, 0.00158166, 44.58, 36, 0.00328791, 348.02, 100, 0.48, 0.13
5, 0.00022823, 16.97, 18, 0.00084941, 111.79, 100, 0.27, 0.15
6, 0.00011949, 64.13, 43, 0.00038497, 191.95, 100, 0.31, 0.33
7, 0.00080048, 40.95, 36, 0.00299242, 272.22, 100, 0.27, 0.15
8, 0.00017474, 54.48, 43, 0.00035880, 138.39, 100, 0.49, 0.39
9, 0.00008595, 53.40, 43, 0.00022986, 169.40, 100, 0.37, 0.32
10, 0.00002347, 94.14, 55, 0.00009103, 191.63, 100, 0.26, 0.49
11, 0.00002653, 7.50, 8, 0.00001533, 70.36, 64, 1.73, 0.11
12, 0.00004700, 21.55, 21, 0.00012782, 257.01, 100, 0.37, 0.08
13, 0.00002146, 57.80, 53, 0.00002408, 116.77, 100, 0.89, 0.49
14, 0.00000305, 0.98, 2, 0.00000367, 3.91, 4, 0.83, 0.25
15, 0.00000769, 5.26, 6, 0.00000682, 85.97, 80, 1.13, 0.06
16, 0.00036091, 41.12, 37, 0.00100947, 224.63, 100, 0.36, 0.18
17, 0.00011947, 50.26, 47, 0.00050389, 163.01, 100, 0.24, 0.31
18, 0.00024762, 76.30, 43, 0.00138397, 169.65, 100, 0.18, 0.45
19, 0.00016241, 44.77, 45, 0.00104184, 148.73, 100, 0.16, 0.30
20, 0.00002493, 13.97, 14, 0.00000939, 74.08, 64, 2.65, 0.19
21, 0.00005077, 44.29, 43, 0.00012293, 196.14, 100, 0.41, 0.23
22, 0.00005703, 53.88, 45, 0.00007836, 114.14, 100, 0.73, 0.47
23, 0.00009158, 50.79, 41, 0.00028415, 202.73, 100, 0.32, 0.25
24, 0.00003677, 44.89, 43, 0.00002667, 122.44, 100, 1.38, 0.37
25, 0.00082326, 50.56, 44, 0.00240187, 213.82, 100, 0.34, 0.24
26, 0.00002128, 29.21, 27, 0.00002173, 70.81, 64, 0.98, 0.41
27, 0.00000723, 53.48, 52, 0.00000883, 100.87, 100, 0.82, 0.53
28, 0.00008691, 53.61, 45, 0.00018115, 186.35, 100, 0.48, 0.29
29, 0.00023068, 67.48, 57, 0.00039190, 155.34, 100, 0.59, 0.43
30, 0.00279988, 50.74, 36, 0.01854427, 335.41, 100, 0.15, 0.15
31, 0.00000453, 1.03, 2, 0.00000577, 4.11, 4, 0.78, 0.25
32, 0.00006578, 68.74, 43, 0.00017668, 172.78, 100, 0.37, 0.40
33, 0.00022936, 75.85, 43, 0.00093186, 154.70, 100, 0.25, 0.49
34, 0.00003161, 51.77, 45, 0.00006027, 175.84, 100, 0.52, 0.29
35, 0.00004106, 35.00, 27, 0.00010207, 369.19, 100, 0.40, 0.09
36, 0.00006075, 56.02, 52, 0.00009552, 268.43, 100, 0.64, 0.21
37, 0.00066618, 46.41, 37, 0.00208661, 268.01, 100, 0.32, 0.17
38, 0.00025656, 74.57, 64, 0.00099862, 283.11, 100, 0.26, 0.26
39, 0.00001994, 6.00, 7, 0.00001252, 64.03, 64, 1.59, 0.09
40, 0.00021451, 44.71, 45, 0.00031798, 131.93, 100, 0.67, 0.34
41, 0.00055750, 54.21, 44, 0.00101666, 185.90, 100, 0.55, 0.29
42, 0.00002157, 40.83, 34, 0.00007860, 191.89, 100, 0.27, 0.21
43, 0.00009121, 56.26, 48, 0.00038812, 265.14, 100, 0.24, 0.21
44, 0.00006794, 46.99, 43, 0.00033691, 150.12, 100, 0.20, 0.31
45, 0.00003906, 43.90, 43, 0.00007692, 170.13, 100, 0.51, 0.26
46, 0.00027302, 64.73, 58, 0.00049016, 175.52, 100, 0.56, 0.37
47, 0.00015192, 42.01, 43, 0.00014148, 160.13, 100, 1.07, 0.26
48, 0.00001729, 19.94, 10, 0.00001152, 86.98, 64, 1.50, 0.23
49, 0.00008901, 42.91, 43, 0.00125384, 214.16, 100, 0.07, 0.20
50, 0.00005608, 80.00, 65, 0.00035883, 157.62, 100, 0.16, 0.51
51, 0.00016647, 48.65, 43, 0.00019667, 153.71, 100, 0.85, 0.32
52, 0.00002790, 23.58, 22, 0.00004477, 76.76, 64, 0.62, 0.31
53, 0.00005587, 29.20, 29, 0.00005640, 83.74, 80, 0.99, 0.35
54, 0.00002084, 28.23, 19, 0.00003169, 164.34, 100, 0.66, 0.17
55, 0.00020033, 43.71, 43, 0.00049870, 129.70, 100, 0.40, 0.34
56, 0.00005334, 22.54, 22, 0.00010713, 119.15, 100, 0.50, 0.19
57, 0.00032343, 38.84, 36, 0.00204309, 186.68, 100, 0.16, 0.21
58, 0.00015583, 65.37, 57, 0.00024020, 172.02, 100, 0.65, 0.38
59, 0.00005539, 46.95, 40, 0.00011987, 140.53, 100, 0.46, 0.33
60, 0.00035995, 46.02, 43, 0.00042381, 160.86, 100, 0.85, 0.29
61, 0.00016637, 76.91, 58, 0.00033984, 175.46, 100, 0.49, 0.44
