BENCH: mnasnet1_0
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00003764, 42.32, 39, 0.00015235, 147.83, 100, 0.25, 0.29
1, 0.00015910, 21.44, 12, 0.00096150, 169.20, 100, 0.17, 0.13
2, 0.00003970, 68.40, 57, 0.00017539, 162.71, 100, 0.23, 0.42
3, 0.00009823, 50.90, 45, 0.00042812, 157.99, 100, 0.23, 0.32
4, 0.00022509, 45.01, 45, 0.00084125, 214.67, 100, 0.27, 0.21
5, 0.00002766, 65.78, 48, 0.00021331, 216.17, 100, 0.13, 0.30
6, 0.00002544, 21.12, 18, 0.00009488, 210.24, 100, 0.27, 0.10
7, 0.00003893, 11.56, 11, 0.00013606, 273.70, 100, 0.29, 0.04
8, 0.00003701, 44.42, 43, 0.00004135, 135.57, 100, 0.89, 0.33
9, 0.00014699, 20.23, 21, 0.00083881, 133.11, 100, 0.18, 0.15
10, 0.00001598, 16.48, 15, 0.00002685, 205.64, 100, 0.60, 0.08
11, 0.00013692, 47.45, 45, 0.00022274, 140.52, 100, 0.61, 0.34
12, 0.00005903, 55.77, 46, 0.00013890, 158.74, 100, 0.42, 0.35
13, 0.00014765, 44.48, 43, 0.00152848, 238.76, 100, 0.10, 0.19
14, 0.00003998, 15.68, 14, 0.00007229, 206.91, 100, 0.55, 0.08
15, 0.00005874, 67.32, 55, 0.00034136, 158.11, 100, 0.17, 0.43
16, 0.00000791, 63.24, 65, 0.00000881, 99.18, 100, 0.90, 0.64
17, 0.00008393, 35.28, 35, 0.00012255, 192.10, 100, 0.68, 0.18
18, 0.00005784, 41.97, 43, 0.00005602, 163.07, 100, 1.03, 0.26
19, 0.00007746, 12.98, 13, 0.00015847, 116.54, 100, 0.49, 0.11
20, 0.00002381, 17.44, 15, 0.00003927, 218.34, 100, 0.61, 0.08
21, 0.00001778, 15.82, 14, 0.00010926, 218.58, 100, 0.16, 0.07
22, 0.00013571, 44.23, 45, 0.00011303, 169.97, 100, 1.20, 0.26
23, 0.00009945, 43.11, 43, 0.00010832, 132.20, 100, 0.92, 0.33
24, 0.00003903, 16.37, 14, 0.00008455, 250.77, 100, 0.46, 0.07
25, 0.00012108, 43.29, 43, 0.00015341, 142.82, 100, 0.79, 0.30
26, 0.00005857, 37.45, 34, 0.00011496, 138.18, 100, 0.51, 0.27
27, 0.00025913, 44.43, 45, 0.00070479, 164.02, 100, 0.37, 0.27
28, 0.00000994, 10.87, 11, 0.00004575, 188.97, 100, 0.22, 0.06
29, 0.00002775, 21.61, 18, 0.00014549, 209.81, 100, 0.19, 0.10
30, 0.00006658, 57.69, 39, 0.00009006, 200.94, 100, 0.74, 0.29
31, 0.00006958, 73.90, 43, 0.00008742, 137.08, 100, 0.80, 0.54
32, 0.00002382, 13.68, 14, 0.00016322, 284.30, 100, 0.15, 0.05
33, 0.00014094, 55.84, 43, 0.00031434, 178.77, 100, 0.45, 0.31
34, 0.00000351, 23.74, 25, 0.00000377, 98.25, 100, 0.93, 0.24
35, 0.00002802, 18.37, 15, 0.00004795, 132.55, 100, 0.58, 0.14
