BENCH: mobilenet_v2
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00009408, 50.88, 43, 0.00032444, 135.93, 100, 0.29, 0.37
1, 0.00001499, 11.92, 12, 0.00007089, 154.94, 100, 0.21, 0.08
2, 0.00018233, 47.25, 45, 0.00026428, 181.39, 100, 0.69, 0.26
3, 0.00006788, 55.77, 43, 0.00026602, 130.68, 100, 0.26, 0.43
4, 0.00002508, 79.85, 39, 0.00017134, 197.91, 100, 0.15, 0.40
5, 0.00000371, 0.98, 2, 0.00000400, 3.90, 4, 0.93, 0.25
6, 0.00025531, 70.54, 45, 0.00031004, 173.97, 100, 0.82, 0.41
7, 0.00006965, 12.42, 12, 0.00015734, 307.21, 100, 0.44, 0.04
8, 0.00005793, 42.11, 43, 0.00014847, 176.42, 100, 0.39, 0.24
9, 0.00009659, 54.54, 45, 0.00011446, 122.34, 100, 0.84, 0.45
10, 0.00001938, 11.66, 11, 0.00006178, 169.43, 100, 0.31, 0.07
11, 0.00008629, 52.43, 45, 0.00017712, 159.72, 100, 0.49, 0.33
12, 0.00000847, 17.09, 17, 0.00002646, 190.56, 100, 0.32, 0.09
13, 0.00006375, 44.36, 45, 0.00011437, 180.43, 100, 0.56, 0.25
14, 0.00005434, 18.73, 17, 0.00029610, 226.63, 100, 0.18, 0.08
15, 0.00007106, 43.73, 39, 0.00024622, 125.18, 100, 0.29, 0.35
16, 0.00009804, 68.00, 43, 0.00016839, 146.06, 100, 0.58, 0.47
17, 0.00007363, 35.20, 35, 0.00019657, 164.34, 100, 0.37, 0.21
18, 0.00015932, 30.54, 30, 0.00049250, 119.93, 100, 0.32, 0.25
19, 0.00001667, 12.64, 13, 0.00001817, 123.99, 100, 0.92, 0.10
20, 0.00002371, 54.66, 51, 0.00008639, 163.83, 100, 0.27, 0.33
21, 0.00001145, 52.66, 54, 0.00001188, 100.03, 100, 0.96, 0.53
22, 0.00010118, 37.95, 31, 0.00020283, 192.24, 100, 0.50, 0.20
23, 0.00031411, 21.61, 21, 0.00240241, 157.64, 100, 0.13, 0.14
24, 0.00006411, 42.67, 43, 0.00009276, 144.52, 100, 0.69, 0.30
25, 0.00002231, 16.31, 15, 0.00005850, 207.43, 100, 0.38, 0.08
26, 0.00009663, 60.68, 43, 0.00022737, 160.10, 100, 0.42, 0.38
27, 0.00001183, 13.91, 14, 0.00007921, 276.76, 100, 0.15, 0.05
28, 0.00010618, 11.01, 11, 0.00053600, 249.18, 100, 0.20, 0.04
29, 0.00001397, 11.12, 11, 0.00002999, 211.72, 100, 0.47, 0.05
30, 0.00006336, 42.71, 43, 0.00007351, 132.64, 100, 0.86, 0.32
31, 0.00008130, 53.07, 43, 0.00026768, 135.30, 100, 0.30, 0.39
32, 0.00004287, 17.75, 17, 0.00040134, 339.13, 100, 0.11, 0.05
