BENCH: resnet34
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00006367, 78.28, 64, 0.00047803, 167.56, 100, 0.13, 0.47
1, 0.00112269, 37.39, 22, 0.00494160, 280.54, 100, 0.23, 0.13
2, 0.00096280, 100.15, 36, 0.00161372, 180.33, 100, 0.60, 0.56
3, 0.00001129, 112.41, 55, 0.00012185, 203.07, 100, 0.09, 0.55
4, 0.00000289, 0.99, 2, 0.00000354, 3.95, 4, 0.82, 0.25
5, 0.00105604, 47.34, 39, 0.00783326, 170.34, 100, 0.13, 0.28
6, 0.00091351, 109.72, 39, 0.00701234, 242.70, 100, 0.13, 0.45
7, 0.00076827, 49.97, 39, 0.00086765, 244.01, 100, 0.89, 0.20
8, 0.00006149, 89.53, 72, 0.00006613, 149.39, 100, 0.93, 0.60
9, 0.00006362, 129.38, 85, 0.00015063, 181.54, 100, 0.42, 0.71
10, 0.00000934, 45.72, 47, 0.00001462, 98.04, 100, 0.64, 0.47
11, 0.00054119, 85.74, 47, 0.00162945, 239.12, 100, 0.33, 0.36
12, 0.00105828, 55.45, 51, 0.00149825, 160.62, 100, 0.71, 0.35
13, 0.00095867, 240.07, 39, 0.00195713, 518.92, 100, 0.49, 0.46
14, 0.00091034, 141.93, 36, 0.00273897, 205.89, 100, 0.33, 0.69
15, 0.00098668, 61.09, 51, 0.00217865, 159.71, 100, 0.45, 0.38
16, 0.00002126, 20.88, 22, 0.00001846, 63.81, 64, 1.15, 0.33
17, 0.00056746, 41.97, 34, 0.00094786, 238.69, 100, 0.60, 0.18
18, 0.00097575, 118.72, 39, 0.00271183, 275.45, 100, 0.36, 0.43
