BENCH: vgg11
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
0, 0.00000754, 0.96, 2, 0.00000792, 3.84, 4, 0.95, 0.25
1, 0.00086586, 35.63, 32, 0.00221502, 213.89, 100, 0.39, 0.17
2, 0.01484917, 446.71, 36, 0.03049010, 583.58, 100, 0.49, 0.77
3, 0.00009767, 84.54, 37, 0.03822430, 232.93, 100, 0.00, 0.36
4, 0.00001386, 0.97, 2, 0.00001324, 3.88, 4, 1.05, 0.25
5, 0.00635086, 123.86, 47, 0.01403113, 476.46, 100, 0.45, 0.26
6, 0.00345552, 45.14, 35, 0.00599726, 223.64, 100, 0.58, 0.20
7, 0.00163855, 138.01, 59, 0.01001610, 189.57, 100, 0.16, 0.73
8, 0.00001015, 39.08, 41, 0.00000824, 97.69, 100, 1.23, 0.40
9, 0.00714733, 110.83, 34, 0.01110200, 538.73, 100, 0.64, 0.21
10, 0.01149207, 209.13, 59, 0.06327083, 362.46, 100, 0.18, 0.58
11, 0.00002674, 0.98, 2, 0.00004235, 3.91, 4, 0.63, 0.25
12, 0.00000476, 1.03, 2, 0.00000476, 4.14, 4, 1.00, 0.25
13, 0.01430810, 64.96, 34, 0.03386363, 465.25, 100, 0.42, 0.14
14, 0.00000179, 0.97, 2, 0.00000177, 3.84, 4, 1.01, 0.25
15, 0.00746909, 145.77, 39, 0.01252193, 373.31, 100, 0.60, 0.39
16, 0.00005877, 1.19, 2, 0.00007355, 4.06, 4, 0.80, 0.29
