BENCH: densenet169
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00219884, 155.07, 100
1, 0.00036184, 161.59, 100
2, 0.00098960, 214.64, 100
3, 0.00026244, 158.05, 100
4, 0.00047601, 157.05, 100
5, 0.00034470, 168.03, 100
6, 0.01125827, 238.02, 100
7, 0.00033957, 115.48, 100
8, 0.00000501, 4.08, 4
9, 0.00127981, 255.01, 100
10, 0.00010306, 146.23, 100
11, 0.00355086, 169.77, 100
12, 0.00037372, 232.46, 100
13, 0.00073035, 123.41, 100
14, 0.00027325, 153.10, 100
15, 9999.00000000, 232.77, 100
16, 0.00007093, 121.87, 100
17, 0.00132940, 204.37, 100
18, 0.00017702, 154.78, 100
19, 0.00140925, 163.90, 100
20, 0.00185572, 171.65, 100
21, 0.00000441, 3.88, 4
22, 0.00037843, 131.85, 100
23, 0.00011066, 112.23, 100
24, 0.00058174, 135.15, 100
25, 0.00148603, 176.83, 100
26, 0.00058193, 185.23, 100
27, 0.00010560, 129.13, 100
28, 0.00204409, 212.42, 100
29, 0.00027434, 199.56, 100
30, 0.00033194, 171.96, 100
31, 0.00005015, 138.97, 100
32, 0.00042412, 125.09, 100
33, 0.00844372, 271.02, 100
34, 0.00011630, 189.45, 100
35, 0.00020410, 157.57, 100
36, 0.00000582, 4.84, 5
37, 0.00061973, 166.71, 100
38, 0.00052657, 161.63, 100
39, 0.00495710, 176.47, 100
40, 0.00020675, 138.46, 100
41, 0.00038695, 178.49, 100
42, 0.00061044, 184.28, 100
43, 0.00000895, 97.44, 100
44, 0.00176650, 177.12, 100
45, 0.00020567, 184.58, 100
46, 0.00076626, 175.28, 100
47, 0.00008595, 133.02, 100
48, 0.00142467, 205.62, 100
49, 0.00035491, 108.54, 100
50, 0.00283458, 246.88, 100
51, 0.00020888, 159.43, 100
52, 0.00018607, 156.08, 100
53, 0.00043394, 204.83, 100
54, 0.00110399, 107.71, 100
55, 0.00018629, 169.19, 100
56, 0.00083387, 176.36, 100
57, 0.00020925, 122.71, 100
58, 0.00104227, 125.83, 100
59, 0.01780350, 215.12, 100
60, 0.00014269, 173.17, 100
61, 0.00038266, 151.13, 100
62, 0.00026484, 134.31, 100
63, 0.00022640, 117.95, 100
64, 0.00046104, 158.26, 100
65, 0.00087162, 166.76, 100
66, 0.00000796, 3.86, 4
67, 0.00048930, 146.38, 100
68, 0.00029172, 129.84, 100
69, 0.00554870, 166.02, 100
70, 0.00015621, 110.90, 100
71, 0.00077103, 173.77, 100
72, 0.00033253, 165.48, 100
73, 0.00029431, 149.53, 100
74, 0.00018157, 125.49, 100
75, 0.00030750, 137.03, 100
76, 0.00024949, 180.07, 100
77, 0.00016382, 107.23, 100
78, 0.00118070, 135.06, 100
79, 0.00116306, 168.32, 100
80, 0.00300084, 129.31, 100
81, 0.00013898, 147.10, 100
82, 0.00021855, 126.39, 100
83, 0.00120001, 173.91, 100
84, 0.00001683, 99.94, 100
85, 0.00046998, 193.35, 100
86, 0.00006492, 151.67, 100
87, 0.00169456, 153.49, 100
88, 0.00277452, 156.47, 100
89, 0.00026774, 185.68, 100
90, 0.00062226, 164.04, 100
91, 0.00030755, 193.89, 100
92, 0.00421739, 155.04, 100
93, 0.00142055, 110.50, 100
94, 0.00080826, 148.07, 100
95, 0.00004972, 156.89, 100
96, 0.00077471, 140.32, 100
