BENCH: mobilenet_v2
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00007073, 180.24, 100
1, 0.00023056, 139.33, 100
2, 0.00028804, 153.83, 100
3, 0.00048797, 160.30, 100
4, 0.00010993, 208.57, 100
5, 0.00000410, 3.89, 4
6, 0.00150505, 154.07, 100
7, 0.00015947, 191.15, 100
8, 0.00005344, 182.96, 100
9, 0.00039825, 125.77, 100
10, 0.00012882, 164.97, 100
11, 0.00025629, 138.62, 100
12, 0.00000914, 170.89, 100
13, 0.00007590, 175.50, 100
14, 0.00009903, 274.50, 100
15, 0.00013502, 222.71, 100
16, 0.00019173, 176.34, 100
17, 0.00016825, 210.91, 100
18, 0.00024365, 125.40, 100
19, 0.00012055, 108.91, 100
20, 0.00002918, 113.08, 100
21, 0.00001160, 99.57, 100
22, 0.00020538, 134.03, 100
23, 0.00039149, 148.85, 100
24, 0.00012196, 138.92, 100
25, 0.00018315, 228.79, 100
26, 0.00028559, 157.52, 100
27, 0.00008077, 266.95, 100
28, 0.00037676, 168.70, 100
29, 0.00006916, 280.09, 100
30, 0.00021067, 150.42, 100
31, 0.00021044, 180.22, 100
32, 0.00022211, 148.23, 100
