BENCH: resnet50
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00257325, 266.79, 100
1, 0.00359971, 274.43, 100
2, 0.00170346, 155.78, 100
3, 0.00488862, 208.50, 100
4, 0.00163867, 288.38, 100
5, 0.00176316, 264.63, 100
6, 0.00089892, 192.72, 100
7, 0.00065727, 209.21, 100
8, 0.00152986, 455.92, 100
9, 0.00000487, 3.90, 4
10, 0.00046118, 179.29, 100
11, 0.00679959, 257.83, 100
12, 0.00075662, 159.86, 100
13, 0.00066365, 156.30, 100
14, 0.00000841, 99.80, 100
15, 0.00175212, 497.79, 100
16, 0.00194884, 194.65, 100
17, 0.00089172, 138.86, 100
18, 0.00374478, 234.63, 100
19, 0.00192958, 294.20, 100
20, 0.00213498, 205.91, 100
21, 0.00364329, 242.30, 100
22, 0.00160754, 204.19, 100
23, 0.00104679, 152.43, 100
24, 0.00217284, 203.04, 100
25, 0.00002223, 3.98, 4
26, 0.00217159, 141.22, 100
27, 0.00089513, 169.75, 100
