BENCH: shufflenet
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00001985, 248.79, 100
1, 0.00096105, 141.32, 100
2, 0.00085577, 168.70, 100
3, 0.00060771, 242.94, 100
4, 0.00001954, 162.59, 100
5, 0.00025333, 192.33, 100
6, 0.00011167, 279.40, 100
7, 0.00004518, 152.63, 100
8, 0.00001567, 99.32, 100
9, 0.00164831, 185.16, 100
10, 0.00001158, 196.22, 100
11, 0.00049681, 138.59, 100
12, 0.00003981, 164.32, 100
13, 0.00020790, 222.58, 100
14, 0.00002457, 198.23, 100
15, 0.00064867, 136.65, 100
16, 0.00030362, 376.89, 100
17, 0.00002353, 223.00, 100
18, 0.00002401, 16.75, 16
19, 0.00000361, 98.51, 100
