BENCH: squeezenet
layer, xgb-300 exec, xgb-300 tuning, xgb-300 trials
0, 0.00009515, 108.14, 100
1, 0.00007240, 140.60, 100
2, 0.00083723, 159.97, 100
3, 0.00011868, 136.74, 100
4, 0.00000644, 15.62, 16
5, 0.00020312, 112.98, 100
6, 0.00000584, 4.22, 4
7, 0.00031790, 124.04, 100
8, 0.00548863, 136.49, 100
9, 0.00035166, 343.17, 100
10, 0.00005636, 107.18, 100
11, 0.00007922, 180.93, 100
12, 0.00051773, 252.89, 100
13, 0.00001010, 98.61, 100
14, 0.00060215, 325.52, 100
15, 0.00001441, 62.84, 64
16, 0.00014769, 239.88, 100
17, 0.00056754, 377.98, 100
18, 0.00001959, 63.31, 64
19, 0.00014624, 109.61, 100
20, 0.00018187, 146.74, 100
21, 0.00008707, 194.60, 100
22, 0.00014342, 171.77, 100
