Sun Dec 17 00:51:49 EST 2023
workergpu064
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00002464, 45.91, 52.89, 21, 0.00012875, 6.98,  1, 0.00004144, 5356.84, 768, 5.23, 1.68, 0.13, 101.28
1, 0.00000277, 40.46, 47.43, 29, 0.00000349, 6.98,  1, 0.00000269, 446.40, 64, 1.26, 0.97, 0.15, 9.41
2, 0.00019205, 73.50, 80.47, 36, 0.00061049, 6.98,  1, 0.00003138, 4464.03, 640, 3.18, 0.16, 0.09, 55.47
3, 0.00002197, 62.15, 69.12, 35, 0.00022301, 6.98,  1, 0.00005038, 6696.05, 960, 10.15, 2.29, 0.10, 96.87
4, 0.00000527, 39.77, 46.74, 27, 0.00002888, 6.98,  1, 0.00000502, 892.81, 128, 5.48, 0.95, 0.15, 19.10
5, 0.00007768, 8.93, 15.90, 2, 0.00005352, 6.98,  1, 0.00002875, 4017.63, 576, 0.69, 0.37, 0.44, 252.61
6, 0.00000329, 31.30, 38.28, 22, 0.00000342, 6.98,  1, 0.00000315, 446.40, 64, 1.04, 0.96, 0.18, 11.66
7, 0.00004385, 32.71, 39.68, 17, 0.00609739, 6.98,  1, 0.00007331, 9820.87, 1408, 139.04, 1.67, 0.18, 247.50
8, 0.00000563, 25.96, 32.94, 14, 0.00000793, 6.98,  1, 0.00000519, 892.81, 128, 1.41, 0.92, 0.21, 27.11
9, 0.00017178, 116.78, 123.76, 50, 0.00021172, 6.98,  1, 0.00007307, 9374.46, 1344, 1.23, 0.43, 0.06, 75.75
10, 0.00003706, 20.80, 27.78, 13, 0.00570377, 6.98,  1, 0.00015148, 19641.74, 2816, 153.93, 4.09, 0.25, 707.05
11, 0.00000337, 79.71, 86.69, 57, 0.00000459, 6.98,  1, 0.00000329, 446.40, 64, 1.36, 0.98, 0.08, 5.15
12, 0.00031225, 129.82, 136.79, 39, 0.00167935, 6.98,  1, 0.00005670, 7588.85, 1088, 5.38, 0.18, 0.05, 55.48
Top 10
