Tue Jan  2 12:04:21 EST 2024
workergpu072
Greetings from !
Densenet169: Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00003770, 55.68, 63.17, 39, 0.00008286, 7.49,  1, 0.00002015, 958.48, 128, 2.20, 0.53, 0.12, 15.17
1, 0.00003886, 96.32, 103.81, 75, 0.00014477, 7.49,  1, 0.00001801, 958.48, 128, 3.73, 0.46, 0.07, 9.23
2, 0.00002410, 37.61, 45.10, 21, 0.00003180, 7.49,  1, 0.00002869, 479.24, 64, 1.32, 1.19, 0.17, 10.63
3, 0.00002357, 54.99, 62.48, 45, 0.00017148, 7.49,  1, 0.00002633, 479.24, 64, 7.28, 1.12, 0.12, 7.67
4, 0.00008963, 41.57, 49.06, 26, 0.00011828, 7.49,  1, 0.00002534, 479.24, 64, 1.32, 0.28, 0.15, 9.77
5, 0.00039113, 27.27, 34.76, 11, 0.00039113, 7.49,  1, 0.00003916, 3833.92, 512, 1.00, 0.10, 0.22, 110.30
6, 0.00004295, 16.97, 24.46, 11, 0.00004295, 7.49,  1, 0.00001533, 479.24, 64, 1.00, 0.36, 0.31, 19.60
7, 0.00019727, 85.05, 92.54, 48, 0.00025077, 7.49,  1, 0.00006765, 1437.72, 192, 1.27, 0.34, 0.08, 15.54
8, 0.00004938, 45.88, 53.37, 31, 0.00010566, 7.49,  1, 0.00001906, 479.24, 64, 2.14, 0.39, 0.14, 8.98
9, 0.00027395, 69.26, 76.75, 41, 0.00076999, 7.49,  1, 0.00003054, 479.24, 64, 2.81, 0.11, 0.10, 6.24
10, 0.00022558, 49.02, 56.50, 33, 0.00028245, 7.49,  1, 0.00002322, 479.24, 64, 1.25, 0.10, 0.13, 8.48
11, 0.00000649, 33.90, 41.39, 25, 0.00000896, 7.49,  1, 0.00000586, 479.24, 64, 1.38, 0.90, 0.18, 11.58
12, 0.00026162, 20.83, 28.32, 11, 0.00026162, 7.49,  1, 0.00002033, 958.48, 128, 1.00, 0.08, 0.26, 33.85
13, 0.00012277, 79.42, 86.90, 30, 0.00022618, 7.49,  1, 0.00002995, 479.24, 64, 1.84, 0.24, 0.09, 5.51
14, 0.00007526, 43.59, 51.07, 24, 0.00009418, 7.49,  1, 0.00002161, 958.48, 128, 1.25, 0.29, 0.15, 18.77
15, 0.00001099, 46.80, 54.29, 37, 0.00001188, 7.49,  1, 0.00001188, 479.24, 64, 1.08, 1.08, 0.14, 8.83
16, 0.00001510, 40.91, 48.40, 28, 0.00001548, 7.49,  1, 0.00001313, 479.24, 64, 1.03, 0.87, 0.15, 9.90
17, 0.00006920, 22.38, 29.86, 15, 0.00006920, 7.49,  1, 0.00001929, 479.24, 64, 1.00, 0.28, 0.25, 16.05
18, 0.00002822, 19.46, 26.95, 11, 0.00002822, 7.49,  1, 0.00001743, 479.24, 64, 1.00, 0.62, 0.28, 17.78
19, 0.00004300, 98.24, 105.73, 42, 0.00005458, 7.49,  1, 0.00001942, 479.24, 64, 1.27, 0.45, 0.07, 4.53
20, 0.00028640, 44.48, 51.97, 37, 0.00036010, 7.49,  1, 0.00003641, 958.48, 128, 1.26, 0.13, 0.14, 18.44
21, 0.00001683, 26.52, 34.01, 10, 0.00003107, 7.49,  1, 0.00001041, 479.24, 64, 1.85, 0.62, 0.22, 14.09
22, 0.00000573, 31.11, 38.60, 23, 0.00000605, 7.49,  1, 0.00000551, 479.24, 64, 1.06, 0.96, 0.19, 12.41
23, 0.00001036, 13.95, 21.44, 7, 0.00002089, 7.49,  1, 0.00001333, 479.24, 64, 2.02, 1.29, 0.35, 22.35
24, 0.00000549, 29.58, 37.07, 18, 0.00011760, 7.49,  1, 0.00002669, 479.24, 64, 21.43, 4.86, 0.20, 12.93
25, 0.00003814, 57.21, 64.70, 38, 0.00011277, 7.49,  1, 0.00002456, 479.24, 64, 2.96, 0.64, 0.12, 7.41
26, 0.00005978, 30.41, 37.90, 24, 0.00005978, 7.49,  1, 0.00001522, 479.24, 64, 1.00, 0.25, 0.20, 12.64
27, 0.00001606, 163.42, 170.91, 51, 0.00016699, 7.49,  1, 0.00001765, 958.48, 128, 10.40, 1.10, 0.04, 5.61
28, 0.00025331, 28.79, 36.28, 17, 0.00025331, 7.49,  1, 0.00001822, 958.48, 128, 1.00, 0.07, 0.21, 26.42
29, 0.00002458, 46.89, 54.38, 44, 0.00020647, 7.49,  1, 0.00002446, 958.48, 128, 8.40, 1.00, 0.14, 17.62
30, 0.00003539, 55.71, 63.20, 41, 0.00020363, 7.49,  1, 0.00001977, 479.24, 64, 5.75, 0.56, 0.12, 7.58
31, 0.00006555, 20.07, 27.56, 11, 0.00006555, 7.49,  1, 0.00002086, 479.24, 64, 1.00, 0.32, 0.27, 17.39
32, 0.00003713, 114.51, 122.00, 71, 0.00024758, 7.49,  1, 0.00002489, 479.24, 64, 6.67, 0.67, 0.06, 3.93
33, 0.00011190, 71.84, 79.33, 34, 0.00011786, 7.49,  1, 0.00002034, 958.48, 128, 1.05, 0.18, 0.09, 12.08
34, 0.00004158, 26.08, 33.57, 16, 0.00004158, 7.49,  1, 0.00002426, 479.24, 64, 1.00, 0.58, 0.22, 14.28
35, 0.00002420, 39.68, 47.17, 36, 0.00003051, 7.49,  1, 0.00003051, 479.24, 64, 1.26, 1.26, 0.16, 10.16
