Sun Dec 17 00:54:49 EST 2023
workergpu064
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00016695, 26.26, 33.58, 11, 0.00016695, 7.32,  1, 0.00002196, 937.28, 128, 1.00, 0.13, 0.22, 27.91
1, 0.00003877, 22.52, 29.85, 14, 0.00003877, 7.32,  1, 0.00001808, 937.28, 128, 1.00, 0.47, 0.25, 31.40
2, 0.00012679, 22.71, 30.03, 12, 0.00012679, 7.32,  1, 0.00001252, 468.64, 64, 1.00, 0.10, 0.24, 15.60
3, 0.00002197, 63.95, 71.27, 37, 0.00019669, 7.32,  1, 0.00003143, 5155.03, 704, 8.95, 1.43, 0.10, 72.33
4, 0.00000527, 69.60, 76.93, 48, 0.00039354, 7.32,  1, 0.00001300, 937.28, 128, 74.66, 2.47, 0.10, 12.18
5, 0.00007768, 82.51, 89.83, 60, 0.00048599, 7.32,  1, 0.00004387, 1405.92, 192, 6.26, 0.56, 0.08, 15.65
6, 0.00003620, 47.83, 55.16, 40, 0.00010594, 7.32,  1, 0.00001370, 937.28, 128, 2.93, 0.38, 0.13, 16.99
7, 0.00000598, 102.71, 110.03, 73, 0.00001009, 7.32,  1, 0.00000570, 468.64, 64, 1.69, 0.95, 0.07, 4.26
8, 0.00004053, 37.69, 45.01, 32, 0.00003696, 7.32,  1, 0.00001578, 937.28, 128, 0.91, 0.39, 0.16, 20.82
9, 0.00001594, 76.77, 84.09, 52, 0.00014748, 7.32,  1, 0.00002181, 937.28, 128, 9.26, 1.37, 0.09, 11.15
10, 0.00000785, 13.40, 20.73, 7, 0.00011350, 7.32,  1, 0.00002580, 937.28, 128, 14.46, 3.29, 0.35, 45.22
11, 0.00001961, 16.12, 23.44, 7, 0.00001791, 7.32,  1, 0.00001434, 468.64, 64, 0.91, 0.73, 0.31, 19.99
12, 0.00092008, 11.16, 18.48, 4, 0.00002660, 7.32,  1, 0.00000945, 937.28, 128, 0.03, 0.01, 0.40, 50.72
13, 0.00002159, 216.41, 223.73, 109, 0.00005060, 7.32,  1, 0.00001853, 468.64, 64, 2.34, 0.86, 0.03, 2.09
14, 0.00001508, 182.86, 190.19, 118, 0.00010219, 7.32,  1, 0.00001570, 937.28, 128, 6.78, 1.04, 0.04, 4.93
15, 0.00019614, 41.38, 48.71, 25, 0.00019771, 7.32,  1, 0.00001515, 937.28, 128, 1.01, 0.08, 0.15, 19.24
16, 0.00022256, 29.82, 37.15, 16, 0.00022256, 7.32,  1, 0.00003612, 937.28, 128, 1.00, 0.16, 0.20, 25.23
17, 0.00004646, 34.03, 41.35, 21, 0.00004778, 7.32,  1, 0.00001364, 468.64, 64, 1.03, 0.29, 0.18, 11.33
18, 0.00000547, 43.43, 50.75, 33, 0.00000590, 7.32,  1, 0.00000548, 468.64, 64, 1.08, 1.00, 0.14, 9.23
19, 0.00006130, 21.91, 29.23, 12, 0.00006130, 7.32,  1, 0.00001157, 468.64, 64, 1.00, 0.19, 0.25, 16.03
20, 0.00010171, 60.26, 67.58, 44, 0.00018124, 7.32,  1, 0.00001657, 468.64, 64, 1.78, 0.16, 0.11, 6.93
21, 0.00000565, 118.04, 125.36, 87, 0.00007620, 7.32,  1, 0.00001642, 468.64, 64, 13.49, 2.91, 0.06, 3.74
22, 0.00000564, 76.68, 84.00, 55, 0.00007815, 7.32,  1, 0.00001549, 937.28, 128, 13.87, 2.75, 0.09, 11.16
23, 0.00002089, 13.11, 20.43, 4, 0.00015726, 7.32,  1, 0.00001241, 937.28, 128, 7.53, 0.59, 0.36, 45.88
24, 0.00022640, 42.48, 49.80, 22, 0.00022640, 7.32,  1, 0.00001096, 937.28, 128, 1.00, 0.05, 0.15, 18.82
25, 0.00004140, 115.23, 122.55, 44, 0.00004633, 7.32,  1, 0.00001466, 937.28, 128, 1.12, 0.35, 0.06, 7.65
26, 0.00001552, 13.59, 20.91, 6, 0.00002537, 7.32,  1, 0.00000917, 468.64, 64, 1.63, 0.59, 0.35, 22.41
27, 0.00006049, 119.97, 127.29, 36, 0.00008179, 7.32,  1, 0.00001862, 937.28, 128, 1.35, 0.31, 0.06, 7.36
28, 0.00014383, 62.90, 70.23, 29, 0.00060255, 7.32,  1, 0.00001314, 937.28, 128, 4.19, 0.09, 0.10, 13.35
29, 0.00000693, 35.38, 42.70, 24, 0.00001232, 7.32,  1, 0.00000655, 468.64, 64, 1.78, 0.95, 0.17, 10.97
30, 0.00004741, 8.79, 16.12, 2, 0.00004684, 7.32,  1, 0.00001137, 937.28, 128, 0.99, 0.24, 0.45, 58.16
31, 0.00006555, 22.13, 29.45, 16, 0.00020375, 7.32,  1, 0.00001391, 937.28, 128, 3.11, 0.21, 0.25, 31.82
32, 0.00009743, 27.78, 35.10, 14, 0.00009215, 7.32,  1, 0.00002184, 937.28, 128, 0.95, 0.22, 0.21, 26.70
33, 0.00004096, 50.10, 57.42, 35, 0.00008784, 7.32,  1, 0.00001859, 468.64, 64, 2.14, 0.45, 0.13, 8.16
34, 0.00008132, 59.75, 67.07, 40, 0.00008420, 7.32,  1, 0.00001207, 468.64, 64, 1.04, 0.15, 0.11, 6.99
35, 0.00000531, 27.99, 35.31, 18, 0.00000548, 7.32,  1, 0.00000506, 468.64, 64, 1.03, 0.95, 0.21, 13.27
36, 0.00008325, 64.91, 72.24, 26, 0.00009106, 7.32,  1, 0.00002347, 937.28, 128, 1.09, 0.28, 0.10, 12.97
37, 0.00032141, 83.11, 90.43, 35, 0.00046498, 7.32,  1, 0.00001807, 468.64, 64, 1.45, 0.06, 0.08, 5.18
38, 0.00000722, 51.25, 58.58, 41, 0.00037365, 7.32,  1, 0.00000961, 468.64, 64, 51.76, 1.33, 0.13, 8.00
39, 0.00004825, 37.35, 44.67, 21, 0.00005267, 7.32,  1, 0.00001185, 4686.39, 640, 1.09, 0.25, 0.16, 104.91
40, 0.00001148, 66.92, 74.24, 34, 0.00001306, 7.32,  1, 0.00001306, 468.64, 64, 1.14, 1.14, 0.10, 6.31
41, 0.00002011, 51.42, 58.74, 37, 0.00002944, 7.32,  1, 0.00001865, 468.64, 64, 1.46, 0.93, 0.12, 7.98
42, 0.00002877, 86.95, 94.27, 38, 0.00003294, 7.32,  1, 0.00001922, 937.28, 128, 1.15, 0.67, 0.08, 9.94
43, 0.00003737, 33.90, 41.22, 19, 0.00021561, 7.32,  1, 0.00001426, 937.28, 128, 5.77, 0.38, 0.18, 22.74
44, 0.00002620, 41.29, 48.61, 28, 0.00004245, 7.32,  1, 0.00000877, 937.28, 128, 1.62, 0.33, 0.15, 19.28
45, 0.00001929, 33.62, 40.94, 23, 0.00001993, 7.32,  1, 0.00001756, 468.64, 64, 1.03, 0.91, 0.18, 11.45
