Mon Dec 18 14:45:28 EST 2023
workergpu032
Greetings from !
Top 1
Top 10
Top 25
Top 50
Top 100
Top 200
Top 300
Top 1000
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k
0, 0.00002015, 29.83, 988.31, 15, 0.00002015, 958.48, 128, 0.00002015, 958.48, 128, 1.00, 1.00, 0.97, 0.97
1, 0.00001583, 29.12, 987.60, 21, 0.00001801, 958.48, 128, 0.00001801, 958.48, 128, 1.14, 1.14, 0.97, 0.97
2, 0.00002869, 19.94, 499.18, 15, 0.00002869, 479.24, 64, 0.00002869, 479.24, 64, 1.00, 1.00, 0.96, 0.96
3, 0.00002143, 44.99, 524.23, 27, 0.00002633, 479.24, 64, 0.00002633, 479.24, 64, 1.23, 1.23, 0.91, 0.91
4, 0.00002415, 50.00, 529.24, 30, 0.00002534, 479.24, 64, 0.00002534, 479.24, 64, 1.05, 1.05, 0.91, 0.91
5, 0.00003916, 43.89, 3877.80, 15, 0.00003916, 3833.92, 512, 0.00003916, 3833.92, 512, 1.00, 1.00, 0.99, 0.99
6, 0.00001462, 46.80, 526.04, 27, 0.00001533, 479.24, 64, 0.00001533, 479.24, 64, 1.05, 1.05, 0.91, 0.91
7, 0.00006765, 21.08, 1458.80, 14, 0.00006765, 1437.72, 192, 0.00006765, 1437.72, 192, 1.00, 1.00, 0.99, 0.99
8, 0.00001906, 19.27, 498.51, 11, 0.00001906, 479.24, 64, 0.00001906, 479.24, 64, 1.00, 1.00, 0.96, 0.96
9, 0.00001747, 55.69, 534.93, 30, 0.00003054, 479.24, 64, 0.00003054, 479.24, 64, 1.75, 1.75, 0.90, 0.90
10, 0.00002314, 59.27, 538.50, 41, 0.00002322, 479.24, 64, 0.00002322, 479.24, 64, 1.00, 1.00, 0.89, 0.89
11, 0.00000586, 18.91, 498.15, 12, 0.00000586, 479.24, 64, 0.00000586, 479.24, 64, 1.00, 1.00, 0.96, 0.96
12, 0.00002033, 20.10, 978.58, 11, 0.00002033, 958.48, 128, 0.00002033, 958.48, 128, 1.00, 1.00, 0.98, 0.98
13, 0.00002995, 18.16, 497.40, 15, 0.00002995, 479.24, 64, 0.00002995, 479.24, 64, 1.00, 1.00, 0.96, 0.96
14, 0.00002161, 38.82, 997.30, 11, 0.00002161, 958.48, 128, 0.00002161, 958.48, 128, 1.00, 1.00, 0.96, 0.96
15, 0.00001067, 32.78, 512.02, 24, 0.00001188, 479.24, 64, 0.00001188, 479.24, 64, 1.11, 1.11, 0.94, 0.94
16, 0.00001154, 37.58, 516.82, 26, 0.00001313, 479.24, 64, 0.00001313, 479.24, 64, 1.14, 1.14, 0.93, 0.93
17, 0.00001929, 18.69, 497.93, 13, 0.00001929, 479.24, 64, 0.00001929, 479.24, 64, 1.00, 1.00, 0.96, 0.96
18, 0.00001743, 22.76, 502.00, 11, 0.00001743, 479.24, 64, 0.00001743, 479.24, 64, 1.00, 1.00, 0.95, 0.95
19, 0.00001942, 25.28, 504.52, 17, 0.00001942, 479.24, 64, 0.00001942, 479.24, 64, 1.00, 1.00, 0.95, 0.95
20, 0.00003641, 33.14, 991.62, 15, 0.00003641, 958.48, 128, 0.00003641, 958.48, 128, 1.00, 1.00, 0.97, 0.97
