Mon Dec 18 14:48:00 EST 2023
workergpu061
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00001375, 61.67, 69.27, 37, 0.00023206, 7.60,  1, 0.00004426, 486.35, 64, 16.87, 3.22, 0.11, 7.02
1, 0.00001315, 30.15, 37.75, 15, 0.00020534, 7.60,  1, 0.00003928, 972.71, 128, 15.61, 2.99, 0.20, 25.77
2, 0.00002821, 43.94, 51.53, 23, 0.00002821, 7.60,  1, 0.00002372, 486.35, 64, 1.00, 0.84, 0.15, 9.44
3, 0.00000612, 12.36, 19.96, 4, 0.01502097, 7.60,  1, 0.00002432, 486.35, 64, 2454.49, 3.97, 0.38, 24.36
4, 0.00001112, 77.55, 85.15, 54, 0.00008106, 7.60,  1, 0.00003137, 486.35, 64, 7.29, 2.82, 0.09, 5.71
5, 0.00000572, 123.00, 130.60, 77, 0.00030526, 7.60,  1, 0.00003154, 2431.76, 320, 53.38, 5.52, 0.06, 18.62
6, 0.00002209, 93.50, 101.10, 21, 0.00005306, 7.60,  1, 0.00004895, 486.35, 64, 2.40, 2.22, 0.08, 4.81
7, 0.00000507, 40.40, 48.00, 25, 0.00105614, 7.60,  1, 0.00008026, 972.71, 128, 208.31, 15.83, 0.16, 20.27
8, 0.00001398, 20.23, 27.83, 11, 0.00002852, 7.60,  1, 0.00001784, 486.35, 64, 2.04, 1.28, 0.27, 17.48
9, 0.00000685, 31.44, 39.04, 21, 0.00000685, 7.60,  1, 0.00000654, 486.35, 64, 1.00, 0.95, 0.19, 12.46
10, 0.00001234, 8.67, 16.27, 2, 0.01286590, 7.60,  1, 0.00004708, 486.35, 64, 1042.75, 3.82, 0.47, 29.89
11, 0.00002012, 117.03, 124.63, 69, 0.00019874, 7.60,  1, 0.00003194, 486.35, 64, 9.88, 1.59, 0.06, 3.90
12, 0.00010783, 22.08, 29.68, 12, 0.00010783, 7.60,  1, 0.00002390, 486.35, 64, 1.00, 0.22, 0.26, 16.39
13, 0.00004059, 97.10, 104.70, 57, 0.00006979, 7.60,  1, 0.00003314, 486.35, 64, 1.72, 0.82, 0.07, 4.65
14, 0.00003831, 51.58, 59.18, 22, 0.00003995, 7.60,  1, 0.00003244, 486.35, 64, 1.04, 0.85, 0.13, 8.22
15, 0.00001869, 31.46, 39.06, 15, 0.00001869, 7.60,  1, 0.00001226, 486.35, 64, 1.00, 0.66, 0.19, 12.45
16, 0.00044276, 71.55, 79.15, 37, 0.00046175, 7.60,  1, 0.00002200, 486.35, 64, 1.04, 0.05, 0.10, 6.15
17, 0.00020320, 63.95, 71.55, 40, 0.00024038, 7.60,  1, 0.00004092, 486.35, 64, 1.18, 0.20, 0.11, 6.80
18, 0.00007739, 23.58, 31.18, 14, 0.00007739, 7.60,  1, 0.00002815, 486.35, 64, 1.00, 0.36, 0.24, 15.60
19, 0.00003179, 34.15, 41.75, 15, 0.00003179, 7.60,  1, 0.00002194, 486.35, 64, 1.00, 0.69, 0.18, 11.65
20, 0.00005687, 22.59, 30.19, 11, 0.00005687, 7.60,  1, 0.00002523, 486.35, 64, 1.00, 0.44, 0.25, 16.11
21, 0.00007172, 43.40, 51.00, 30, 0.00007300, 7.60,  1, 0.00004689, 486.35, 64, 1.02, 0.65, 0.15, 9.54
22, 0.00005399, 40.49, 48.09, 35, 0.00006114, 7.60,  1, 0.00002945, 486.35, 64, 1.13, 0.55, 0.16, 10.11
23, 0.00082200, 32.91, 40.51, 14, 0.00082200, 7.60,  1, 0.00001036, 486.35, 64, 1.00, 0.01, 0.19, 12.01
24, 0.00000568, 19.11, 26.71, 12, 0.00000568, 7.60,  1, 0.00000549, 486.35, 64, 1.00, 0.97, 0.28, 18.21
25, 0.00018509, 82.53, 90.13, 52, 0.00039768, 7.60,  1, 0.00003814, 486.35, 64, 2.15, 0.21, 0.08, 5.40
26, 0.00001490, 72.30, 79.90, 52, 0.00002694, 7.60,  1, 0.00002180, 486.35, 64, 1.81, 1.46, 0.10, 6.09
27, 0.00002579, 25.37, 32.97, 11, 0.00002579, 7.60,  1, 0.00001356, 486.35, 64, 1.00, 0.53, 0.23, 14.75
28, 0.00004410, 105.41, 113.01, 51, 0.00009496, 7.60,  1, 0.00002811, 486.35, 64, 2.15, 0.64, 0.07, 4.30
29, 0.00021674, 71.27, 78.87, 39, 0.00026625, 7.60,  1, 0.00003921, 486.35, 64, 1.23, 0.18, 0.10, 6.17
30, 0.00004118, 70.79, 78.39, 46, 0.00010392, 7.60,  1, 0.00002744, 972.71, 128, 2.52, 0.67, 0.10, 12.41
31, 0.00033898, 69.41, 77.01, 40, 0.00046697, 7.60,  1, 0.00002844, 486.35, 64, 1.38, 0.08, 0.10, 6.32
32, 0.00006750, 105.38, 112.98, 78, 0.00010172, 7.60,  1, 0.00004209, 486.35, 64, 1.51, 0.62, 0.07, 4.30
33, 0.00004262, 24.72, 32.32, 11, 0.00004262, 7.60,  1, 0.00002157, 486.35, 64, 1.00, 0.51, 0.24, 15.05
34, 0.00015692, 128.26, 135.86, 68, 0.00025963, 7.60,  1, 0.00003493, 486.35, 64, 1.65, 0.22, 0.06, 3.58
35, 0.00030961, 39.12, 46.72, 17, 0.00030961, 7.60,  1, 0.00003104, 486.35, 64, 1.00, 0.10, 0.16, 10.41
36, 0.00008231, 79.16, 86.76, 42, 0.00026279, 7.60,  1, 0.00003331, 972.71, 128, 3.19, 0.40, 0.09, 11.21
37, 0.00007262, 65.53, 73.12, 32, 0.00014676, 7.60,  1, 0.00002871, 486.35, 64, 2.02, 0.40, 0.10, 6.65
38, 0.00001657, 26.67, 34.27, 15, 0.00001657, 7.60,  1, 0.00001605, 486.35, 64, 1.00, 0.97, 0.22, 14.19
39, 0.00052271, 59.38, 66.98, 37, 0.00058306, 7.60,  1, 0.00002488, 972.71, 128, 1.12, 0.05, 0.11, 14.52
40, 0.00014413, 63.54, 71.14, 36, 0.00023937, 7.60,  1, 0.00004652, 486.35, 64, 1.66, 0.32, 0.11, 6.84
41, 0.00015070, 71.37, 78.97, 41, 0.00026395, 7.60,  1, 0.00003527, 486.35, 64, 1.75, 0.23, 0.10, 6.16
42, 0.00010510, 45.47, 53.07, 27, 0.00011391, 7.60,  1, 0.00001726, 486.35, 64, 1.08, 0.16, 0.14, 9.16
43, 0.00000653, 81.98, 89.58, 61, 0.00002881, 7.60,  1, 0.00000646, 486.35, 64, 4.41, 0.99, 0.08, 5.43
44, 0.00003093, 41.26, 48.86, 22, 0.00005272, 7.60,  1, 0.00001846, 486.35, 64, 1.70, 0.60, 0.16, 9.95
45, 0.00010809, 24.80, 32.40, 11, 0.00010809, 7.60,  1, 0.00003894, 486.35, 64, 1.00, 0.36, 0.23, 15.01
46, 0.00013097, 33.06, 40.66, 27, 0.00018418, 7.60,  1, 0.00003277, 486.35, 64, 1.41, 0.25, 0.19, 11.96
47, 0.00002795, 96.00, 103.59, 56, 0.00003272, 7.60,  1, 0.00003031, 486.35, 64, 1.17, 1.08, 0.07, 4.69
48, 0.00002621, 83.36, 90.96, 53, 0.00005547, 7.60,  1, 0.00004142, 486.35, 64, 2.12, 1.58, 0.08, 5.35
49, 0.00001993, 29.51, 37.11, 15, 0.00001993, 7.60,  1, 0.00001018, 486.35, 64, 1.00, 0.51, 0.20, 13.11
50, 0.00003728, 52.71, 60.31, 36, 0.00003756, 7.60,  1, 0.00000481, 486.35, 64, 1.01, 0.13, 0.13, 8.06
51, 0.00010295, 61.54, 69.13, 42, 0.00017893, 7.60,  1, 0.00004346, 486.35, 64, 1.74, 0.42, 0.11, 7.03
52, 0.00004258, 125.93, 133.53, 51, 0.00009304, 7.60,  1, 0.00003446, 486.35, 64, 2.19, 0.81, 0.06, 3.64
53, 0.00001840, 62.27, 69.87, 35, 0.00002060, 7.60,  1, 0.00002060, 486.35, 64, 1.12, 1.12, 0.11, 6.96
54, 0.00016714, 31.27, 38.86, 15, 0.00016714, 7.60,  1, 0.00001757, 972.71, 128, 1.00, 0.11, 0.20, 25.03
55, 0.00071939, 29.65, 37.25, 22, 0.00087371, 7.60,  1, 0.00001388, 486.35, 64, 1.21, 0.02, 0.20, 13.06
56, 0.00018519, 22.99, 30.59, 11, 0.00018519, 7.60,  1, 0.00004262, 486.35, 64, 1.00, 0.23, 0.25, 15.90
57, 0.00006270, 52.04, 59.64, 21, 0.00010014, 7.60,  1, 0.00003301, 486.35, 64, 1.60, 0.53, 0.13, 8.16
58, 0.00015130, 25.16, 32.76, 15, 0.00015130, 7.60,  1, 0.00003332, 972.71, 128, 1.00, 0.22, 0.23, 29.70
59, 0.00008845, 30.31, 37.91, 12, 0.00008845, 7.60,  1, 0.00000984, 486.35, 64, 1.00, 0.11, 0.20, 12.83
60, 0.00018568, 28.64, 36.24, 13, 0.00018568, 7.60,  1, 0.00001133, 3890.82, 512, 1.00, 0.06, 0.21, 107.35
61, 0.00016279, 62.25, 69.85, 39, 0.00018059, 7.60,  1, 0.00003456, 486.35, 64, 1.11, 0.21, 0.11, 6.96
62, 0.00007751, 35.03, 42.63, 22, 0.00007989, 7.60,  1, 0.00004446, 486.35, 64, 1.03, 0.57, 0.18, 11.41
63, 0.00004887, 73.89, 81.48, 50, 0.00015610, 7.60,  1, 0.00003232, 972.71, 128, 3.19, 0.66, 0.09, 11.94
64, 0.00010370, 97.41, 105.00, 61, 0.00016076, 7.60,  1, 0.00002885, 486.35, 64, 1.55, 0.28, 0.07, 4.63
65, 0.00004121, 39.72, 47.32, 24, 0.00004753, 7.60,  1, 0.00002443, 486.35, 64, 1.15, 0.59, 0.16, 10.28
66, 0.00003492, 51.33, 58.93, 52, 0.00004881, 7.60,  1, 0.00001606, 486.35, 64, 1.40, 0.46, 0.13, 8.25
67, 0.00005709, 44.95, 52.55, 26, 0.00007466, 7.60,  1, 0.00001043, 486.35, 64, 1.31, 0.18, 0.14, 9.26
68, 0.00017792, 84.77, 92.37, 37, 0.00076676, 7.60,  1, 0.00002351, 972.71, 128, 4.31, 0.13, 0.08, 10.53
69, 0.00004219, 101.11, 108.71, 71, 0.00005504, 7.60,  1, 0.00004539, 486.35, 64, 1.30, 1.08, 0.07, 4.47
70, 0.00020865, 20.35, 27.95, 11, 0.00020865, 7.60,  1, 0.00003513, 972.71, 128, 1.00, 0.17, 0.27, 34.80
71, 0.00013543, 27.35, 34.95, 15, 0.00013543, 7.60,  1, 0.00002412, 486.35, 64, 1.00, 0.18, 0.22, 13.92
72, 0.00009405, 41.42, 49.02, 24, 0.00013167, 7.60,  1, 0.00001140, 6322.58, 832, 1.40, 0.12, 0.16, 128.98
73, 0.00005208, 56.45, 64.05, 34, 0.00006330, 7.60,  1, 0.00002533, 486.35, 64, 1.22, 0.49, 0.12, 7.59
74, 0.00011713, 41.62, 49.22, 25, 0.00016412, 7.60,  1, 0.00004594, 486.35, 64, 1.40, 0.39, 0.15, 9.88
75, 0.00011264, 48.37, 55.97, 30, 0.00012763, 7.60,  1, 0.00003333, 486.35, 64, 1.13, 0.30, 0.14, 8.69
76, 0.00005512, 39.94, 47.54, 26, 0.00010456, 7.60,  1, 0.00002250, 972.71, 128, 1.90, 0.41, 0.16, 20.46
77, 0.00000889, 66.33, 73.93, 46, 0.00001855, 7.60,  1, 0.00000758, 486.35, 64, 2.09, 0.85, 0.10, 6.58
78, 0.00018525, 26.96, 34.56, 16, 0.00018525, 7.60,  1, 0.00003415, 486.35, 64, 1.00, 0.18, 0.22, 14.07
79, 0.00004431, 36.98, 44.58, 23, 0.00004454, 7.60,  1, 0.00001604, 486.35, 64, 1.01, 0.36, 0.17, 10.91
80, 0.00017827, 64.86, 72.46, 43, 0.00019139, 7.60,  1, 0.00003209, 486.35, 64, 1.07, 0.18, 0.10, 6.71
81, 0.00002443, 55.80, 63.40, 35, 0.00003138, 7.60,  1, 0.00001211, 486.35, 64, 1.28, 0.50, 0.12, 7.67
82, 0.00009941, 66.94, 74.54, 44, 0.00029504, 7.60,  1, 0.00003631, 486.35, 64, 2.97, 0.37, 0.10, 6.52
83, 0.00013415, 57.49, 65.09, 35, 0.00031523, 7.60,  1, 0.00003387, 486.35, 64, 2.35, 0.25, 0.12, 7.47
84, 0.00012575, 21.26, 28.86, 11, 0.00012575, 7.60,  1, 0.00001982, 486.35, 64, 1.00, 0.16, 0.26, 16.85
85, 0.00018888, 45.91, 53.51, 30, 0.00023417, 7.60,  1, 0.00001989, 2918.12, 384, 1.24, 0.11, 0.14, 54.54
86, 0.00011070, 32.19, 39.79, 11, 0.00011070, 7.60,  1, 0.00002880, 486.35, 64, 1.00, 0.26, 0.19, 12.22
87, 0.00059347, 58.63, 66.23, 45, 0.00088622, 7.60,  1, 0.00002520, 972.71, 128, 1.49, 0.04, 0.11, 14.69
88, 0.00020945, 76.24, 83.84, 37, 0.00022666, 7.60,  1, 0.00003663, 486.35, 64, 1.08, 0.17, 0.09, 5.80
89, 0.00012353, 47.90, 55.50, 29, 0.00024380, 7.60,  1, 0.00002889, 972.71, 128, 1.97, 0.23, 0.14, 17.52
90, 0.00005337, 46.00, 53.60, 27, 0.00011957, 7.60,  1, 0.00003101, 486.35, 64, 2.24, 0.58, 0.14, 9.07
91, 0.00003385, 84.94, 92.53, 49, 0.00007841, 7.60,  1, 0.00003327, 486.35, 64, 2.32, 0.98, 0.08, 5.26
92, 0.00012405, 116.43, 124.03, 54, 0.00014169, 7.60,  1, 0.00002532, 486.35, 64, 1.14, 0.20, 0.06, 3.92
93, 0.00017566, 70.71, 78.31, 44, 0.00027547, 7.60,  1, 0.00002128, 486.35, 64, 1.57, 0.12, 0.10, 6.21
94, 0.00014167, 55.81, 63.41, 32, 0.00041582, 7.60,  1, 0.00002842, 486.35, 64, 2.94, 0.20, 0.12, 7.67
95, 0.00036369, 90.37, 97.97, 50, 0.00050045, 7.60,  1, 0.00002956, 972.71, 128, 1.38, 0.08, 0.08, 9.93
96, 0.00002057, 27.48, 35.08, 23, 0.00002057, 7.60,  1, 0.00001651, 486.35, 64, 1.00, 0.80, 0.22, 13.87
97, 0.00038718, 82.44, 90.04, 34, 0.00102644, 7.60,  1, 0.00001676, 486.35, 64, 2.65, 0.04, 0.08, 5.40
98, 0.00019155, 45.36, 52.95, 27, 0.00021214, 7.60,  1, 0.00003401, 486.35, 64, 1.11, 0.18, 0.14, 9.18
99, 0.00041925, 45.47, 53.07, 26, 0.00048746, 7.60,  1, 0.00004098, 486.35, 64, 1.16, 0.10, 0.14, 9.16
