Sun Dec 17 01:14:50 EST 2023
workergpu050
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00003928, 43.80, 50.88, 23, 0.00004005, 7.07,  1, 0.00000743, 1357.90, 192, 1.02, 0.19, 0.14, 26.69
1, 0.00000984, 33.57, 40.65, 27, 0.00001096, 7.07,  1, 0.00000535, 1357.90, 192, 1.11, 0.54, 0.17, 33.41
2, 0.00000592, 17.26, 24.33, 8, 0.00000613, 7.07,  1, 0.00000330, 2715.79, 384, 1.04, 0.56, 0.29, 111.61
3, 0.00005052, 18.82, 25.89, 11, 0.00005052, 7.07,  1, 0.00001056, 4073.69, 576, 1.00, 0.21, 0.27, 157.33
4, 0.00001563, 55.82, 62.90, 38, 0.00001808, 7.07,  1, 0.00000433, 2715.79, 384, 1.16, 0.28, 0.11, 43.18
5, 0.00001462, 36.13, 43.20, 11, 0.00001462, 7.07,  1, 0.00000313, 2263.16, 320, 1.00, 0.21, 0.16, 52.39
6, 0.00002517, 86.10, 93.18, 74, 0.00005983, 7.07,  1, 0.00001159, 2263.16, 320, 2.38, 0.46, 0.08, 24.29
7, 0.00002440, 16.02, 23.09, 11, 0.00002440, 7.07,  1, 0.00000499, 905.26, 128, 1.00, 0.20, 0.31, 39.20
8, 0.00000551, 22.31, 29.38, 19, 0.00000551, 7.07,  1, 0.00000539, 1357.90, 192, 1.00, 0.98, 0.24, 46.21
9, 0.00001447, 156.07, 163.15, 114, 0.00002004, 7.07,  1, 0.00000542, 2263.16, 320, 1.39, 0.37, 0.04, 13.87
10, 0.00000714, 68.48, 75.55, 51, 0.00005590, 7.07,  1, 0.00000613, 3621.05, 512, 7.82, 0.86, 0.09, 47.93
11, 0.00000706, 69.04, 76.12, 29, 0.00002041, 7.07,  1, 0.00000548, 2263.16, 320, 2.89, 0.78, 0.09, 29.73
12, 0.00013474, 28.10, 35.18, 22, 0.00092008, 7.07,  1, 0.00001278, 2715.79, 384, 6.83, 0.09, 0.20, 77.21
13, 0.00002494, 79.13, 86.21, 37, 0.00006698, 7.07,  1, 0.00001702, 3168.42, 448, 2.69, 0.68, 0.08, 36.75
14, 0.00001508, 39.43, 46.51, 29, 0.00005095, 7.07,  1, 0.00000352, 905.26, 128, 3.38, 0.23, 0.15, 19.46
15, 0.00001188, 31.38, 38.46, 13, 0.00004258, 7.07,  1, 0.00000535, 1357.90, 192, 3.58, 0.45, 0.18, 35.31
16, 0.00001467, 81.70, 88.78, 46, 0.00003998, 7.07,  1, 0.00000628, 1357.90, 192, 2.72, 0.43, 0.08, 15.30
17, 0.00001207, 45.40, 52.47, 25, 0.00001367, 7.07,  1, 0.00000368, 1357.90, 192, 1.13, 0.30, 0.13, 25.88
18, 0.00001021, 62.56, 69.63, 37, 0.00001029, 7.07,  1, 0.00000634, 1357.90, 192, 1.01, 0.62, 0.10, 19.50
19, 0.00001621, 147.02, 154.09, 70, 0.00010360, 7.07,  1, 0.00000489, 905.26, 128, 6.39, 0.30, 0.05, 5.87
20, 0.00001650, 62.73, 69.80, 40, 0.00001915, 7.07,  1, 0.00000481, 905.26, 128, 1.16, 0.29, 0.10, 12.97
21, 0.00000635, 37.04, 44.12, 23, 0.00001744, 7.07,  1, 0.00000475, 1357.90, 192, 2.75, 0.75, 0.16, 30.78
22, 0.00013436, 63.24, 70.32, 60, 0.00075648, 7.07,  1, 0.00001275, 4978.95, 704, 5.63, 0.09, 0.10, 70.81
23, 0.00002601, 47.70, 54.78, 25, 0.00002820, 7.07,  1, 0.00000960, 2263.16, 320, 1.08, 0.37, 0.13, 41.32
24, 0.00003154, 53.91, 60.98, 37, 0.00007199, 7.07,  1, 0.00000676, 4073.69, 576, 2.28, 0.21, 0.12, 66.80
25, 0.00001489, 54.17, 61.24, 21, 0.00001489, 7.07,  1, 0.00000616, 1357.90, 192, 1.00, 0.41, 0.12, 22.17
26, 0.00000988, 48.41, 55.48, 19, 0.00001051, 7.07,  1, 0.00000371, 905.26, 128, 1.06, 0.38, 0.13, 16.32
27, 0.00001057, 33.55, 40.62, 27, 0.00001332, 7.07,  1, 0.00000581, 1357.90, 192, 1.26, 0.55, 0.17, 33.43
28, 0.00001334, 69.59, 76.66, 37, 0.00001834, 7.07,  1, 0.00000374, 1810.53, 256, 1.37, 0.28, 0.09, 23.62
29, 0.00001013, 36.55, 43.62, 39, 0.00001476, 7.07,  1, 0.00000450, 3621.05, 512, 1.46, 0.44, 0.16, 83.01
30, 0.00001665, 102.78, 109.85, 38, 0.00004264, 7.07,  1, 0.00000578, 1357.90, 192, 2.56, 0.35, 0.06, 12.36
31, 0.00008140, 46.65, 53.73, 26, 0.00008147, 7.07,  1, 0.00000727, 1810.53, 256, 1.00, 0.09, 0.13, 33.70
32, 0.00015495, 24.06, 31.14, 13, 0.00015495, 7.07,  1, 0.00000912, 4978.95, 704, 1.00, 0.06, 0.23, 159.90
Top 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
