Sun Dec 17 05:49:08 EST 2023
workergpu041
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00001526, 47.39, 54.69, 34, 0.00001569, 7.30,  1, 0.00001521, 467.39, 64, 1.03, 1.00, 0.13, 8.55
1, 0.00008694, 48.57, 55.87, 27, 0.00011508, 7.30,  1, 0.00004137, 934.77, 128, 1.32, 0.48, 0.13, 16.73
2, 0.00002612, 21.62, 28.93, 17, 0.00002612, 7.30,  1, 0.00000915, 467.39, 64, 1.00, 0.35, 0.25, 16.16
3, 0.00101423, 42.55, 49.85, 23, 0.00106415, 7.30,  1, 0.00001452, 934.77, 128, 1.05, 0.01, 0.15, 18.75
4, 0.00000564, 35.09, 42.39, 23, 0.00023356, 7.30,  1, 0.00008164, 1869.54, 256, 41.44, 14.49, 0.17, 44.10
5, 0.00001614, 176.21, 183.51, 67, 0.00061358, 7.30,  1, 0.00002967, 934.77, 128, 38.02, 1.84, 0.04, 5.09
6, 0.00000579, 45.18, 52.48, 34, 0.00000648, 7.30,  1, 0.00000559, 467.39, 64, 1.12, 0.97, 0.14, 8.91
7, 0.00000499, 52.93, 60.23, 33, 0.00007663, 7.30,  1, 0.00002547, 1869.54, 256, 15.35, 5.10, 0.12, 31.04
8, 0.00000573, 33.99, 41.29, 26, 0.00022933, 7.30,  1, 0.00002408, 934.77, 128, 39.99, 4.20, 0.18, 22.64
9, 0.00000706, 36.12, 43.42, 30, 0.00056475, 7.30,  1, 0.00002116, 934.77, 128, 80.00, 3.00, 0.17, 21.53
10, 0.00021941, 61.75, 69.05, 24, 0.00025879, 7.30,  1, 0.00001613, 1402.16, 192, 1.18, 0.07, 0.11, 20.31
11, 0.00000981, 14.69, 21.99, 6, 0.00047028, 7.30,  1, 0.00005324, 2336.93, 320, 47.94, 5.43, 0.33, 106.26
12, 0.00002226, 74.96, 82.27, 32, 0.00050218, 7.30,  1, 0.00005496, 1402.16, 192, 22.56, 2.47, 0.09, 17.04
13, 0.00002080, 30.96, 38.26, 21, 0.00004722, 7.30,  1, 0.00002601, 11217.27, 1536, 2.27, 1.25, 0.19, 293.16
14, 0.00003295, 38.59, 45.89, 24, 0.00016967, 7.30,  1, 0.00010368, 2336.93, 320, 5.15, 3.15, 0.16, 50.93
15, 0.00000555, 14.08, 21.39, 7, 0.00004953, 7.30,  1, 0.00002344, 934.77, 128, 8.93, 4.22, 0.34, 43.71
16, 0.00000807, 67.48, 74.78, 53, 0.00002155, 7.30,  1, 0.00001872, 934.77, 128, 2.67, 2.32, 0.10, 12.50
17, 0.00001915, 22.31, 29.61, 13, 0.00001915, 7.30,  1, 0.00000506, 467.39, 64, 1.00, 0.26, 0.25, 15.78
18, 0.00105617, 34.44, 41.75, 21, 0.00106341, 7.30,  1, 0.00010673, 4673.86, 640, 1.01, 0.10, 0.17, 111.96
19, 0.00050293, 53.06, 60.37, 25, 0.00063239, 7.30,  1, 0.00004455, 19630.22, 2688, 1.26, 0.09, 0.12, 325.19
20, 0.00009984, 36.87, 44.17, 12, 0.00009984, 7.30,  1, 0.00003790, 934.77, 128, 1.00, 0.38, 0.17, 21.16
21, 0.00558147, 30.13, 37.43, 11, 0.00558147, 7.30,  1, 0.00002413, 1402.16, 192, 1.00, 0.00, 0.20, 37.46
22, 0.00010006, 27.17, 34.47, 12, 0.00052245, 7.30,  1, 0.00004416, 2804.32, 384, 5.22, 0.44, 0.21, 81.35
23, 0.00001134, 45.08, 52.38, 34, 0.00006598, 7.30,  1, 0.00001828, 7945.56, 1088, 5.82, 1.61, 0.14, 151.69
24, 0.00000524, 40.39, 47.69, 21, 0.00000592, 7.30,  1, 0.00000512, 438.17, 60, 1.13, 0.98, 0.15, 9.19
25, 0.00000371, 51.39, 58.69, 33, 0.00008839, 7.30,  1, 0.00002471, 1869.54, 256, 23.86, 6.67, 0.12, 31.85
26, 0.00000861, 76.27, 83.57, 42, 0.00023737, 7.30,  1, 0.00004228, 1402.16, 192, 27.56, 4.91, 0.09, 16.78
27, 0.00264906, 34.22, 41.52, 13, 0.00264906, 7.30,  1, 0.00006676, 1402.16, 192, 1.00, 0.03, 0.18, 33.77
Top 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00001256, 25.11, 98.14, 15, 0.00001569, 73.03, 10, 0.00001521, 467.39, 64, 1.25, 1.21, 0.74, 4.76
1, 0.00008591, 68.51, 141.54, 39, 0.00011508, 73.03, 10, 0.00004137, 934.77, 128, 1.34, 0.48, 0.52, 6.60
2, 0.00000922, 20.80, 93.83, 15, 0.00000922, 73.03, 10, 0.00000915, 467.39, 64, 1.00, 0.99, 0.78, 4.98
3, 0.00000832, 69.79, 142.82, 28, 0.00002203, 73.03, 10, 0.00001452, 934.77, 128, 2.65, 1.75, 0.51, 6.55
4, 0.00009344, 57.90, 130.92, 37, 0.00010079, 73.03, 10, 0.00008164, 1869.54, 256, 1.08, 0.87, 0.56, 14.28
5, 0.00007446, 37.89, 110.92, 27, 0.00008569, 73.03, 10, 0.00002967, 934.77, 128, 1.15, 0.40, 0.66, 8.43
6, 0.00000568, 20.38, 93.41, 13, 0.00000568, 73.03, 10, 0.00000559, 467.39, 64, 1.00, 0.98, 0.78, 5.00
7, 0.00000499, 45.62, 118.65, 28, 0.00003658, 73.03, 10, 0.00002547, 1869.54, 256, 7.33, 5.10, 0.62, 15.76
8, 0.00000562, 42.14, 115.17, 27, 0.00004665, 73.03, 10, 0.00002408, 934.77, 128, 8.30, 4.28, 0.63, 8.12
9, 0.00000741, 10.29, 83.32, 4, 0.00005770, 73.03, 10, 0.00002116, 934.77, 128, 7.78, 2.85, 0.88, 11.22
10, 0.00000632, 52.68, 125.71, 34, 0.00002479, 73.03, 10, 0.00001613, 1402.16, 192, 3.92, 2.55, 0.58, 11.15
11, 0.00015303, 66.58, 139.61, 51, 0.00018717, 73.03, 10, 0.00005324, 2336.93, 320, 1.22, 0.35, 0.52, 16.74
12, 0.00008766, 40.06, 113.09, 27, 0.00010949, 73.03, 10, 0.00005496, 1402.16, 192, 1.25, 0.63, 0.65, 12.40
13, 0.00003805, 37.96, 110.99, 27, 0.00004722, 73.03, 10, 0.00002601, 11217.27, 1536, 1.24, 0.68, 0.66, 101.07
14, 0.00015640, 33.73, 106.76, 21, 0.00016967, 73.03, 10, 0.00010368, 2336.93, 320, 1.08, 0.66, 0.68, 21.89
15, 0.00003365, 77.34, 150.37, 25, 0.00004448, 73.03, 10, 0.00002344, 934.77, 128, 1.32, 0.70, 0.49, 6.22
16, 0.00002155, 25.62, 98.65, 14, 0.00002155, 73.03, 10, 0.00001872, 934.77, 128, 1.00, 0.87, 0.74, 9.48
17, 0.00000515, 72.79, 145.82, 52, 0.00001681, 73.03, 10, 0.00000506, 467.39, 64, 3.26, 0.98, 0.50, 3.21
18, 0.00024765, 28.49, 101.51, 13, 0.00024765, 73.03, 10, 0.00010673, 4673.86, 640, 1.00, 0.43, 0.72, 46.04
19, 0.00013591, 48.18, 121.21, 29, 0.00015958, 73.03, 10, 0.00004455, 19630.22, 2688, 1.17, 0.33, 0.60, 161.95
20, 0.00005444, 23.06, 96.09, 11, 0.00005444, 73.03, 10, 0.00003790, 934.77, 128, 1.00, 0.70, 0.76, 9.73
21, 0.00009265, 36.64, 109.67, 26, 0.00009449, 73.03, 10, 0.00002413, 1402.16, 192, 1.02, 0.26, 0.67, 12.79
22, 0.00008319, 66.96, 139.99, 32, 0.00013941, 73.03, 10, 0.00004416, 2804.32, 384, 1.68, 0.53, 0.52, 20.03
23, 0.00003787, 50.53, 123.56, 30, 0.00003847, 73.03, 10, 0.00001828, 7945.56, 1088, 1.02, 0.48, 0.59, 64.31
24, 0.00000532, 7.81, 80.84, 2, 0.00000532, 73.03, 10, 0.00000512, 438.17, 60, 1.00, 0.96, 0.90, 5.42
25, 0.00007972, 28.08, 101.10, 13, 0.00007972, 73.03, 10, 0.00002471, 1869.54, 256, 1.00, 0.31, 0.72, 18.49
26, 0.00000371, 48.67, 121.70, 25, 0.00009416, 73.03, 10, 0.00004228, 1402.16, 192, 25.39, 11.40, 0.60, 11.52
27, 0.00012310, 41.63, 114.66, 21, 0.00012581, 73.03, 10, 0.00006676, 1402.16, 192, 1.02, 0.54, 0.64, 12.23
Top 25
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-25 (s), tuning time Ansor-25, task Ansor-25, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-25, speedup 10k, speed tuning time top-25, speed tuning time 10k
0, 0.00001266, 27.28, 209.86, 18, 0.00001569, 182.57, 25, 0.00001521, 467.39, 64, 1.24, 1.20, 0.87, 2.23
1, 0.00007673, 26.11, 208.68, 12, 0.00007704, 182.57, 25, 0.00004137, 934.77, 128, 1.00, 0.54, 0.87, 4.48
2, 0.00000922, 21.20, 203.77, 15, 0.00000922, 182.57, 25, 0.00000915, 467.39, 64, 1.00, 0.99, 0.90, 2.29
3, 0.00002144, 124.96, 307.53, 78, 0.00002203, 182.57, 25, 0.00001452, 934.77, 128, 1.03, 0.68, 0.59, 3.04
4, 0.00009926, 31.02, 213.59, 17, 0.00010079, 182.57, 25, 0.00008164, 1869.54, 256, 1.02, 0.82, 0.85, 8.75
5, 0.00004137, 20.20, 202.78, 11, 0.00004137, 182.57, 25, 0.00002967, 934.77, 128, 1.00, 0.72, 0.90, 4.61
6, 0.00000568, 21.24, 203.81, 13, 0.00000568, 182.57, 25, 0.00000559, 467.39, 64, 1.00, 0.98, 0.90, 2.29
7, 0.00002685, 50.04, 232.62, 24, 0.00003658, 182.57, 25, 0.00002547, 1869.54, 256, 1.36, 0.95, 0.78, 8.04
8, 0.00003804, 39.65, 222.22, 33, 0.00003857, 182.57, 25, 0.00002408, 934.77, 128, 1.01, 0.63, 0.82, 4.21
9, 0.00004156, 8.19, 190.76, 2, 0.00004156, 182.57, 25, 0.00002116, 934.77, 128, 1.00, 0.51, 0.96, 4.90
10, 0.00002213, 39.32, 221.90, 25, 0.00002479, 182.57, 25, 0.00001613, 1402.16, 192, 1.12, 0.73, 0.82, 6.32
11, 0.00015500, 44.50, 227.07, 25, 0.00018052, 182.57, 25, 0.00005324, 2336.93, 320, 1.16, 0.34, 0.80, 10.29
12, 0.00006310, 71.85, 254.42, 41, 0.00007151, 182.57, 25, 0.00005496, 1402.16, 192, 1.13, 0.87, 0.72, 5.51
13, 0.00003907, 38.53, 221.10, 27, 0.00004722, 182.57, 25, 0.00002601, 11217.27, 1536, 1.21, 0.67, 0.83, 50.73
14, 0.00015686, 42.04, 224.61, 27, 0.00016967, 182.57, 25, 0.00010368, 2336.93, 320, 1.08, 0.66, 0.81, 10.40
15, 0.00003323, 80.49, 263.06, 26, 0.00004448, 182.57, 25, 0.00002344, 934.77, 128, 1.34, 0.71, 0.69, 3.55
16, 0.00002155, 25.82, 208.39, 14, 0.00002155, 182.57, 25, 0.00001872, 934.77, 128, 1.00, 0.87, 0.88, 4.49
17, 0.00000480, 55.77, 238.35, 36, 0.00000506, 182.57, 25, 0.00000506, 467.39, 64, 1.05, 1.05, 0.77, 1.96
18, 0.00024765, 28.54, 211.12, 13, 0.00024765, 182.57, 25, 0.00010673, 4673.86, 640, 1.00, 0.43, 0.86, 22.14
19, 0.00015958, 18.88, 201.45, 11, 0.00015958, 182.57, 25, 0.00004455, 19630.22, 2688, 1.00, 0.28, 0.91, 97.45
20, 0.00004518, 22.68, 205.26, 12, 0.00004518, 182.57, 25, 0.00003790, 934.77, 128, 1.00, 0.84, 0.89, 4.55
21, 0.00002452, 57.06, 239.63, 30, 0.00002588, 182.57, 25, 0.00002413, 1402.16, 192, 1.06, 0.98, 0.76, 5.85
22, 0.00008228, 45.16, 227.74, 21, 0.00013941, 182.57, 25, 0.00004416, 2804.32, 384, 1.69, 0.54, 0.80, 12.31
23, 0.00002635, 27.61, 210.18, 15, 0.00002635, 182.57, 25, 0.00001828, 7945.56, 1088, 1.00, 0.69, 0.87, 37.80
24, 0.00000516, 18.37, 200.95, 11, 0.00000516, 182.57, 25, 0.00000512, 438.17, 60, 1.00, 0.99, 0.91, 2.18
25, 0.00003156, 20.84, 203.41, 11, 0.00003156, 182.57, 25, 0.00002471, 1869.54, 256, 1.00, 0.78, 0.90, 9.19
26, 0.00007760, 108.22, 290.80, 56, 0.00009416, 182.57, 25, 0.00004228, 1402.16, 192, 1.21, 0.54, 0.63, 4.82
27, 0.00012192, 41.31, 223.88, 21, 0.00012581, 182.57, 25, 0.00006676, 1402.16, 192, 1.03, 0.55, 0.82, 6.26
Top 50
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-50 (s), tuning time Ansor-50, task Ansor-50, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-50, speedup 10k, speed tuning time top-50, speed tuning time 10k
0, 0.00000726, 29.04, 394.19, 17, 0.00001521, 365.15, 50, 0.00001521, 467.39, 64, 2.10, 2.10, 0.93, 1.19
1, 0.00007369, 37.91, 403.05, 16, 0.00007704, 365.15, 50, 0.00004137, 934.77, 128, 1.05, 0.56, 0.91, 2.32
2, 0.00000997, 32.65, 397.79, 16, 0.00000922, 365.15, 50, 0.00000915, 467.39, 64, 0.92, 0.92, 0.92, 1.17
3, 0.00002013, 36.86, 402.01, 16, 0.00002013, 365.15, 50, 0.00001452, 934.77, 128, 1.00, 0.72, 0.91, 2.33
4, 0.00000530, 75.81, 440.96, 41, 0.00010079, 365.15, 50, 0.00008164, 1869.54, 256, 19.03, 15.41, 0.83, 4.24
5, 0.00004137, 46.35, 411.50, 26, 0.00004137, 365.15, 50, 0.00002967, 934.77, 128, 1.00, 0.72, 0.89, 2.27
6, 0.00000559, 62.21, 427.35, 31, 0.00000559, 365.15, 50, 0.00000559, 467.39, 64, 1.00, 1.00, 0.85, 1.09
7, 0.00002881, 73.11, 438.26, 30, 0.00003658, 365.15, 50, 0.00002547, 1869.54, 256, 1.27, 0.88, 0.83, 4.27
8, 0.00003804, 57.95, 423.09, 40, 0.00003857, 365.15, 50, 0.00002408, 934.77, 128, 1.01, 0.63, 0.86, 2.21
9, 0.00003280, 8.02, 373.16, 2, 0.00003286, 365.15, 50, 0.00002116, 934.77, 128, 1.00, 0.65, 0.98, 2.51
10, 0.00002030, 23.85, 389.00, 15, 0.00002030, 365.15, 50, 0.00001613, 1402.16, 192, 1.00, 0.79, 0.94, 3.60
11, 0.00003562, 16.84, 381.98, 9, 0.00007980, 365.15, 50, 0.00005324, 2336.93, 320, 2.24, 1.49, 0.96, 6.12
12, 0.00004201, 24.66, 389.80, 10, 0.00006669, 365.15, 50, 0.00005496, 1402.16, 192, 1.59, 1.31, 0.94, 3.60
13, 0.00004688, 19.93, 385.08, 12, 0.00004722, 365.15, 50, 0.00002601, 11217.27, 1536, 1.01, 0.55, 0.95, 29.13
14, 0.00001207, 45.29, 410.43, 30, 0.00016967, 365.15, 50, 0.00010368, 2336.93, 320, 14.06, 8.59, 0.89, 5.69
15, 0.00003628, 25.17, 390.32, 11, 0.00003628, 365.15, 50, 0.00002344, 934.77, 128, 1.00, 0.65, 0.94, 2.39
16, 0.00004588, 12.93, 378.08, 4, 0.00002144, 365.15, 50, 0.00001872, 934.77, 128, 0.47, 0.41, 0.97, 2.47
