Sun Dec 17 16:59:36 EST 2023
workergpu041
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00043461, 279.04, 285.44, 101, 0.00948661, 6.40,  1, 0.00026582, 6553.21, 1024, 21.83, 0.61, 0.02, 22.96
1, 0.00040568, 195.16, 201.56, 69, 0.00040630, 6.40,  1, 0.00025978, 6553.21, 1024, 1.00, 0.64, 0.03, 32.51
2, 0.00005637, 71.24, 77.64, 64, 0.00083786, 6.40,  1, 0.00003353, 819.15, 128, 14.86, 0.59, 0.08, 10.55
3, 0.00000504, 39.58, 45.98, 29, 0.00001339, 6.40,  1, 0.00000503, 383.98, 60, 2.66, 1.00, 0.14, 8.35
4, 0.00053139, 74.65, 81.05, 43, 0.00219174, 6.40,  1, 0.00013388, 6962.79, 1088, 4.12, 0.25, 0.08, 85.91
5, 0.00084524, 138.89, 145.29, 46, 0.00162915, 6.40,  1, 0.00016384, 4095.76, 640, 1.93, 0.19, 0.04, 28.19
6, 0.00081716, 126.52, 132.92, 38, 0.00196458, 6.40,  1, 0.00010215, 2867.03, 448, 2.40, 0.13, 0.05, 21.57
7, 0.00000745, 34.57, 40.97, 23, 0.00001353, 6.40,  1, 0.00000736, 383.98, 60, 1.82, 0.99, 0.16, 9.37
8, 0.00023746, 84.17, 90.57, 21, 0.00023918, 6.40,  1, 0.00002438, 819.15, 128, 1.01, 0.10, 0.07, 9.04
9, 0.00092585, 140.19, 146.59, 40, 0.00834536, 6.40,  1, 0.00038721, 9420.24, 1472, 9.01, 0.42, 0.04, 64.26
10, 0.00270269, 45.37, 51.77, 22, 0.00270294, 6.40,  1, 0.00034199, 8601.09, 1344, 1.00, 0.13, 0.12, 166.14
11, 0.00003737, 40.77, 47.17, 26, 0.00003751, 6.40,  1, 0.00000519, 409.58, 64, 1.00, 0.14, 0.14, 8.68
12, 0.00000311, 26.73, 33.13, 16, 0.00000370, 6.40,  1, 0.00000289, 383.98, 60, 1.19, 0.93, 0.19, 11.59
13, 0.00060975, 45.33, 51.73, 31, 0.00075358, 6.40,  1, 0.00026313, 6553.21, 1024, 1.24, 0.43, 0.12, 126.68
14, 0.00000680, 14.79, 21.19, 6, 0.00001506, 6.40,  1, 0.00000570, 409.58, 64, 2.22, 0.84, 0.30, 19.32
15, 0.00002710, 60.10, 66.50, 30, 0.01101297, 6.40,  1, 0.00017495, 4505.33, 704, 406.33, 6.46, 0.10, 67.75
16, 0.00001577, 29.29, 35.69, 16, 0.00101539, 6.40,  1, 0.00013262, 3686.18, 576, 64.39, 8.41, 0.18, 103.29
17, 0.00000418, 8.79, 15.19, 3, 0.00000418, 6.40,  1, 0.00000387, 383.98, 60, 1.00, 0.93, 0.42, 25.28
18, 0.00001340, 49.67, 56.07, 20, 0.00001327, 6.40,  1, 0.00001197, 383.98, 60, 0.99, 0.89, 0.11, 6.85
Top 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00048657, 37.22, 101.22, 13, 0.00048657, 64.00, 10, 0.00026582, 6553.21, 1024, 1.00, 0.55, 0.63, 64.74
1, 0.00026829, 109.44, 173.44, 36, 0.00027275, 64.00, 10, 0.00025978, 6553.21, 1024, 1.02, 0.97, 0.37, 37.78
2, 0.00005588, 39.94, 103.93, 23, 0.00006293, 64.00, 10, 0.00003353, 819.15, 128, 1.13, 0.60, 0.62, 7.88
3, 0.00000516, 27.69, 91.69, 20, 0.00000504, 64.00, 10, 0.00000503, 383.98, 60, 0.98, 0.98, 0.70, 4.19
4, 0.00034703, 96.60, 160.60, 52, 0.00052129, 64.00, 10, 0.00013388, 6962.79, 1088, 1.50, 0.39, 0.40, 43.36
5, 0.00023663, 58.87, 122.86, 37, 0.00042390, 64.00, 10, 0.00016384, 4095.76, 640, 1.79, 0.69, 0.52, 33.34
6, 0.00015751, 116.86, 180.86, 73, 0.00036856, 64.00, 10, 0.00010215, 2867.03, 448, 2.34, 0.65, 0.35, 15.85
7, 0.00000881, 18.63, 82.62, 11, 0.00000881, 64.00, 10, 0.00000736, 383.98, 60, 1.00, 0.84, 0.77, 4.65
8, 0.00008081, 53.68, 117.68, 22, 0.00008513, 64.00, 10, 0.00002438, 819.15, 128, 1.05, 0.30, 0.54, 6.96
