Thu Dec 14 21:52:20 EST 2023
fj016
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00070035, 81.39, 85.84, 18, 0.00906589, 4.45,  1, 0.00034878, 11396.53, 2560, 12.94, 0.50, 0.05, 132.77
1, 0.00276815, 298.70, 303.15, 43, 0.00968172, 4.45,  1, 0.00075400, 6553.01, 1472, 3.50, 0.27, 0.01, 21.62
2, 0.00002041, 15.10, 19.56, 3, 0.00140649, 4.45,  1, 0.00002338, 89.04, 20, 68.91, 1.15, 0.23, 4.55
3, 0.00034963, 150.24, 154.69, 49, 0.01199684, 4.45,  1, 0.00007576, 854.74, 192, 34.31, 0.22, 0.03, 5.53
4, 0.00002746, 2.03, 6.48, 2, 0.00004090, 4.45,  1, 0.00002573, 89.04, 20, 1.49, 0.94, 0.69, 13.73
5, 0.00201718, 190.52, 194.97, 30, 0.00734170, 4.45,  1, 0.00039790, 5413.35, 1216, 3.64, 0.20, 0.02, 27.76
6, 0.00004859, 174.71, 179.16, 31, 0.00023796, 4.45,  1, 0.00005116, 569.83, 128, 4.90, 1.05, 0.02, 3.18
7, 0.00100525, 112.16, 116.62, 25, 0.00999518, 4.45,  1, 0.00046674, 3988.79, 896, 9.94, 0.46, 0.04, 34.20
8, 0.00012824, 23.72, 28.17, 12, 0.02215887, 4.45,  1, 0.00051408, 8547.40, 1920, 172.79, 4.01, 0.16, 303.45
9, 0.00000316, 3.36, 7.81, 2, 0.00000316, 4.45,  1, 0.00000312, 284.91, 64, 1.00, 0.98, 0.57, 36.48
10, 0.00013255, 2.10, 6.55, 2, 0.00013424, 4.45,  1, 0.00002752, 89.04, 20, 1.01, 0.21, 0.68, 13.60
11, 0.05374317, 36.08, 40.53, 15, 0.12852267, 4.45,  1, 0.00050489, 4558.61, 1024, 2.39, 0.01, 0.11, 112.47
12, 0.00086315, 31.90, 36.35, 13, 0.00086315, 4.45,  1, 0.00025992, 2279.31, 512, 1.00, 0.30, 0.12, 62.70
Top 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00095258, 99.08, 143.60, 15, 0.00182980, 44.52, 10, 0.00034878, 11396.53, 2560, 1.92, 0.37, 0.31, 79.36
