Thu Jan  4 20:31:36 EST 2024
fj148
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00043653, 191.46, 195.18, 32, 0.00078720, 3.72,  1, 0.00033903, 237.76, 64, 1.80, 0.78, 0.02, 1.22
1, 0.00041875, 170.82, 174.54, 26, 0.00076251, 3.72,  1, 0.00013680, 237.76, 64, 1.82, 0.33, 0.02, 1.36
2, 0.00010898, 23.12, 26.83, 15, 0.00030249, 3.72,  1, 0.00003362, 713.29, 192, 2.78, 0.31, 0.14, 26.58
3, 0.00046234, 293.06, 296.77, 62, 0.01239123, 3.72,  1, 0.00041340, 237.76, 64, 26.80, 0.89, 0.01, 0.80
4, 0.00215281, 153.73, 157.44, 37, 0.00314182, 3.72,  1, 0.00037506, 475.52, 128, 1.46, 0.17, 0.02, 3.02
5, 0.00010498, 55.70, 59.41, 22, 0.00018174, 3.72,  1, 0.00011863, 237.76, 64, 1.73, 1.13, 0.06, 4.00
6, 0.00138073, 35.47, 39.19, 9, 0.00275436, 3.72,  1, 0.00031565, 475.52, 128, 1.99, 0.23, 0.09, 12.14
7, 0.00041790, 97.71, 101.42, 21, 0.00176848, 3.72,  1, 0.00016346, 237.76, 64, 4.23, 0.39, 0.04, 2.34
8, 0.00013520, 54.85, 58.56, 23, 0.00023012, 3.72,  1, 0.00023012, 237.76, 64, 1.70, 1.70, 0.06, 4.06
9, 0.00003221, 3.55, 7.27, 3, 0.00003237, 3.72,  1, 0.00002140, 237.76, 64, 1.00, 0.66, 0.51, 32.71
10, 0.00081824, 79.20, 82.92, 40, 0.00154900, 3.72,  1, 0.00019846, 475.52, 128, 1.89, 0.24, 0.04, 5.74
11, 0.00050733, 77.18, 80.89, 21, 0.00095144, 3.72,  1, 0.00026043, 475.52, 128, 1.88, 0.51, 0.05, 5.88
12, 0.00047878, 142.88, 146.59, 29, 0.00199064, 3.72,  1, 0.00057320, 475.52, 128, 4.16, 1.20, 0.03, 3.24
13, 0.00015532, 170.30, 174.02, 48, 0.00074505, 3.72,  1, 0.00019287, 237.76, 64, 4.80, 1.24, 0.02, 1.37
14, 0.00011496, 9.84, 13.56, 4, 0.00053661, 3.72,  1, 0.00005604, 1664.34, 448, 4.67, 0.49, 0.27, 122.78
15, 0.00019187, 77.32, 81.03, 29, 0.00042423, 3.72,  1, 0.00019752, 237.76, 64, 2.21, 1.03, 0.05, 2.93
16, 0.00029034, 98.03, 101.74, 20, 0.00102237, 3.72,  1, 0.00039164, 237.76, 64, 3.52, 1.35, 0.04, 2.34
17, 0.00018105, 71.13, 74.85, 21, 0.00947333, 3.72,  1, 0.00045179, 475.52, 128, 52.32, 2.50, 0.05, 6.35
18, 0.00015793, 10.80, 14.52, 4, 0.00013210, 3.72,  1, 0.00004880, 237.76, 64, 0.84, 0.31, 0.26, 16.38
19, 0.00287379, 39.65, 43.37, 10, 0.00301982, 3.72,  1, 0.00039668, 1664.34, 448, 1.05, 0.14, 0.09, 38.38
20, 0.00011664, 20.68, 24.39, 15, 0.00033998, 3.72,  1, 0.00014873, 237.76, 64, 2.91, 1.28, 0.15, 9.75
21, 0.00013669, 15.82, 19.54, 13, 0.00039353, 3.72,  1, 0.00009785, 237.76, 64, 2.88, 0.72, 0.19, 12.17
22, 0.00008712, 220.49, 224.21, 45, 0.00018903, 3.72,  1, 0.00016724, 237.76, 64, 2.17, 1.92, 0.02, 1.06
23, 0.00243752, 35.27, 38.99, 14, 0.00723435, 3.72,  1, 0.00038767, 237.76, 64, 2.97, 0.16, 0.10, 6.10
24, 0.00003925, 0.76, 4.48, 1, 0.00003925, 3.72,  1, 0.00002174, 237.76, 64, 1.00, 0.55, 0.83, 53.08
25, 0.00027820, 99.28, 103.00, 27, 0.00066325, 3.72,  1, 0.00053541, 237.76, 64, 2.38, 1.92, 0.04, 2.31
26, 0.00017110, 48.70, 52.42, 23, 0.00020098, 3.72,  1, 0.00013433, 237.76, 64, 1.17, 0.79, 0.07, 4.54
27, 0.00030432, 71.91, 75.63, 15, 0.00671402, 3.72,  1, 0.00017746, 237.76, 64, 22.06, 0.58, 0.05, 3.14
28, 0.00027838, 373.86, 377.58, 65, 0.00156713, 3.72,  1, 0.00010240, 237.76, 64, 5.63, 0.37, 0.01, 0.63
29, 0.00036526, 141.73, 145.45, 35, 0.00151189, 3.72,  1, 0.00027550, 237.76, 64, 4.14, 0.75, 0.03, 1.63
30, 0.00545603, 75.97, 79.69, 11, 0.00545603, 3.72,  1, 0.00024503, 1426.57, 384, 1.00, 0.04, 0.05, 17.90
31, 0.00009026, 88.66, 92.37, 37, 0.00016650, 3.72,  1, 0.00013997, 237.76, 64, 1.84, 1.55, 0.04, 2.57
32, 0.00049158, 21.30, 25.02, 14, 0.00091970, 3.72,  1, 0.00014201, 237.76, 64, 1.87, 0.29, 0.15, 9.50
33, 0.00038388, 157.40, 161.11, 40, 0.00103488, 3.72,  1, 0.00034469, 237.76, 64, 2.70, 0.90, 0.02, 1.48
34, 0.00013581, 64.87, 68.59, 16, 0.00025737, 3.72,  1, 0.00010746, 237.76, 64, 1.90, 0.79, 0.05, 3.47
35, 0.00020308, 182.73, 186.44, 36, 0.00041065, 3.72,  1, 0.00028549, 237.76, 64, 2.02, 1.41, 0.02, 1.28
36, 0.00020673, 26.16, 29.88, 12, 0.00027661, 3.72,  1, 0.00012473, 237.76, 64, 1.34, 0.60, 0.12, 7.96
37, 0.00027592, 252.69, 256.41, 50, 0.00345833, 3.72,  1, 0.00063042, 475.52, 128, 12.53, 2.28, 0.01, 1.85
38, 0.00030951, 151.26, 154.97, 41, 0.00075716, 3.72,  1, 0.00035285, 237.76, 64, 2.45, 1.14, 0.02, 1.53
