Sat Dec 30 19:55:13 EST 2023
fj003
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1000
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k
0, 0.00011388, 76.35, 516.04, 11, 0.00011388, 439.69, 128, 0.00011388, 439.69, 128, 1.00, 1.00, 0.85, 0.85
1, 0.00004278, 55.73, 275.57, 21, 0.00004513, 219.84, 64, 0.00004513, 219.84, 64, 1.05, 1.05, 0.80, 0.80
2, 0.00003010, 2.12, 441.81, 2, 0.00003010, 439.69, 128, 0.00003010, 439.69, 128, 1.00, 1.00, 1.00, 1.00
3, 0.00021284, 33.26, 1572.17, 9, 0.00021284, 1538.91, 448, 0.00021284, 1538.91, 448, 1.00, 1.00, 0.98, 0.98
4, 0.00052101, 41.19, 2459.48, 11, 0.00052101, 2418.29, 704, 0.00052101, 2418.29, 704, 1.00, 1.00, 0.98, 0.98
5, 0.00010003, 17.67, 677.20, 10, 0.00010678, 659.53, 192, 0.00010678, 659.53, 192, 1.07, 1.07, 0.97, 0.97
6, 0.00006363, 77.02, 516.71, 22, 0.00006946, 439.69, 128, 0.00006946, 439.69, 128, 1.09, 1.09, 0.85, 0.85
7, 0.00028853, 39.26, 1138.49, 11, 0.00028853, 1099.22, 320, 0.00028853, 1099.22, 320, 1.00, 1.00, 0.97, 0.97
8, 0.00011883, 15.63, 895.01, 9, 0.00011883, 879.38, 256, 0.00011883, 879.38, 256, 1.00, 1.00, 0.98, 0.98
9, 0.00003747, 2.13, 221.97, 2, 0.00003747, 219.84, 64, 0.00003747, 219.84, 64, 1.00, 1.00, 0.99, 0.99
10, 0.00003241, 26.88, 246.72, 13, 0.00003241, 219.84, 64, 0.00003241, 219.84, 64, 1.00, 1.00, 0.89, 0.89
11, 0.00006937, 17.88, 677.41, 11, 0.00006937, 659.53, 192, 0.00006937, 659.53, 192, 1.00, 1.00, 0.97, 0.97
12, 0.00004905, 32.46, 472.15, 11, 0.00004905, 439.69, 128, 0.00004905, 439.69, 128, 1.00, 1.00, 0.93, 0.93
13, 0.00004832, 20.61, 240.46, 11, 0.00004832, 219.84, 64, 0.00004832, 219.84, 64, 1.00, 1.00, 0.91, 0.91
14, 0.00002681, 2.02, 221.86, 2, 0.00002681, 219.84, 64, 0.00002681, 219.84, 64, 1.00, 1.00, 0.99, 0.99
15, 0.00002680, 3.23, 223.07, 2, 0.00002680, 219.84, 64, 0.00002680, 219.84, 64, 1.00, 1.00, 0.99, 0.99
