Fri Dec 29 21:59:46 EST 2023
fj004
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00045601, 24.35, 27.79, 11, 0.00116184, 3.44,  1, 0.00011388, 439.69, 128, 2.55, 0.25, 0.12, 15.82
1, 0.00007673, 100.96, 104.39, 53, 0.00022795, 3.44,  1, 0.00004513, 219.84, 64, 2.97, 0.59, 0.03, 2.11
2, 0.00006523, 3.33, 6.76, 2, 0.00006740, 3.44,  1, 0.00003010, 439.69, 128, 1.03, 0.46, 0.51, 65.04
3, 0.00133777, 52.54, 55.98, 18, 0.00249920, 3.44,  1, 0.00021284, 1538.91, 448, 1.87, 0.16, 0.06, 27.49
4, 0.00156554, 42.47, 45.90, 15, 0.01032206, 3.44,  1, 0.00052101, 2418.29, 704, 6.59, 0.33, 0.07, 52.68
5, 0.00021284, 108.52, 111.96, 40, 0.00038023, 3.44,  1, 0.00010678, 659.53, 192, 1.79, 0.50, 0.03, 5.89
6, 0.00009954, 45.99, 49.42, 21, 0.00013080, 3.44,  1, 0.00006946, 439.69, 128, 1.31, 0.70, 0.07, 8.90
7, 0.00817052, 235.86, 239.30, 20, 0.01186193, 3.44,  1, 0.00028853, 1099.22, 320, 1.45, 0.04, 0.01, 4.59
8, 0.00017247, 171.74, 175.18, 37, 0.00026425, 3.44,  1, 0.00011883, 879.38, 256, 1.53, 0.69, 0.02, 5.02
9, 0.00008873, 2.47, 5.90, 2, 0.00008919, 3.44,  1, 0.00003747, 219.84, 64, 1.01, 0.42, 0.58, 37.23
10, 0.00006376, 18.44, 21.88, 13, 0.00006376, 3.44,  1, 0.00003241, 219.84, 64, 1.00, 0.51, 0.16, 10.05
11, 0.00008057, 114.08, 117.52, 30, 0.00022883, 3.44,  1, 0.00006937, 659.53, 192, 2.84, 0.86, 0.03, 5.61
12, 0.00122766, 102.56, 105.99, 17, 0.00249598, 3.44,  1, 0.00004905, 439.69, 128, 2.03, 0.04, 0.03, 4.15
13, 0.00011583, 63.31, 66.74, 23, 0.00052352, 3.44,  1, 0.00004832, 219.84, 64, 4.52, 0.42, 0.05, 3.29
14, 0.00006014, 1.83, 5.26, 2, 0.00007525, 3.44,  1, 0.00002681, 219.84, 64, 1.25, 0.45, 0.65, 41.78
15, 0.00003645, 2.06, 5.50, 2, 0.00003645, 3.44,  1, 0.00002680, 219.84, 64, 1.00, 0.74, 0.62, 39.99
16, 0.00089955, 38.04, 41.47, 15, 0.00140102, 3.44,  1, 0.00017701, 1099.22, 320, 1.56, 0.20, 0.08, 26.50
17, 0.00012783, 37.53, 40.97, 24, 0.00032746, 3.44,  1, 0.00012827, 439.69, 128, 2.56, 1.00, 0.08, 10.73
18, 0.00074441, 37.50, 40.93, 11, 0.00144406, 3.44,  1, 0.00012919, 439.69, 128, 1.94, 0.17, 0.08, 10.74
19, 0.00043097, 18.56, 22.00, 12, 0.00107049, 3.44,  1, 0.00010404, 439.69, 128, 2.48, 0.24, 0.16, 19.99
20, 0.00008451, 25.94, 29.37, 13, 0.00015238, 3.44,  1, 0.00004883, 219.84, 64, 1.80, 0.58, 0.12, 7.48
21, 0.00009279, 1.15, 4.59, 1, 0.00009279, 3.44,  1, 0.00003531, 219.84, 64, 1.00, 0.38, 0.75, 47.94
22, 0.00046018, 126.41, 129.85, 35, 0.00098827, 3.44,  1, 0.00009201, 439.69, 128, 2.15, 0.20, 0.03, 3.39
23, 0.00016748, 94.89, 98.33, 18, 0.00023277, 3.44,  1, 0.00007239, 439.69, 128, 1.39, 0.43, 0.03, 4.47
24, 0.00006710, 23.64, 27.08, 11, 0.00006710, 3.44,  1, 0.00004256, 219.84, 64, 1.00, 0.63, 0.13, 8.12
25, 0.00173942, 168.65, 172.09, 28, 0.00297836, 3.44,  1, 0.00038163, 1319.07, 384, 1.71, 0.22, 0.02, 7.67
26, 0.00009445, 2.78, 6.22, 2, 0.00016942, 3.44,  1, 0.00004292, 219.84, 64, 1.79, 0.45, 0.55, 35.37
27, 0.00007610, 12.61, 16.04, 11, 0.00007610, 3.44,  1, 0.00002928, 219.84, 64, 1.00, 0.38, 0.21, 13.70
28, 0.00122577, 147.22, 150.66, 32, 0.00519520, 3.44,  1, 0.00013554, 439.69, 128, 4.24, 0.11, 0.02, 2.92
29, 0.00013163, 113.13, 116.56, 21, 0.00014732, 3.44,  1, 0.00007954, 439.69, 128, 1.12, 0.60, 0.03, 3.77
30, 0.00688411, 29.08, 32.51, 9, 0.00837606, 3.44,  1, 0.00095562, 3077.82, 896, 1.22, 0.14, 0.11, 94.67
31, 0.00002507, 0.62, 4.06, 1, 0.00002507, 3.44,  1, 0.00002361, 219.84, 64, 1.00, 0.94, 0.85, 54.20
32, 0.00007152, 93.54, 96.98, 32, 0.00014982, 3.44,  1, 0.00006723, 219.84, 64, 2.09, 0.94, 0.04, 2.27
33, 0.00025100, 21.80, 25.23, 10, 0.00093659, 3.44,  1, 0.00012379, 439.69, 128, 3.73, 0.49, 0.14, 17.43
34, 0.00006983, 57.74, 61.17, 11, 0.00006983, 3.44,  1, 0.00006983, 219.84, 64, 1.00, 1.00, 0.06, 3.59
35, 0.00016869, 71.99, 75.42, 15, 0.00020628, 3.44,  1, 0.00005344, 219.84, 64, 1.22, 0.32, 0.05, 2.91
36, 0.00017348, 56.37, 59.81, 21, 0.00027044, 3.44,  1, 0.00006776, 439.69, 128, 1.56, 0.39, 0.06, 7.35
37, 0.00181926, 124.14, 127.58, 28, 10000000000.00000000, 3.44,  1, 0.00030011, 1319.07, 384, 5496740432923.28, 0.16, 0.03, 10.34
38, 0.00038291, 77.98, 81.42, 21, 0.00174084, 3.44,  1, 0.00011891, 659.53, 192, 4.55, 0.31, 0.04, 8.10
