Thu Dec 14 21:45:02 EST 2023
fj015
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00007574, 308.44, 313.92, 46, 0.00089047, 5.48,  1, 0.00005102, 701.29, 128, 11.76, 0.67, 0.02, 2.23
1, 0.00329200, 30.25, 35.72, 4, 0.02760787, 5.48,  1, 0.00022368, 2103.86, 384, 8.39, 0.07, 0.15, 58.89
2, 0.00140649, 14.05, 19.53, 2, 0.01914075, 5.48,  1, 0.00028512, 5259.65, 960, 13.61, 0.20, 0.28, 269.26
3, 0.00034963, 93.82, 99.30, 29, 0.00031115, 5.48,  1, 0.00002580, 350.64, 64, 0.89, 0.07, 0.06, 3.53
4, 0.00002286, 2.47, 7.95, 2, 0.00002286, 5.48,  1, 0.00000493, 350.64, 64, 1.00, 0.22, 0.69, 44.09
5, 0.00201718, 337.23, 342.71, 43, 0.09084133, 5.48,  1, 0.00025146, 3155.79, 576, 45.03, 0.12, 0.02, 9.21
6, 0.00004859, 658.23, 663.71, 68, 0.02275157, 5.48,  1, 0.00039149, 8064.80, 1472, 468.25, 8.06, 0.01, 12.15
7, 0.00527537, 119.45, 124.93, 28, 0.01595460, 5.48,  1, 0.00025487, 2454.50, 448, 3.02, 0.05, 0.04, 19.65
8, 0.00011741, 85.80, 91.28, 40, 0.00017079, 5.48,  1, 0.00005281, 701.29, 128, 1.45, 0.45, 0.06, 7.68
9, 0.00017225, 177.42, 182.90, 27, 0.00124922, 5.48,  1, 0.00006718, 701.29, 128, 7.25, 0.39, 0.03, 3.83
10, 0.00005114, 40.17, 45.65, 39, 0.00006293, 5.48,  1, 0.00005376, 350.64, 64, 1.23, 1.05, 0.12, 7.68
11, 0.00062038, 86.08, 91.56, 20, 0.01518040, 5.48,  1, 0.00017295, 1051.93, 192, 24.47, 0.28, 0.06, 11.49
12, 0.00076548, 98.58, 104.06, 28, 0.00577582, 5.48,  1, 0.00024616, 3506.44, 640, 7.55, 0.32, 0.05, 33.70
13, 0.00278068, 195.04, 200.51, 27, 0.00970845, 5.48,  1, 0.00039691, 4207.72, 768, 3.49, 0.14, 0.03, 20.98
14, 0.00020312, 67.89, 73.37, 10, 0.00563702, 5.48,  1, 0.00032705, 8064.80, 1472, 27.75, 1.61, 0.07, 109.92
15, 0.00003160, 94.27, 99.75, 12, 0.00405000, 5.48,  1, 0.00026725, 4909.01, 896, 128.17, 8.46, 0.05, 49.21
16, 0.00005951, 29.90, 35.38, 4, 0.00012054, 5.48,  1, 0.00002858, 350.64, 64, 2.03, 0.48, 0.15, 9.91
17, 0.00134202, 66.19, 71.67, 24, 0.00459095, 5.48,  1, 0.00055968, 3857.08, 704, 3.42, 0.42, 0.08, 53.81
18, 0.00003726, 300.78, 306.26, 25, 0.02257653, 5.48,  1, 0.00037023, 4909.01, 896, 605.93, 9.94, 0.02, 16.03
Top 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00012385, 163.73, 218.52, 32, 0.00089047, 54.79, 10, 0.00005102, 701.29, 128, 7.19, 0.41, 0.25, 3.21
1, 0.00004193, 81.87, 136.66, 13, 0.01019526, 54.79, 10, 0.00022368, 2103.86, 384, 243.13, 5.33, 0.40, 15.39
2, 0.00012054, 209.70, 264.49, 22, 0.00401055, 54.79, 10, 0.00028512, 5259.65, 960, 33.27, 2.37, 0.21, 19.89
3, 0.00006686, 27.96, 82.75, 13, 0.00006686, 54.79, 10, 0.00002580, 350.64, 64, 1.00, 0.39, 0.66, 4.24
4, 0.00000494, 2.13, 56.92, 2, 0.00000494, 54.79, 10, 0.00000493, 350.64, 64, 1.00, 1.00, 0.96, 6.16
5, 0.00049095, 308.07, 362.86, 28, 0.00492808, 54.79, 10, 0.00025146, 3155.79, 576, 10.04, 0.51, 0.15, 8.70
6, 0.00796765, 171.94, 226.73, 25, 0.01461190, 54.79, 10, 0.00039149, 8064.80, 1472, 1.83, 0.05, 0.24, 35.57
7, 0.00057090, 44.55, 99.34, 16, 0.00100955, 54.79, 10, 0.00025487, 2454.50, 448, 1.77, 0.45, 0.55, 24.71
8, 0.00011399, 59.94, 114.73, 30, 0.00017079, 54.79, 10, 0.00005281, 701.29, 128, 1.50, 0.46, 0.48, 6.11
9, 0.00004695, 147.20, 201.99, 37, 0.00016047, 54.79, 10, 0.00006718, 701.29, 128, 3.42, 1.43, 0.27, 3.47
10, 0.00004509, 31.09, 85.88, 27, 0.00005376, 54.79, 10, 0.00005376, 350.64, 64, 1.19, 1.19, 0.64, 4.08
11, 0.00083978, 117.28, 172.06, 22, 0.00228173, 54.79, 10, 0.00017295, 1051.93, 192, 2.72, 0.21, 0.32, 6.11
12, 0.00120020, 254.43, 309.22, 22, 0.00240669, 54.79, 10, 0.00024616, 3506.44, 640, 2.01, 0.21, 0.18, 11.34
13, 0.00006333, 231.55, 286.34, 30, 0.00970845, 54.79, 10, 0.00039691, 4207.72, 768, 153.30, 6.27, 0.19, 14.70
14, 0.00022405, 284.13, 338.92, 35, 0.00563702, 54.79, 10, 0.00032705, 8064.80, 1472, 25.16, 1.46, 0.16, 23.80
15, 0.00205182, 178.78, 233.57, 20, 0.00405000, 54.79, 10, 0.00026725, 4909.01, 896, 1.97, 0.13, 0.23, 21.02
16, 0.00002858, 2.90, 57.69, 2, 0.00002858, 54.79, 10, 0.00002858, 350.64, 64, 1.00, 1.00, 0.95, 6.08
17, 0.00063701, 51.27, 106.05, 18, 0.00212700, 54.79, 10, 0.00055968, 3857.08, 704, 3.34, 0.88, 0.52, 36.37
18, 0.00156581, 131.79, 186.58, 30, 0.00545126, 54.79, 10, 0.00037023, 4909.01, 896, 3.48, 0.24, 0.29, 26.31
Top 25
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-25 (s), tuning time Ansor-25, task Ansor-25, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-25, speedup 10k, speed tuning time top-25, speed tuning time 10k
0, 0.00014622, 86.37, 223.34, 16, 0.00086469, 136.97, 25, 0.00005102, 701.29, 128, 5.91, 0.35, 0.61, 3.14
1, 0.00020218, 37.74, 174.71, 7, 0.00384431, 136.97, 25, 0.00022368, 2103.86, 384, 19.01, 1.11, 0.78, 12.04
2, 0.00005645, 95.38, 232.35, 41, 0.00326502, 136.97, 25, 0.00028512, 5259.65, 960, 57.84, 5.05, 0.59, 22.64
3, 0.00002844, 20.96, 157.93, 11, 0.00002844, 136.97, 25, 0.00002580, 350.64, 64, 1.00, 0.91, 0.87, 2.22
4, 0.00000481, 2.13, 139.10, 2, 0.00000494, 136.97, 25, 0.00000493, 350.64, 64, 1.03, 1.03, 0.98, 2.52
5, 0.00012279, 138.41, 275.38, 24, 0.00323928, 136.97, 25, 0.00025146, 3155.79, 576, 26.38, 2.05, 0.50, 11.46
6, 0.00066791, 128.67, 265.64, 20, 0.00442293, 136.97, 25, 0.00039149, 8064.80, 1472, 6.62, 0.59, 0.52, 30.36
7, 0.00053862, 50.42, 187.39, 21, 0.00100955, 136.97, 25, 0.00025487, 2454.50, 448, 1.87, 0.47, 0.73, 13.10
8, 0.00003520, 102.59, 239.56, 56, 0.00017079, 136.97, 25, 0.00005281, 701.29, 128, 4.85, 1.50, 0.57, 2.93
9, 0.00007526, 71.63, 208.60, 26, 0.00010937, 136.97, 25, 0.00006718, 701.29, 128, 1.45, 0.89, 0.66, 3.36
