Fri Dec 29 08:12:26 EST 2023
fj002
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00194839, 74.05, 78.12, 23, 0.00250538, 4.06,  1, 0.00081801, 2599.21, 640, 1.29, 0.42, 0.05, 33.27
1, 0.00081754, 63.12, 67.18, 39, 0.00331601, 4.06,  1, 0.00017537, 779.76, 192, 4.06, 0.21, 0.06, 11.61
2, 0.00037685, 184.80, 188.86, 37, 0.00081841, 4.06,  1, 0.00010431, 1819.45, 448, 2.17, 0.28, 0.02, 9.63
3, 0.00093069, 118.74, 122.80, 22, 0.00326483, 4.06,  1, 0.00022610, 779.76, 192, 3.51, 0.24, 0.03, 6.35
4, 0.00106436, 312.62, 316.68, 65, 0.00853838, 4.06,  1, 0.00016472, 1299.61, 320, 8.02, 0.15, 0.01, 4.10
5, 0.07676867, 66.86, 70.92, 11, 0.07676867, 4.06,  1, 0.00056432, 1819.45, 448, 1.00, 0.01, 0.06, 25.65
6, 0.00069070, 12.67, 16.73, 4, 0.00075792, 4.06,  1, 0.00014928, 2079.37, 512, 1.10, 0.22, 0.24, 124.28
7, 0.00005477, 26.39, 30.45, 14, 0.00005477, 4.06,  1, 0.00004923, 259.92, 64, 1.00, 0.90, 0.13, 8.54
8, 0.00255344, 166.51, 170.58, 28, 0.00347195, 4.06,  1, 0.00075932, 2859.13, 704, 1.36, 0.30, 0.02, 16.76
9, 0.00001873, 1.87, 5.93, 2, 0.00001873, 4.06,  1, 0.00001873, 259.92, 64, 1.00, 1.00, 0.69, 43.85
10, 0.00009080, 153.00, 157.06, 42, 0.00033344, 4.06,  1, 0.00009251, 519.84, 128, 3.67, 1.02, 0.03, 3.31
11, 0.00046582, 269.34, 273.40, 52, 0.00149670, 4.06,  1, 0.00019039, 779.76, 192, 3.21, 0.41, 0.01, 2.85
12, 0.00025044, 325.86, 329.92, 101, 0.00056973, 4.06,  1, 0.00009896, 1299.61, 320, 2.27, 0.40, 0.01, 3.94
13, 0.00021654, 370.04, 374.10, 54, 0.00190528, 4.06,  1, 0.00010187, 519.84, 128, 8.80, 0.47, 0.01, 1.39
14, 0.00004739, 25.18, 29.24, 25, 0.00004739, 4.06,  1, 0.00004680, 259.92, 64, 1.00, 0.99, 0.14, 8.89
15, 0.00052001, 53.99, 58.05, 30, 0.01109076, 4.06,  1, 0.00023236, 779.76, 192, 21.33, 0.45, 0.07, 13.43
16, 0.00024769, 103.93, 107.99, 30, 0.00092222, 4.06,  1, 0.00011101, 1299.61, 320, 3.72, 0.45, 0.04, 12.03
17, 0.00129601, 104.74, 108.80, 20, 0.00258476, 4.06,  1, 0.00056525, 1819.45, 448, 1.99, 0.44, 0.04, 16.72
18, 0.07108577, 78.88, 82.94, 20, 0.07621693, 4.06,  1, 0.00021414, 2079.37, 512, 1.07, 0.00, 0.05, 25.07
19, 0.02168840, 261.82, 265.88, 20, 0.03392437, 4.06,  1, 0.00028978, 4158.74, 1024, 1.56, 0.01, 0.02, 15.64
20, 0.00184756, 162.22, 166.29, 30, 0.00682492, 4.06,  1, 0.00009824, 2079.37, 512, 3.69, 0.05, 0.02, 12.50
21, 0.00850134, 169.70, 173.76, 24, 0.01099314, 4.06,  1, 0.00034536, 2079.37, 512, 1.29, 0.04, 0.02, 11.97
22, 0.01210270, 100.75, 104.81, 21, 0.01661900, 4.06,  1, 0.00023714, 2079.37, 512, 1.37, 0.02, 0.04, 19.84
23, 0.00029872, 63.94, 68.00, 49, 0.00089136, 4.06,  1, 0.00018380, 1299.61, 320, 2.98, 0.62, 0.06, 19.11
24, 0.00177439, 212.83, 216.90, 33, 0.01199450, 4.06,  1, 0.00033942, 1299.61, 320, 6.76, 0.19, 0.02, 5.99
25, 0.00115030, 33.13, 37.19, 13, 0.00527812, 4.06,  1, 0.00037081, 1819.45, 448, 4.59, 0.32, 0.11, 48.92
26, 0.00002781, 2.85, 6.91, 2, 0.00002781, 4.06,  1, 0.00002633, 259.92, 64, 1.00, 0.95, 0.59, 37.62
27, 0.00021016, 226.15, 230.22, 55, 0.00057843, 4.06,  1, 0.00012552, 1819.45, 448, 2.75, 0.60, 0.02, 7.90
Top 10
