Thu Dec 14 21:44:32 EST 2023
fj014
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00007574, 152.15, 154.06, 23, 0.00010978, 1.91,  1, 0.00002264, 367.23, 192, 1.45, 0.30, 0.01, 2.38
1, 0.00020047, 4.33, 6.24, 3, 0.00042484, 1.91,  1, 0.00008487, 734.46, 384, 2.12, 0.42, 0.31, 117.73
2, 0.00020980, 94.99, 96.90, 17, 0.00057128, 1.91,  1, 0.00006871, 734.46, 384, 2.72, 0.33, 0.02, 7.58
3, 0.00004820, 68.50, 70.42, 13, 0.00004820, 1.91,  1, 0.00003219, 367.23, 192, 1.00, 0.67, 0.03, 5.22
4, 0.00013531, 9.72, 11.63, 3, 0.00013531, 1.91,  1, 0.00002023, 489.64, 256, 1.00, 0.15, 0.16, 42.10
5, 0.00003281, 63.14, 65.06, 11, 0.00003281, 1.91,  1, 0.00003083, 367.23, 192, 1.00, 0.94, 0.03, 5.64
6, 0.00117900, 74.65, 76.56, 21, 0.00295951, 1.91,  1, 0.00003926, 2570.61, 1344, 2.51, 0.03, 0.02, 33.57
7, 0.00006197, 3.37, 5.28, 2, 0.00007840, 1.91,  1, 0.00002210, 612.05, 320, 1.27, 0.36, 0.36, 115.94
8, 0.00004460, 19.33, 21.24, 15, 0.00004460, 1.91,  1, 0.00003520, 367.23, 192, 1.00, 0.79, 0.09, 17.29
9, 0.00009550, 41.15, 43.06, 7, 0.00012225, 1.91,  1, 0.00006227, 489.64, 256, 1.28, 0.65, 0.04, 11.37
10, 0.00002834, 6.95, 8.86, 4, 0.00004007, 1.91,  1, 0.00001771, 367.23, 192, 1.41, 0.62, 0.22, 41.44
11, 0.00014366, 47.88, 49.80, 25, 0.00049206, 1.91,  1, 0.00007826, 734.46, 384, 3.43, 0.54, 0.04, 14.75
12, 0.00003435, 38.62, 40.53, 5, 0.00005313, 1.91,  1, 0.00002451, 244.82, 128, 1.55, 0.71, 0.05, 6.04
13, 0.00010002, 128.27, 130.19, 21, 0.00011783, 1.91,  1, 0.00004583, 2570.61, 1344, 1.18, 0.46, 0.01, 19.75
14, 0.00003540, 42.83, 44.75, 15, 0.00170435, 1.91,  1, 0.00010817, 979.28, 512, 48.15, 3.06, 0.04, 21.89
15, 0.00002628, 53.02, 54.93, 15, 0.00003316, 1.91,  1, 0.00001980, 1224.10, 640, 1.26, 0.75, 0.03, 22.28
16, 0.00008904, 21.80, 23.71, 12, 0.00011636, 1.91,  1, 0.00004068, 5141.22, 2688, 1.31, 0.46, 0.08, 216.83
17, 0.00003177, 55.53, 57.45, 12, 0.00004577, 1.91,  1, 0.00002072, 244.82, 128, 1.44, 0.65, 0.03, 4.26
18, 0.00007665, 8.93, 10.84, 2, 0.00003726, 1.91,  1, 0.00003658, 281.16, 147, 0.49, 0.48, 0.18, 25.94
19, 0.00002210, 31.30, 33.22, 23, 0.00002932, 1.91,  1, 0.00002041, 244.82, 128, 1.33, 0.92, 0.06, 7.37
Top 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00002447, 16.25, 35.37, 7, 0.00003110, 19.13, 10, 0.00002264, 367.23, 192, 1.27, 0.93, 0.54, 10.38
1, 0.00018987, 30.41, 49.54, 6, 0.00033725, 19.13, 10, 0.00008487, 734.46, 384, 1.78, 0.45, 0.39, 14.83
2, 0.00009564, 72.19, 91.32, 37, 0.00019985, 19.13, 10, 0.00006871, 734.46, 384, 2.09, 0.72, 0.21, 8.04
