Thu Dec 14 08:31:11 EST 2023
fj001
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00006889, 85.84, 89.01, 40, 0.00020237, 3.17,  1, 0.00004720, 1014.88, 320, 2.94, 0.69, 0.04, 11.40
1, 0.00006669, 79.91, 83.08, 31, 0.00007393, 3.17,  1, 0.00002778, 1014.88, 320, 1.11, 0.42, 0.04, 12.22
2, 0.00040106, 11.33, 14.50, 6, 0.00069461, 3.17,  1, 0.00011067, 1623.81, 512, 1.73, 0.28, 0.22, 111.95
3, 0.00005291, 47.07, 50.24, 26, 0.00011201, 3.17,  1, 0.00004356, 608.93, 192, 2.12, 0.82, 0.06, 12.12
4, 0.00002343, 1.76, 4.93, 2, 0.00002343, 3.17,  1, 0.00002343, 374.24, 118, 1.00, 1.00, 0.64, 75.87
5, 0.00004108, 3.19, 6.36, 2, 0.00004108, 3.17,  1, 0.00002393, 361.55, 114, 1.00, 0.58, 0.50, 56.81
6, 0.00010547, 60.64, 63.81, 25, 0.00011980, 3.17,  1, 0.00004095, 608.93, 192, 1.14, 0.39, 0.05, 9.54
7, 0.00004579, 119.24, 122.42, 38, 0.00017519, 3.17,  1, 0.00003531, 1217.86, 384, 3.83, 0.77, 0.03, 9.95
8, 0.00097878, 59.18, 62.35, 32, 0.00201814, 3.17,  1, 0.00035140, 5074.41, 1600, 2.06, 0.36, 0.05, 81.39
9, 0.00168064, 115.61, 118.78, 26, 0.00469654, 3.17,  1, 0.00010323, 3247.62, 1024, 2.79, 0.06, 0.03, 27.34
10, 0.00018819, 68.37, 71.54, 24, 0.00025151, 3.17,  1, 0.00004913, 1014.88, 320, 1.34, 0.26, 0.04, 14.19
11, 0.00031918, 46.87, 50.04, 11, 0.00031918, 3.17,  1, 0.00009203, 2638.70, 832, 1.00, 0.29, 0.06, 52.73
12, 0.00039332, 132.53, 135.70, 25, 0.00155641, 3.17,  1, 0.00007014, 2435.72, 768, 3.96, 0.18, 0.02, 17.95
13, 0.00008542, 45.12, 48.29, 14, 0.00011010, 3.17,  1, 0.00003151, 1217.86, 384, 1.29, 0.37, 0.07, 25.22
14, 0.00040469, 50.43, 53.61, 9, 0.00077097, 3.17,  1, 0.00010564, 3044.65, 960, 1.91, 0.26, 0.06, 56.80
15, 0.00002966, 2.02, 5.19, 2, 0.00003763, 3.17,  1, 0.00002755, 405.95, 128, 1.27, 0.93, 0.61, 78.19
16, 0.00115194, 23.51, 26.69, 11, 0.00225727, 3.17,  1, 0.00005558, 1014.88, 320, 1.96, 0.05, 0.12, 38.03
17, 0.00004372, 12.24, 15.41, 11, 0.00004372, 3.17,  1, 0.00004372, 608.93, 192, 1.00, 1.00, 0.21, 39.52
18, 0.00004669, 1.83, 5.00, 2, 0.00004669, 3.17,  1, 0.00003094, 469.38, 148, 1.00, 0.66, 0.63, 93.81
19, 0.00012971, 126.17, 129.34, 33, 0.00028974, 3.17,  1, 0.00006746, 1014.88, 320, 2.23, 0.52, 0.02, 7.85
20, 0.00017265, 50.61, 53.78, 32, 0.00103145, 3.17,  1, 0.00005915, 1014.88, 320, 5.97, 0.34, 0.06, 18.87
21, 0.00008293, 19.31, 22.48, 11, 0.00046100, 3.17,  1, 0.00003806, 608.93, 192, 5.56, 0.46, 0.14, 27.09
22, 0.00005483, 20.67, 23.84, 12, 0.00010010, 3.17,  1, 0.00004219, 1217.86, 384, 1.83, 0.77, 0.13, 51.09
Top 10
