Thu Jan  4 20:21:47 EST 2024
fj003
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00522885, 41.05, 49.18, 6, 0.00559549, 8.12,  1, 0.00023434, 1039.55, 128, 1.07, 0.04, 0.17, 21.14
1, 0.02621283, 46.75, 54.87, 12, 0.02648730, 8.12,  1, 0.00557766, 21310.71, 2624, 1.01, 0.21, 0.15, 388.39
2, 0.00016496, 45.31, 53.43, 13, 0.00016496, 8.12,  1, 0.00007296, 519.77, 64, 1.00, 0.44, 0.15, 9.73
3, 0.00002947, 0.58, 8.70, 1, 0.00002947, 8.12,  1, 0.00002947, 162.43, 20, 1.00, 1.00, 0.93, 18.67
4, 0.02230907, 214.15, 222.27, 26, 0.05564727, 8.12,  1, 0.00108080, 6237.28, 768, 2.49, 0.05, 0.04, 28.06
5, 0.02378230, 136.41, 144.54, 25, 0.07597747, 8.12,  1, 0.00120498, 11954.79, 1472, 3.19, 0.05, 0.06, 82.71
6, 0.00126382, 29.35, 37.47, 11, 0.00126382, 8.12,  1, 0.00042127, 2079.09, 256, 1.00, 0.33, 0.22, 55.48
7, 0.00005405, 66.68, 74.81, 60, 0.00007841, 8.12,  1, 0.00006044, 519.77, 64, 1.45, 1.12, 0.11, 6.95
8, 0.00711247, 46.08, 54.21, 16, 0.01441933, 8.12,  1, 0.00117200, 10395.47, 1280, 2.03, 0.16, 0.15, 191.78
9, 0.00386180, 299.88, 308.00, 43, 0.00402468, 8.12,  1, 0.00098948, 4158.19, 512, 1.04, 0.26, 0.03, 13.50
