Wed Dec 27 12:54:27 EST 2023
fj002
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
0, 0.00096330, 45.37, 51.94, 6, 0.00302179, 6.57,  1, 0.00044485, 1260.49, 192, 3.14, 0.46, 0.13, 24.27
1, 0.05029537, 317.51, 324.08, 26, 0.27424267, 6.57,  1, 0.00560672, 14705.71, 2240, 5.45, 0.11, 0.02, 45.38
2, 0.00009529, 12.89, 19.45, 7, 0.00069081, 6.57,  1, 0.00009639, 420.16, 64, 7.25, 1.01, 0.34, 21.60
3, 0.00010852, 1.85, 8.41, 2, 0.00011188, 6.57,  1, 0.00002774, 131.30, 20, 1.03, 0.26, 0.78, 15.60
4, 0.02090183, 90.64, 97.20, 19, 0.06112483, 6.57,  1, 0.00187304, 5041.96, 768, 2.92, 0.09, 0.07, 51.87
5, 0.01558430, 80.85, 87.41, 19, 0.02899080, 6.57,  1, 0.00204135, 5462.12, 832, 1.86, 0.13, 0.08, 62.49
6, 0.00078299, 252.04, 258.60, 39, 0.00140863, 6.57,  1, 0.00038156, 1260.49, 192, 1.80, 0.49, 0.03, 4.87
7, 0.00009549, 7.64, 14.20, 5, 0.00011829, 6.57,  1, 0.00005974, 420.16, 64, 1.24, 0.63, 0.46, 29.58
8, 0.00617039, 42.71, 49.28, 10, 0.02587677, 6.57,  1, 0.00109403, 2941.14, 448, 4.19, 0.18, 0.13, 59.69
9, 0.00359203, 372.22, 378.79, 58, 0.02171220, 6.57,  1, 0.00089099, 2941.14, 448, 6.04, 0.25, 0.02, 7.76
10, 0.03354577, 80.36, 86.92, 17, 0.07030397, 6.57,  1, 0.00453968, 12184.73, 1856, 2.10, 0.14, 0.08, 140.18
11, 0.00021223, 1.85, 8.42, 2, 0.00021422, 6.57,  1, 0.00002684, 131.30, 20, 1.01, 0.13, 0.78, 15.60
12, 0.00003015, 2.44, 9.00, 3, 0.00003015, 6.57,  1, 0.00002185, 131.30, 20, 1.00, 0.72, 0.73, 14.58
13, 0.00000844, 2.91, 9.47, 2, 0.00000846, 6.57,  1, 0.00000844, 420.16, 64, 1.00, 1.00, 0.69, 44.35
14, 0.00001184, 67.05, 73.61, 11, 0.19205567, 6.57,  1, 0.00129464, 7983.10, 1216, 16214.85, 109.30, 0.09, 108.45
15, 0.02195103, 347.53, 354.09, 40, 0.30399067, 6.57,  1, 0.00246584, 6722.61, 1024, 13.85, 0.11, 0.02, 18.99
16, 0.01139737, 454.74, 461.31, 57, 0.03692970, 6.57,  1, 0.00120479, 3361.31, 512, 3.24, 0.11, 0.01, 7.29
17, 0.00035072, 2.05, 8.61, 2, 0.00068329, 6.57,  1, 0.00003005, 131.30, 20, 1.95, 0.09, 0.76, 15.25
18, 0.00002796, 9.30, 15.87, 3, 0.00002796, 6.57,  1, 0.00002594, 131.30, 20, 1.00, 0.93, 0.41, 8.27
Top 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00038951, 66.60, 132.25, 9, 0.00179374, 65.65, 10, 0.00044485, 1260.49, 192, 4.61, 1.14, 0.50, 9.53
1, 0.00745010, 28.81, 94.46, 7, 0.04094350, 65.65, 10, 0.00560672, 14705.71, 2240, 5.50, 0.75, 0.70, 155.68
2, 0.00015284, 42.93, 108.58, 24, 0.00015284, 65.65, 10, 0.00009639, 420.16, 64, 1.00, 0.63, 0.60, 3.87
3, 0.00002774, 1.75, 67.40, 2, 0.00002774, 65.65, 10, 0.00002774, 131.30, 20, 1.00, 1.00, 0.97, 1.95
4, 0.02201553, 45.72, 111.37, 7, 0.03240123, 65.65, 10, 0.00187304, 5041.96, 768, 1.47, 0.09, 0.59, 45.27
5, 0.00002810, 69.08, 134.74, 17, 0.02899080, 65.65, 10, 0.00204135, 5462.12, 832, 1031.69, 72.64, 0.49, 40.54
6, 0.00083613, 284.88, 350.53, 65, 0.00114163, 65.65, 10, 0.00038156, 1260.49, 192, 1.37, 0.46, 0.19, 3.60
7, 0.00005702, 26.26, 91.91, 26, 0.00005974, 65.65, 10, 0.00005974, 420.16, 64, 1.05, 1.05, 0.71, 4.57
8, 0.00424174, 44.85, 110.50, 8, 0.00847673, 65.65, 10, 0.00109403, 2941.14, 448, 2.00, 0.26, 0.59, 26.62
9, 0.00420705, 246.48, 312.13, 33, 0.00645973, 65.65, 10, 0.00089099, 2941.14, 448, 1.54, 0.21, 0.21, 9.42
10, 0.02577353, 121.41, 187.06, 16, 0.04935047, 65.65, 10, 0.00453968, 12184.73, 1856, 1.91, 0.18, 0.35, 65.14
11, 0.00002684, 1.91, 67.56, 2, 0.00002684, 65.65, 10, 0.00002684, 131.30, 20, 1.00, 1.00, 0.97, 1.94
12, 0.00002465, 3.01, 68.66, 2, 0.00002465, 65.65, 10, 0.00002185, 131.30, 20, 1.00, 0.89, 0.96, 1.91
13, 0.00000846, 2.92, 68.57, 2, 0.00000846, 65.65, 10, 0.00000844, 420.16, 64, 1.00, 1.00, 0.96, 6.13
14, 0.00527493, 129.30, 194.95, 16, 0.01057283, 65.65, 10, 0.00129464, 7983.10, 1216, 2.00, 0.25, 0.34, 40.95
15, 0.00841137, 271.09, 336.74, 27, 0.03348977, 65.65, 10, 0.00246584, 6722.61, 1024, 3.98, 0.29, 0.19, 19.96
16, 0.01271420, 161.03, 226.69, 22, 0.01757883, 65.65, 10, 0.00120479, 3361.31, 512, 1.38, 0.09, 0.29, 14.83
17, 0.00003616, 1.92, 67.57, 2, 0.00005332, 65.65, 10, 0.00003005, 131.30, 20, 1.47, 0.83, 0.97, 1.94
18, 0.00002732, 1.43, 67.08, 2, 0.00002732, 65.65, 10, 0.00002594, 131.30, 20, 1.00, 0.95, 0.98, 1.96
Top 25
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-25 (s), tuning time Ansor-25, task Ansor-25, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-25, speedup 10k, speed tuning time top-25, speed tuning time 10k
0, 0.00080510, 20.83, 184.95, 7, 0.00121303, 164.13, 25, 0.00044485, 1260.49, 192, 1.51, 0.55, 0.89, 6.82
1, 0.02332027, 217.63, 381.76, 25, 0.04094350, 164.13, 25, 0.00560672, 14705.71, 2240, 1.76, 0.24, 0.43, 38.52
2, 0.00011206, 43.52, 207.65, 14, 0.00011206, 164.13, 25, 0.00009639, 420.16, 64, 1.00, 0.86, 0.79, 2.02
3, 0.00002774, 1.80, 133.10, 2, 0.00002774, 131.30, 20, 0.00002774, 131.30, 20, 1.00, 1.00, 0.99, 0.99
4, 0.01495507, 120.79, 284.91, 22, 0.03240123, 164.13, 25, 0.00187304, 5041.96, 768, 2.17, 0.13, 0.58, 17.70
5, 0.00971590, 218.05, 382.17, 22, 0.01998677, 164.13, 25, 0.00204135, 5462.12, 832, 2.06, 0.21, 0.43, 14.29
6, 0.00087869, 33.26, 197.38, 14, 0.00087869, 164.13, 25, 0.00038156, 1260.49, 192, 1.00, 0.43, 0.83, 6.39
7, 0.00005743, 41.64, 205.77, 38, 0.00005974, 164.13, 25, 0.00005974, 420.16, 64, 1.04, 1.04, 0.80, 2.04
8, 0.00311008, 404.11, 568.23, 22, 0.00680005, 164.13, 25, 0.00109403, 2941.14, 448, 2.19, 0.35, 0.29, 5.18
9, 0.00236319, 81.87, 246.00, 13, 0.00236319, 164.13, 25, 0.00089099, 2941.14, 448, 1.00, 0.38, 0.67, 11.96
10, 0.01511523, 96.72, 260.85, 19, 0.03121180, 164.13, 25, 0.00453968, 12184.73, 1856, 2.06, 0.30, 0.63, 46.71
11, 0.00002684, 1.91, 133.21, 2, 0.00002684, 131.30, 20, 0.00002684, 131.30, 20, 1.00, 1.00, 0.99, 0.99
12, 0.00002185, 1.90, 133.20, 2, 0.00002185, 131.30, 20, 0.00002185, 131.30, 20, 1.00, 1.00, 0.99, 0.99
13, 0.00000836, 1.58, 165.70, 2, 0.00000844, 164.13, 25, 0.00000844, 420.16, 64, 1.01, 1.01, 0.99, 2.54
14, 0.00526626, 129.27, 293.40, 16, 0.01057283, 164.13, 25, 0.00129464, 7983.10, 1216, 2.01, 0.25, 0.56, 27.21
15, 0.00355479, 129.54, 293.67, 17, 0.03348977, 164.13, 25, 0.00246584, 6722.61, 1024, 9.42, 0.69, 0.56, 22.89
16, 0.00349445, 212.03, 376.15, 24, 0.01757883, 164.13, 25, 0.00120479, 3361.31, 512, 5.03, 0.34, 0.44, 8.94
17, 0.00003005, 1.91, 133.21, 2, 0.00003005, 131.30, 20, 0.00003005, 131.30, 20, 1.00, 1.00, 0.99, 0.99
18, 0.00002594, 1.55, 132.85, 2, 0.00002594, 131.30, 20, 0.00002594, 131.30, 20, 1.00, 1.00, 0.99, 0.99
Top 50
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-50 (s), tuning time Ansor-50, task Ansor-50, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-50, speedup 10k, speed tuning time top-50, speed tuning time 10k
0, 0.00058739, 24.58, 352.84, 5, 0.00109571, 328.25, 50, 0.00044485, 1260.49, 192, 1.87, 0.76, 0.93, 3.57
1, 0.02288600, 170.33, 498.58, 20, 0.04094350, 328.25, 50, 0.00560672, 14705.71, 2240, 1.79, 0.24, 0.66, 29.49
2, 0.00009639, 22.35, 350.60, 11, 0.00009639, 328.25, 50, 0.00009639, 420.16, 64, 1.00, 1.00, 0.94, 1.20
3, 0.00002688, 1.86, 133.16, 2, 0.00002774, 131.30, 20, 0.00002774, 131.30, 20, 1.03, 1.03, 0.99, 0.99
4, 0.00633097, 116.26, 444.51, 17, 0.01144330, 328.25, 50, 0.00187304, 5041.96, 768, 1.81, 0.30, 0.74, 11.34
5, 0.00002642, 33.02, 361.27, 8, 0.01966243, 328.25, 50, 0.00204135, 5462.12, 832, 744.14, 77.26, 0.91, 15.12
6, 0.00073404, 122.15, 450.41, 23, 0.00073404, 328.25, 50, 0.00038156, 1260.49, 192, 1.00, 0.52, 0.73, 2.80
7, 0.00005821, 67.70, 395.95, 44, 0.00005974, 328.25, 50, 0.00005974, 420.16, 64, 1.03, 1.03, 0.83, 1.06
8, 0.00002610, 112.06, 440.31, 8, 0.00680005, 328.25, 50, 0.00109403, 2941.14, 448, 260.49, 41.91, 0.75, 6.68
9, 0.00236319, 149.97, 478.22, 25, 0.00236319, 328.25, 50, 0.00089099, 2941.14, 448, 1.00, 0.38, 0.69, 6.15
10, 0.00386931, 203.09, 531.34, 41, 0.03121180, 328.25, 50, 0.00453968, 12184.73, 1856, 8.07, 1.17, 0.62, 22.93
11, 0.00002684, 2.02, 133.32, 2, 0.00002684, 131.30, 20, 0.00002684, 131.30, 20, 1.00, 1.00, 0.98, 0.98
12, 0.00002185, 1.91, 133.21, 2, 0.00002185, 131.30, 20, 0.00002185, 131.30, 20, 1.00, 1.00, 0.99, 0.99
13, 0.00000841, 1.56, 329.82, 2, 0.00000844, 328.25, 50, 0.00000844, 420.16, 64, 1.00, 1.00, 1.00, 1.27
14, 0.00000838, 35.59, 363.85, 6, 0.00668807, 328.25, 50, 0.00129464, 7983.10, 1216, 798.05, 154.48, 0.90, 21.94
15, 0.00763427, 523.03, 851.29, 54, 0.03348977, 328.25, 50, 0.00246584, 6722.61, 1024, 4.39, 0.32, 0.39, 7.90
16, 0.00445463, 95.05, 423.30, 20, 0.00835783, 328.25, 50, 0.00120479, 3361.31, 512, 1.88, 0.27, 0.78, 7.94
17, 0.00003005, 1.92, 133.22, 2, 0.00003005, 131.30, 20, 0.00003005, 131.30, 20, 1.00, 1.00, 0.99, 0.99
18, 0.00002594, 1.63, 132.93, 2, 0.00002594, 131.30, 20, 0.00002594, 131.30, 20, 1.00, 1.00, 0.99, 0.99
Top 100
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-100 (s), tuning time Ansor-100, task Ansor-100, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-100, speedup 10k, speed tuning time top-100, speed tuning time 10k
0, 0.00055974, 46.60, 703.11, 5, 0.00055974, 656.51, 100, 0.00044485, 1260.49, 192, 1.00, 0.79, 0.93, 1.79
1, 0.01533700, 101.87, 758.37, 20, 0.03485927, 656.51, 100, 0.00560672, 14705.71, 2240, 2.27, 0.37, 0.87, 19.39
2, 0.00009639, 22.73, 442.90, 11, 0.00009639, 420.16, 64, 0.00009639, 420.16, 64, 1.00, 1.00, 0.95, 0.95
3, 0.00002774, 1.74, 133.04, 2, 0.00002774, 131.30, 20, 0.00002774, 131.30, 20, 1.00, 1.00, 0.99, 0.99
4, 0.00346130, 180.01, 836.52, 18, 0.00677688, 656.51, 100, 0.00187304, 5041.96, 768, 1.96, 0.54, 0.78, 6.03
5, 0.01006760, 48.74, 705.25, 21, 0.01966243, 656.51, 100, 0.00204135, 5462.12, 832, 1.95, 0.20, 0.93, 7.74
6, 0.00049925, 33.44, 689.94, 11, 0.00049925, 656.51, 100, 0.00038156, 1260.49, 192, 1.00, 0.76, 0.95, 1.83
7, 0.00006683, 32.64, 452.81, 20, 0.00005974, 420.16, 64, 0.00005974, 420.16, 64, 0.89, 0.89, 0.93, 0.93
8, 0.00002610, 161.32, 817.82, 21, 0.00225906, 656.51, 100, 0.00109403, 2941.14, 448, 86.54, 41.91, 0.80, 3.60
9, 0.00173627, 89.95, 746.46, 14, 0.00173627, 656.51, 100, 0.00089099, 2941.14, 448, 1.00, 0.51, 0.88, 3.94
10, 0.01498213, 110.00, 766.50, 23, 0.03121180, 656.51, 100, 0.00453968, 12184.73, 1856, 2.08, 0.30, 0.86, 15.90
11, 0.00002684, 1.77, 133.07, 2, 0.00002684, 131.30, 20, 0.00002684, 131.30, 20, 1.00, 1.00, 0.99, 0.99
12, 0.00002185, 1.92, 133.22, 2, 0.00002185, 131.30, 20, 0.00002185, 131.30, 20, 1.00, 1.00, 0.99, 0.99
13, 0.00000832, 1.56, 421.73, 2, 0.00000844, 420.16, 64, 0.00000844, 420.16, 64, 1.01, 1.01, 1.00, 1.00
14, 0.00330716, 102.68, 759.18, 17, 0.00668807, 656.51, 100, 0.00129464, 7983.10, 1216, 2.02, 0.39, 0.86, 10.52
15, 0.00643168, 230.59, 887.10, 21, 0.00795369, 656.51, 100, 0.00246584, 6722.61, 1024, 1.24, 0.38, 0.74, 7.58
16, 0.00378439, 32.11, 688.62, 17, 0.00712080, 656.51, 100, 0.00120479, 3361.31, 512, 1.88, 0.32, 0.95, 4.88
17, 0.00003005, 1.76, 133.06, 2, 0.00003005, 131.30, 20, 0.00003005, 131.30, 20, 1.00, 1.00, 0.99, 0.99
18, 0.00002594, 1.56, 132.86, 2, 0.00002594, 131.30, 20, 0.00002594, 131.30, 20, 1.00, 1.00, 0.99, 0.99
Top 200
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-200 (s), tuning time Ansor-200, task Ansor-200, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-200, speedup 10k, speed tuning time top-200, speed tuning time 10k
0, 0.00025822, 67.59, 1328.08, 11, 0.00044485, 1260.49, 192, 0.00044485, 1260.49, 192, 1.72, 1.72, 0.95, 0.95
1, 0.00407378, 296.00, 1609.01, 35, 0.01701617, 1313.01, 200, 0.00560672, 14705.71, 2240, 4.18, 1.38, 0.82, 9.14
2, 0.00009639, 43.53, 463.69, 21, 0.00009639, 420.16, 64, 0.00009639, 420.16, 64, 1.00, 1.00, 0.91, 0.91
3, 0.00002756, 2.81, 134.11, 3, 0.00002774, 131.30, 20, 0.00002774, 131.30, 20, 1.01, 1.01, 0.98, 0.98
4, 0.00213857, 179.69, 1492.70, 23, 0.00275987, 1313.01, 200, 0.00187304, 5041.96, 768, 1.29, 0.88, 0.88, 3.38
